Function,Algorithm,Iteration,MeanBest
CEC2017-F1,ARPSO-EIS,50,10006061910.3068
CEC2017-F1,ARPSO-EIS,51,10001084950.0661
CEC2017-F1,ARPSO-EIS,52,9902436801.576609
CEC2017-F1,ARPSO-EIS,53,9902436801.576609
CEC2017-F1,ARPSO-EIS,54,9862329431.429932
CEC2017-F1,ARPSO-EIS,55,9838333762.253632
CEC2017-F1,ARPSO-EIS,56,9769892764.803442
CEC2017-F1,ARPSO-EIS,57,9612209792.077496
CEC2017-F1,ARPSO-EIS,58,9579740619.873796
CEC2017-F1,ARPSO-EIS,59,9558107681.138554
CEC2017-F1,ARPSO-EIS,60,9439450171.26426
CEC2017-F1,ARPSO-EIS,61,9411185498.9752
CEC2017-F1,ARPSO-EIS,62,9288907971.708544
CEC2017-F1,ARPSO-EIS,63,9217988682.11198
CEC2017-F1,ARPSO-EIS,64,9217988682.11198
CEC2017-F1,ARPSO-EIS,65,9191943121.394129
CEC2017-F1,ARPSO-EIS,66,9182346691.03065
CEC2017-F1,ARPSO-EIS,67,9167792599.914328
CEC2017-F1,ARPSO-EIS,68,9106830468.906397
CEC2017-F1,ARPSO-EIS,69,9039803465.441624
CEC2017-F1,ARPSO-EIS,70,9015033370.641636
CEC2017-F1,ARPSO-EIS,71,9008161194.466543
CEC2017-F1,ARPSO-EIS,72,9008161194.466543
CEC2017-F1,ARPSO-EIS,73,8982052655.01281
CEC2017-F1,ARPSO-EIS,74,8884452927.392256
CEC2017-F1,ARPSO-EIS,75,8841077818.788282
CEC2017-F1,ARPSO-EIS,76,8831777144.784023
CEC2017-F1,ARPSO-EIS,77,8785775731.2252
CEC2017-F1,ARPSO-EIS,78,8725684641.95281
CEC2017-F1,ARPSO-EIS,79,8716183543.637487
CEC2017-F1,ARPSO-EIS,80,8659054525.14469
CEC2017-F1,ARPSO-EIS,81,8659054525.14469
CEC2017-F1,ARPSO-EIS,82,8578686640.699151
CEC2017-F1,ARPSO-EIS,83,8567505830.44324
CEC2017-F1,ARPSO-EIS,84,8567505830.44324
CEC2017-F1,ARPSO-EIS,85,8554662195.211443
CEC2017-F1,ARPSO-EIS,86,8545025822.689799
CEC2017-F1,ARPSO-EIS,87,8545025822.689799
CEC2017-F1,ARPSO-EIS,88,8545025822.689799
CEC2017-F1,ARPSO-EIS,89,8545025822.689799
CEC2017-F1,ARPSO-EIS,90,8545025822.689799
CEC2017-F1,ARPSO-EIS,91,8506668621.716477
CEC2017-F1,ARPSO-EIS,92,8497861227.446615
CEC2017-F1,ARPSO-EIS,93,8467595575.225194
CEC2017-F1,ARPSO-EIS,94,8467595575.225194
CEC2017-F1,ARPSO-EIS,95,8376878251.883101
CEC2017-F1,ARPSO-EIS,96,8368582163.666021
CEC2017-F1,ARPSO-EIS,97,8368582163.666021
CEC2017-F1,ARPSO-EIS,98,8368582163.666021
CEC2017-F1,ARPSO-EIS,99,8353707593.22666
CEC2017-F1,ARPSO-EIS,100,8353707593.22666
CEC2017-F1,ARPSO-EIS,101,8353707593.22666
CEC2017-F1,ARPSO-EIS,102,8350747368.342269
CEC2017-F1,ARPSO-EIS,103,8277833218.57336
CEC2017-F1,ARPSO-EIS,104,8242941718.908225
CEC2017-F1,ARPSO-EIS,105,8226318246.211796
CEC2017-F1,ARPSO-EIS,106,8226318246.211796
CEC2017-F1,ARPSO-EIS,107,8226318246.211796
CEC2017-F1,ARPSO-EIS,108,8222348958.55067
CEC2017-F1,ARPSO-EIS,109,8206727012.034043
CEC2017-F1,ARPSO-EIS,110,8170046024.360013
CEC2017-F1,ARPSO-EIS,111,8170046024.360013
CEC2017-F1,ARPSO-EIS,112,8170046024.360013
CEC2017-F1,ARPSO-EIS,113,8170046024.360013
CEC2017-F1,ARPSO-EIS,114,8150086625.21893
CEC2017-F1,ARPSO-EIS,115,8092420808.811962
CEC2017-F1,ARPSO-EIS,116,8028956590.649771
CEC2017-F1,ARPSO-EIS,117,8005081491.763109
CEC2017-F1,ARPSO-EIS,118,7994725654.905661
CEC2017-F1,ARPSO-EIS,119,7994725654.905661
CEC2017-F1,ARPSO-EIS,120,7985075216.110208
CEC2017-F1,ARPSO-EIS,121,7969753601.849092
CEC2017-F1,ARPSO-EIS,122,7969753601.849092
CEC2017-F1,ARPSO-EIS,123,7954497558.952298
CEC2017-F1,ARPSO-EIS,124,7937676289.690616
CEC2017-F1,ARPSO-EIS,125,7937676289.690616
CEC2017-F1,ARPSO-EIS,126,7937676289.690616
CEC2017-F1,ARPSO-EIS,127,7922684196.321949
CEC2017-F1,ARPSO-EIS,128,7922684196.321949
CEC2017-F1,ARPSO-EIS,129,7922684196.321949
CEC2017-F1,ARPSO-EIS,130,7920063049.218293
CEC2017-F1,ARPSO-EIS,131,7920063049.218293
CEC2017-F1,ARPSO-EIS,132,7920063049.218293
CEC2017-F1,ARPSO-EIS,133,7920063049.218293
CEC2017-F1,ARPSO-EIS,134,7920063049.218293
CEC2017-F1,ARPSO-EIS,135,7920063049.218293
CEC2017-F1,ARPSO-EIS,136,7902564414.048221
CEC2017-F1,ARPSO-EIS,137,7902564414.048221
CEC2017-F1,ARPSO-EIS,138,7902564414.048221
CEC2017-F1,ARPSO-EIS,139,7902564414.048221
CEC2017-F1,ARPSO-EIS,140,7902564414.048221
CEC2017-F1,ARPSO-EIS,141,7902564414.048221
CEC2017-F1,ARPSO-EIS,142,7902564414.048221
CEC2017-F1,ARPSO-EIS,143,7834251789.893065
CEC2017-F1,ARPSO-EIS,144,7834251789.893065
CEC2017-F1,ARPSO-EIS,145,7817282920.567571
CEC2017-F1,ARPSO-EIS,146,7817282920.567571
CEC2017-F1,ARPSO-EIS,147,7817282920.567571
CEC2017-F1,ARPSO-EIS,148,7817282920.567571
CEC2017-F1,ARPSO-EIS,149,7815311813.077367
CEC2017-F1,ARPSO-EIS,150,7815311813.077367
CEC2017-F1,ARPSO-EIS,151,7815311813.077367
CEC2017-F1,ARPSO-EIS,152,7815311813.077367
CEC2017-F1,ARPSO-EIS,153,7815311813.077367
CEC2017-F1,ARPSO-EIS,154,7815311813.077367
CEC2017-F1,ARPSO-EIS,155,7815311813.077367
CEC2017-F1,ARPSO-EIS,156,7793309950.887486
CEC2017-F1,ARPSO-EIS,157,7752970845.047892
CEC2017-F1,ARPSO-EIS,158,7752970845.047892
CEC2017-F1,ARPSO-EIS,159,7752970845.047892
CEC2017-F1,ARPSO-EIS,160,7752970845.047892
CEC2017-F1,ARPSO-EIS,161,7723869542.699083
CEC2017-F1,ARPSO-EIS,162,7713505069.43296
CEC2017-F1,ARPSO-EIS,163,7713505069.43296
CEC2017-F1,ARPSO-EIS,164,7710205610.279957
CEC2017-F1,ARPSO-EIS,165,7710205610.279957
CEC2017-F1,ARPSO-EIS,166,7644552613.72214
CEC2017-F1,ARPSO-EIS,167,7596415628.939906
CEC2017-F1,ARPSO-EIS,168,7596415628.939906
CEC2017-F1,ARPSO-EIS,169,7579953208.73953
CEC2017-F1,ARPSO-EIS,170,7567788192.980351
CEC2017-F1,ARPSO-EIS,171,7546749347.383723
CEC2017-F1,ARPSO-EIS,172,7543173836.012719
CEC2017-F1,ARPSO-EIS,173,7516795703.321491
CEC2017-F1,ARPSO-EIS,174,7516795703.321491
CEC2017-F1,ARPSO-EIS,175,7490901946.606685
CEC2017-F1,ARPSO-EIS,176,7490901946.606685
CEC2017-F1,ARPSO-EIS,177,7490901946.606685
CEC2017-F1,ARPSO-EIS,178,7490901946.606685
CEC2017-F1,ARPSO-EIS,179,7490901946.606685
CEC2017-F1,ARPSO-EIS,180,7490901946.606685
CEC2017-F1,ARPSO-EIS,181,7490901946.606685
CEC2017-F1,ARPSO-EIS,182,7459732861.280073
CEC2017-F1,ARPSO-EIS,183,7407391515.704135
CEC2017-F1,ARPSO-EIS,184,7407391515.704135
CEC2017-F1,ARPSO-EIS,185,7407391515.704135
CEC2017-F1,ARPSO-EIS,186,7405450104.430358
CEC2017-F1,ARPSO-EIS,187,7405450104.430358
CEC2017-F1,ARPSO-EIS,188,7397040216.345041
CEC2017-F1,ARPSO-EIS,189,7363988380.856597
CEC2017-F1,ARPSO-EIS,190,7363988380.856597
CEC2017-F1,ARPSO-EIS,191,7363988380.856597
CEC2017-F1,ARPSO-EIS,192,7283749917.848599
CEC2017-F1,ARPSO-EIS,193,7276255202.54479
CEC2017-F1,ARPSO-EIS,194,7276255202.54479
CEC2017-F1,ARPSO-EIS,195,7260967085.072035
CEC2017-F1,ARPSO-EIS,196,7245114041.060672
CEC2017-F1,ARPSO-EIS,197,7240138564.672238
CEC2017-F1,ARPSO-EIS,198,7221373284.972999
CEC2017-F1,ARPSO-EIS,199,7215502083.275129
CEC2017-F1,ARPSO-EIS,200,7206458670.913266
CEC2017-F1,ARPSO-EIS,201,7128231662.791873
CEC2017-F1,ARPSO-EIS,202,7103092359.948243
CEC2017-F1,ARPSO-EIS,203,7103092359.948243
CEC2017-F1,ARPSO-EIS,204,7093591149.886089
CEC2017-F1,ARPSO-EIS,205,7093591149.886089
CEC2017-F1,ARPSO-EIS,206,7093591149.886089
CEC2017-F1,ARPSO-EIS,207,7086957003.819148
CEC2017-F1,ARPSO-EIS,208,7086957003.819148
CEC2017-F1,ARPSO-EIS,209,7086957003.819148
CEC2017-F1,ARPSO-EIS,210,7086957003.819148
CEC2017-F1,ARPSO-EIS,211,7086957003.819148
CEC2017-F1,ARPSO-EIS,212,7078158381.99331
CEC2017-F1,ARPSO-EIS,213,7068567481.666392
CEC2017-F1,ARPSO-EIS,214,7060807006.070957
CEC2017-F1,ARPSO-EIS,215,7032648430.206482
CEC2017-F1,ARPSO-EIS,216,7032648430.206482
CEC2017-F1,ARPSO-EIS,217,7014910220.144072
CEC2017-F1,ARPSO-EIS,218,7014910220.144072
CEC2017-F1,ARPSO-EIS,219,6991974608.069546
CEC2017-F1,ARPSO-EIS,220,6977017870.062446
CEC2017-F1,ARPSO-EIS,221,6977017870.062446
CEC2017-F1,ARPSO-EIS,222,6966944408.234894
CEC2017-F1,ARPSO-EIS,223,6966944408.234894
CEC2017-F1,ARPSO-EIS,224,6952300875.692301
CEC2017-F1,ARPSO-EIS,225,6952300875.692301
CEC2017-F1,ARPSO-EIS,226,6930934090.333333
CEC2017-F1,ARPSO-EIS,227,6927160777.616818
CEC2017-F1,ARPSO-EIS,228,6927160777.616818
CEC2017-F1,ARPSO-EIS,229,6924930308.567077
CEC2017-F1,ARPSO-EIS,230,6868357397.592452
CEC2017-F1,ARPSO-EIS,231,6868357397.592452
CEC2017-F1,ARPSO-EIS,232,6868357397.592452
CEC2017-F1,ARPSO-EIS,233,6868357397.592452
CEC2017-F1,ARPSO-EIS,234,6852923922.484156
CEC2017-F1,ARPSO-EIS,235,6852923922.484156
CEC2017-F1,ARPSO-EIS,236,6852923922.484156
CEC2017-F1,ARPSO-EIS,237,6849002209.959868
CEC2017-F1,ARPSO-EIS,238,6840545514.074255
CEC2017-F1,ARPSO-EIS,239,6840545514.074255
CEC2017-F1,ARPSO-EIS,240,6835371742.111563
CEC2017-F1,ARPSO-EIS,241,6835371742.111563
CEC2017-F1,ARPSO-EIS,242,6815653350.036603
CEC2017-F1,ARPSO-EIS,243,6798452401.501756
CEC2017-F1,ARPSO-EIS,244,6798452401.501756
CEC2017-F1,ARPSO-EIS,245,6798452401.501756
CEC2017-F1,ARPSO-EIS,246,6798452401.501756
CEC2017-F1,ARPSO-EIS,247,6798452401.501756
CEC2017-F1,ARPSO-EIS,248,6798452401.501756
CEC2017-F1,ARPSO-EIS,249,6798452401.501756
CEC2017-F1,ARPSO-EIS,250,6798452401.501756
CEC2017-F1,ARPSO-EIS,251,6798452401.501756
CEC2017-F1,ARPSO-EIS,252,6791179152.034755
CEC2017-F1,ARPSO-EIS,253,6744907272.28964
CEC2017-F1,ARPSO-EIS,254,6744907272.28964
CEC2017-F1,ARPSO-EIS,255,6744865459.677137
CEC2017-F1,ARPSO-EIS,256,6744865459.677137
CEC2017-F1,ARPSO-EIS,257,6744865459.677137
CEC2017-F1,ARPSO-EIS,258,6744865459.677137
CEC2017-F1,ARPSO-EIS,259,6713247846.897394
CEC2017-F1,ARPSO-EIS,260,6713247846.897394
CEC2017-F1,ARPSO-EIS,261,6712326804.689242
CEC2017-F1,ARPSO-EIS,262,6712326804.689242
CEC2017-F1,ARPSO-EIS,263,6712326804.689242
CEC2017-F1,ARPSO-EIS,264,6712326804.689242
CEC2017-F1,ARPSO-EIS,265,6712326804.689242
CEC2017-F1,ARPSO-EIS,266,6712326804.689242
CEC2017-F1,ARPSO-EIS,267,6712083570.301385
CEC2017-F1,ARPSO-EIS,268,6712083570.301385
CEC2017-F1,ARPSO-EIS,269,6655989703.748464
CEC2017-F1,ARPSO-EIS,270,6633589869.512347
CEC2017-F1,ARPSO-EIS,271,6599985985.550939
CEC2017-F1,ARPSO-EIS,272,6599985985.550939
CEC2017-F1,ARPSO-EIS,273,6591387419.302575
CEC2017-F1,ARPSO-EIS,274,6591387419.302575
CEC2017-F1,ARPSO-EIS,275,6591387419.302575
CEC2017-F1,ARPSO-EIS,276,6591387419.302575
CEC2017-F1,ARPSO-EIS,277,6591387419.302575
CEC2017-F1,ARPSO-EIS,278,6591387419.302575
CEC2017-F1,ARPSO-EIS,279,6591387419.302575
CEC2017-F1,ARPSO-EIS,280,6591387419.302575
CEC2017-F1,ARPSO-EIS,281,6567226284.757525
CEC2017-F1,ARPSO-EIS,282,6567226284.757525
CEC2017-F1,ARPSO-EIS,283,6567226284.757525
CEC2017-F1,ARPSO-EIS,284,6567226284.757525
CEC2017-F1,ARPSO-EIS,285,6567226284.757525
CEC2017-F1,ARPSO-EIS,286,6538809669.590896
CEC2017-F1,ARPSO-EIS,287,6538809669.590896
CEC2017-F1,ARPSO-EIS,288,6538809669.590896
CEC2017-F1,ARPSO-EIS,289,6536878049.043006
CEC2017-F1,ARPSO-EIS,290,6490515366.792291
CEC2017-F1,ARPSO-EIS,291,6490515366.792291
CEC2017-F1,ARPSO-EIS,292,6490515366.792291
CEC2017-F1,ARPSO-EIS,293,6490515366.792291
CEC2017-F1,ARPSO-EIS,294,6480564201.341198
CEC2017-F1,ARPSO-EIS,295,6448320694.890902
CEC2017-F1,ARPSO-EIS,296,6448320694.890902
CEC2017-F1,ARPSO-EIS,297,6448320694.890902
CEC2017-F1,ARPSO-EIS,298,6448320694.890902
CEC2017-F1,ARPSO-EIS,299,6448320694.890902
CEC2017-F1,ARPSO-EIS,300,6448320694.890902
CEC2017-F1,ARPSO-EIS,301,6446979263.55279
CEC2017-F1,ARPSO-EIS,302,6421923370.796918
CEC2017-F1,ARPSO-EIS,303,6412280598.438702
CEC2017-F1,ARPSO-EIS,304,6388154363.837263
CEC2017-F1,ARPSO-EIS,305,6388154363.837263
CEC2017-F1,ARPSO-EIS,306,6388154363.837263
CEC2017-F1,ARPSO-EIS,307,6388154363.837263
CEC2017-F1,ARPSO-EIS,308,6388154363.837263
CEC2017-F1,ARPSO-EIS,309,6388154363.837263
CEC2017-F1,ARPSO-EIS,310,6388154363.837263
CEC2017-F1,ARPSO-EIS,311,6388154363.837263
CEC2017-F1,ARPSO-EIS,312,6387705316.0234
CEC2017-F1,ARPSO-EIS,313,6387705316.0234
CEC2017-F1,ARPSO-EIS,314,6387705316.0234
CEC2017-F1,ARPSO-EIS,315,6387705316.0234
CEC2017-F1,ARPSO-EIS,316,6349116270.940214
CEC2017-F1,ARPSO-EIS,317,6344891982.402609
CEC2017-F1,ARPSO-EIS,318,6344891982.402609
CEC2017-F1,ARPSO-EIS,319,6344891982.402609
CEC2017-F1,ARPSO-EIS,320,6344891982.402609
CEC2017-F1,ARPSO-EIS,321,6325286827.690889
CEC2017-F1,ARPSO-EIS,322,6325286827.690889
CEC2017-F1,ARPSO-EIS,323,6287110706.797395
CEC2017-F1,ARPSO-EIS,324,6287110706.797395
CEC2017-F1,ARPSO-EIS,325,6264397016.906528
CEC2017-F1,ARPSO-EIS,326,6232092129.769168
CEC2017-F1,ARPSO-EIS,327,6232092129.769168
CEC2017-F1,ARPSO-EIS,328,6226100368.544369
CEC2017-F1,ARPSO-EIS,329,6220820707.328974
CEC2017-F1,ARPSO-EIS,330,6220820707.328974
CEC2017-F1,ARPSO-EIS,331,6215971555.850525
CEC2017-F1,ARPSO-EIS,332,6215971555.850525
CEC2017-F1,ARPSO-EIS,333,6215971555.850525
CEC2017-F1,ARPSO-EIS,334,6215971555.850525
CEC2017-F1,ARPSO-EIS,335,6215971555.850525
CEC2017-F1,ARPSO-EIS,336,6215971555.850525
CEC2017-F1,ARPSO-EIS,337,6215971555.850525
CEC2017-F1,ARPSO-EIS,338,6215971555.850525
CEC2017-F1,ARPSO-EIS,339,6213779525.1440525
CEC2017-F1,ARPSO-EIS,340,6212183081.713983
CEC2017-F1,ARPSO-EIS,341,6212183081.713983
CEC2017-F1,ARPSO-EIS,342,6212183081.713983
CEC2017-F1,ARPSO-EIS,343,6205795997.485812
CEC2017-F1,ARPSO-EIS,344,6205795997.485812
CEC2017-F1,ARPSO-EIS,345,6205795997.485812
CEC2017-F1,ARPSO-EIS,346,6199297194.642812
CEC2017-F1,ARPSO-EIS,347,6190070076.683771
CEC2017-F1,ARPSO-EIS,348,6190070076.683771
CEC2017-F1,ARPSO-EIS,349,6190070076.683771
CEC2017-F1,ARPSO-EIS,350,6181437016.529741
CEC2017-F1,ARPSO-EIS,351,6181437016.529741
CEC2017-F1,ARPSO-EIS,352,6181437016.529741
CEC2017-F1,ARPSO-EIS,353,6138856653.683555
CEC2017-F1,ARPSO-EIS,354,6138856653.683555
CEC2017-F1,ARPSO-EIS,355,6138856653.683555
CEC2017-F1,ARPSO-EIS,356,6138856653.683555
CEC2017-F1,ARPSO-EIS,357,6134815930.78053
CEC2017-F1,ARPSO-EIS,358,6134815930.78053
CEC2017-F1,ARPSO-EIS,359,6118685301.476075
CEC2017-F1,ARPSO-EIS,360,6118685301.476075
CEC2017-F1,ARPSO-EIS,361,6118685301.476075
CEC2017-F1,ARPSO-EIS,362,6118685301.476075
CEC2017-F1,ARPSO-EIS,363,6118685301.476075
CEC2017-F1,ARPSO-EIS,364,6117278941.529013
CEC2017-F1,ARPSO-EIS,365,6117278941.529013
CEC2017-F1,ARPSO-EIS,366,6116999057.733704
CEC2017-F1,ARPSO-EIS,367,6116999057.733704
CEC2017-F1,ARPSO-EIS,368,6116999057.733704
CEC2017-F1,ARPSO-EIS,369,6116999057.733704
CEC2017-F1,ARPSO-EIS,370,6116999057.733704
CEC2017-F1,ARPSO-EIS,371,6116999057.733704
CEC2017-F1,ARPSO-EIS,372,6116999057.733704
CEC2017-F1,ARPSO-EIS,373,6116999057.733704
CEC2017-F1,ARPSO-EIS,374,6116999057.733704
CEC2017-F1,ARPSO-EIS,375,6116999057.733704
CEC2017-F1,ARPSO-EIS,376,6116999057.733704
CEC2017-F1,ARPSO-EIS,377,6113358535.165776
CEC2017-F1,ARPSO-EIS,378,6096309672.200349
CEC2017-F1,ARPSO-EIS,379,6087348446.635424
CEC2017-F1,ARPSO-EIS,380,6087348446.635424
CEC2017-F1,ARPSO-EIS,381,6087348446.635424
CEC2017-F1,ARPSO-EIS,382,6055846168.468756
CEC2017-F1,ARPSO-EIS,383,6054757709.835176
CEC2017-F1,ARPSO-EIS,384,6054757709.835176
CEC2017-F1,ARPSO-EIS,385,6042401481.126254
CEC2017-F1,ARPSO-EIS,386,6040831475.254881
CEC2017-F1,ARPSO-EIS,387,6040831475.254881
CEC2017-F1,ARPSO-EIS,388,6039890448.552588
CEC2017-F1,ARPSO-EIS,389,6039890448.552588
CEC2017-F1,ARPSO-EIS,390,6027031730.551615
CEC2017-F1,ARPSO-EIS,391,6027031730.551615
CEC2017-F1,ARPSO-EIS,392,6027031730.551615
CEC2017-F1,ARPSO-EIS,393,6027031730.551615
CEC2017-F1,ARPSO-EIS,394,6027031730.551615
CEC2017-F1,ARPSO-EIS,395,6027031730.551615
CEC2017-F1,ARPSO-EIS,396,6027031730.551615
CEC2017-F1,ARPSO-EIS,397,6027031730.551615
CEC2017-F1,ARPSO-EIS,398,5999595917.345927
CEC2017-F1,ARPSO-EIS,399,5999595917.345927
CEC2017-F1,ARPSO-EIS,400,5989407522.198184
CEC2017-F1,ARPSO-EIS,401,5989407522.198184
CEC2017-F1,ARPSO-EIS,402,5978219735.184359
CEC2017-F1,ARPSO-EIS,403,5978219735.184359
CEC2017-F1,ARPSO-EIS,404,5972626989.431746
CEC2017-F1,ARPSO-EIS,405,5972626989.431746
CEC2017-F1,ARPSO-EIS,406,5969017134.384854
CEC2017-F1,ARPSO-EIS,407,5962887452.001617
CEC2017-F1,ARPSO-EIS,408,5962847019.623312
CEC2017-F1,ARPSO-EIS,409,5918730329.164468
CEC2017-F1,ARPSO-EIS,410,5918730329.164468
CEC2017-F1,ARPSO-EIS,411,5915464517.445847
CEC2017-F1,ARPSO-EIS,412,5915464517.445847
CEC2017-F1,ARPSO-EIS,413,5891571819.662089
CEC2017-F1,ARPSO-EIS,414,5891571819.662089
CEC2017-F1,ARPSO-EIS,415,5891571819.662089
CEC2017-F1,ARPSO-EIS,416,5863399612.175702
CEC2017-F1,ARPSO-EIS,417,5863399612.175702
CEC2017-F1,ARPSO-EIS,418,5863399612.175702
CEC2017-F1,ARPSO-EIS,419,5863326411.580531
CEC2017-F1,ARPSO-EIS,420,5863326411.580531
CEC2017-F1,ARPSO-EIS,421,5863326411.580531
CEC2017-F1,ARPSO-EIS,422,5863326411.580531
CEC2017-F1,ARPSO-EIS,423,5863326411.580531
CEC2017-F1,ARPSO-EIS,424,5863326411.580531
CEC2017-F1,ARPSO-EIS,425,5838326365.501923
CEC2017-F1,ARPSO-EIS,426,5829666611.659539
CEC2017-F1,ARPSO-EIS,427,5829666611.659539
CEC2017-F1,ARPSO-EIS,428,5818021005.724427
CEC2017-F1,ARPSO-EIS,429,5818021005.724427
CEC2017-F1,ARPSO-EIS,430,5818021005.724427
CEC2017-F1,ARPSO-EIS,431,5808421057.229114
CEC2017-F1,ARPSO-EIS,432,5808421057.229114
CEC2017-F1,ARPSO-EIS,433,5808421057.229114
CEC2017-F1,ARPSO-EIS,434,5798512418.605651
CEC2017-F1,ARPSO-EIS,435,5782345729.617651
CEC2017-F1,ARPSO-EIS,436,5782345729.617651
CEC2017-F1,ARPSO-EIS,437,5782345729.617651
CEC2017-F1,ARPSO-EIS,438,5782345729.617651
CEC2017-F1,ARPSO-EIS,439,5782345729.617651
CEC2017-F1,ARPSO-EIS,440,5782345729.617651
CEC2017-F1,ARPSO-EIS,441,5782345729.617651
CEC2017-F1,ARPSO-EIS,442,5772786488.929902
CEC2017-F1,ARPSO-EIS,443,5763536048.350874
CEC2017-F1,ARPSO-EIS,444,5763536048.350874
CEC2017-F1,ARPSO-EIS,445,5763536048.350874
CEC2017-F1,ARPSO-EIS,446,5763536048.350874
CEC2017-F1,ARPSO-EIS,447,5763536048.350874
CEC2017-F1,ARPSO-EIS,448,5749176293.128307
CEC2017-F1,ARPSO-EIS,449,5749176293.128307
CEC2017-F1,ARPSO-EIS,450,5749176293.128307
CEC2017-F1,ARPSO-EIS,451,5749176293.128307
CEC2017-F1,ARPSO-EIS,452,5749176293.128307
CEC2017-F1,ARPSO-EIS,453,5749176293.128307
CEC2017-F1,ARPSO-EIS,454,5749176293.128307
CEC2017-F1,ARPSO-EIS,455,5749176293.128307
CEC2017-F1,ARPSO-EIS,456,5749176293.128307
CEC2017-F1,ARPSO-EIS,457,5735516053.329545
CEC2017-F1,ARPSO-EIS,458,5735516053.329545
CEC2017-F1,ARPSO-EIS,459,5723080311.626181
CEC2017-F1,ARPSO-EIS,460,5717006614.777167
CEC2017-F1,ARPSO-EIS,461,5711609087.381547
CEC2017-F1,ARPSO-EIS,462,5685975282.117021
CEC2017-F1,ARPSO-EIS,463,5685975282.117021
CEC2017-F1,ARPSO-EIS,464,5677931109.751788
CEC2017-F1,ARPSO-EIS,465,5677931109.751788
CEC2017-F1,ARPSO-EIS,466,5670745654.903296
CEC2017-F1,ARPSO-EIS,467,5670745654.903296
CEC2017-F1,ARPSO-EIS,468,5615814313.632265
CEC2017-F1,ARPSO-EIS,469,5615814313.632265
CEC2017-F1,ARPSO-EIS,470,5615814313.632265
CEC2017-F1,ARPSO-EIS,471,5615814313.632265
CEC2017-F1,ARPSO-EIS,472,5615814313.632265
CEC2017-F1,ARPSO-EIS,473,5615814313.632265
CEC2017-F1,ARPSO-EIS,474,5615814313.632265
CEC2017-F1,ARPSO-EIS,475,5615814313.632265
CEC2017-F1,ARPSO-EIS,476,5615814313.632265
CEC2017-F1,ARPSO-EIS,477,5615814313.632265
CEC2017-F1,ARPSO-EIS,478,5615814313.632265
CEC2017-F1,ARPSO-EIS,479,5615814313.632265
CEC2017-F1,ARPSO-EIS,480,5615814313.632265
CEC2017-F1,ARPSO-EIS,481,5613710227.500098
