FunctionID,Function,BaseAlgorithm,ComparedAlgorithm,BaseMeanError,ComparedMeanError,PValue,Result
1,F1,ARPSO-SRR,PSO-RS,9001.842466992277,8069684.897158904,0.9838335812091827,NSD
3,F3,ARPSO-SRR,PSO-RS,38.05500455647321,59.73163613755877,4.968419671058655e-05,Win
4,F4,ARPSO-SRR,PSO-RS,135.91752086879256,182.85690079161637,0.000283263623714447,Win
5,F5,ARPSO-SRR,PSO-RS,0.00010799927282126495,3.6152997845798986e-05,0.08406547829508781,NSD
6,F6,ARPSO-SRR,PSO-RS,224.163237469481,798.3618748938484,0.052263347432017326,NSD
7,F7,ARPSO-SRR,PSO-RS,173.73333333333332,183.31793586028698,0.3598779272288084,NSD
8,F8,ARPSO-SRR,PSO-RS,2.5499466542505917,2.5684796108293275,0.5698575973510742,NSD
9,F9,ARPSO-SRR,PSO-RS,9.838111380776475,0.0,0.31731050786291415,NSD
10,F10,ARPSO-SRR,PSO-RS,24684.885872282142,34428.96791145956,0.23665234446525574,NSD
11,F11,ARPSO-SRR,PSO-RS,3711989.9209488723,3169093.341344731,0.583757072687149,NSD
12,F12,ARPSO-SRR,PSO-RS,233981.35208483177,436255.367876822,0.08406547829508781,NSD
13,F13,ARPSO-SRR,PSO-RS,105699.78893786398,86769.25160784372,0.5291051845997572,NSD
14,F14,ARPSO-SRR,PSO-RS,110146.77625529912,170702.8895659117,0.19092952087521553,NSD
15,F15,ARPSO-SRR,PSO-RS,3364.6006346501968,11253.04400059741,0.31839608028531075,NSD
16,F16,ARPSO-SRR,PSO-RS,1068.9581128678333,1283.9055215321023,0.28008678182959557,NSD
17,F17,ARPSO-SRR,PSO-RS,54001.24051683864,44332.70062825053,0.20540969260036945,NSD
18,F18,ARPSO-SRR,PSO-RS,82581.58791297112,89235.42656795135,0.761065473780036,NSD
19,F19,ARPSO-SRR,PSO-RS,71.58615410462389,172.16446546669084,0.06193303063549667,NSD
20,F20,ARPSO-SRR,PSO-RS,350.6958226788277,355.2471202341686,0.10483990423381329,NSD
21,F21,ARPSO-SRR,PSO-RS,0.0,0.0,1.0,NSD
22,F22,ARPSO-SRR,PSO-RS,259.4894955630992,309.63005473738144,0.022098854184150696,Win
23,F23,ARPSO-SRR,PSO-RS,210.2902666356271,269.0064465258413,3.904104232788086e-05,Win
24,F24,ARPSO-SRR,PSO-RS,432.1121168157139,434.433825005065,0.10483990423381329,NSD
25,F25,ARPSO-SRR,PSO-RS,840.3514545495595,844.373263361933,0.40449450351297855,NSD
26,F26,ARPSO-SRR,PSO-RS,535.8285639890535,542.6975620771569,0.8552717231214046,NSD
27,F27,ARPSO-SRR,PSO-RS,211.31611898468455,390.9369000218672,0.001038169488310814,Win
28,F28,ARPSO-SRR,PSO-RS,24889.559820512797,59068.09483612642,0.03272089920938015,Win
29,F29,ARPSO-SRR,PSO-RS,559279.1466233494,849667.6424495387,0.17059839516878128,NSD
1,F1,ARPSO-SRR,ARPSO-Fixed,9001.842466992277,9136.101345983638,1.0,NSD
3,F3,ARPSO-SRR,ARPSO-Fixed,38.05500455647321,43.657228173905224,0.8552717231214046,NSD
4,F4,ARPSO-SRR,ARPSO-Fixed,135.91752086879256,156.76211527564354,0.01283373311161995,Win
5,F5,ARPSO-SRR,ARPSO-Fixed,0.00010799927282126495,0.0001446235526051017,0.7765688337385654,NSD
6,F6,ARPSO-SRR,ARPSO-Fixed,224.163237469481,236.3511402955509,0.5698575973510742,NSD
7,F7,ARPSO-SRR,ARPSO-Fixed,173.73333333333332,179.86672555033084,0.8372155293444421,NSD
8,F8,ARPSO-SRR,ARPSO-Fixed,2.5499466542505917,2.1266276953854724,0.2710056286305189,NSD
9,F9,ARPSO-SRR,ARPSO-Fixed,9.838111380776475,0.0,0.31731050786291415,NSD
10,F10,ARPSO-SRR,ARPSO-Fixed,24684.885872282142,24856.81722312504,0.7456546742469072,NSD
11,F11,ARPSO-SRR,ARPSO-Fixed,3711989.9209488723,5586063.914336168,0.8235769439488649,NSD
12,F12,ARPSO-SRR,ARPSO-Fixed,233981.35208483177,221972.91611120553,0.935398668050766,NSD
13,F13,ARPSO-SRR,ARPSO-Fixed,105699.78893786398,101474.2452814968,0.6120056137442589,NSD
14,F14,ARPSO-SRR,ARPSO-Fixed,110146.77625529912,223947.39411330878,0.1641840822994709,NSD
15,F15,ARPSO-SRR,ARPSO-Fixed,3364.6006346501968,4736.763330557742,0.5291051845997572,NSD
16,F16,ARPSO-SRR,ARPSO-Fixed,1068.9581128678333,1255.5760952336336,0.3492113798856735,NSD
17,F17,ARPSO-SRR,ARPSO-Fixed,54001.24051683864,58590.6979972471,0.5291051845997572,NSD
18,F18,ARPSO-SRR,ARPSO-Fixed,82581.58791297112,74566.93405003558,0.3598779272288084,NSD
19,F19,ARPSO-SRR,ARPSO-Fixed,71.58615410462389,124.22527062249438,0.20433024733906624,NSD
20,F20,ARPSO-SRR,ARPSO-Fixed,350.6958226788277,315.40017159548523,0.8078304156661034,NSD
21,F21,ARPSO-SRR,ARPSO-Fixed,0.0,3.3159779917405254,0.31731050786291415,NSD
22,F22,ARPSO-SRR,ARPSO-Fixed,259.4894955630992,241.07453115004373,0.8393927440047264,NSD
23,F23,ARPSO-SRR,ARPSO-Fixed,210.2902666356271,222.632252748191,0.4399667661637068,NSD
24,F24,ARPSO-SRR,ARPSO-Fixed,432.1121168157139,432.6306635452974,0.5425279382616282,NSD
25,F25,ARPSO-SRR,ARPSO-Fixed,840.3514545495595,842.0560880475202,0.8393927440047264,NSD
26,F26,ARPSO-SRR,ARPSO-Fixed,535.8285639890535,520.9294119059371,0.15794767439365387,NSD
27,F27,ARPSO-SRR,ARPSO-Fixed,211.31611898468455,217.77090002009695,0.7765688337385654,NSD
28,F28,ARPSO-SRR,ARPSO-Fixed,24889.559820512797,27089.90431696221,0.5698575973510742,NSD
29,F29,ARPSO-SRR,ARPSO-Fixed,559279.1466233494,732963.140688084,0.21293285302817822,NSD
1,F1,ARPSO-SRR,ARPSO-Global,9001.842466992277,10674.637356248057,0.6263462882488966,NSD
3,F3,ARPSO-SRR,ARPSO-Global,38.05500455647321,83.60899991728456,2.0798295736312866e-05,Win
4,F4,ARPSO-SRR,ARPSO-Global,135.91752086879256,242.5005552250169,0.054921628907322884,NSD
5,F5,ARPSO-SRR,ARPSO-Global,0.00010799927282126495,9.199953885854483e-05,0.3598779272288084,NSD
6,F6,ARPSO-SRR,ARPSO-Global,224.163237469481,668.9924966507946,0.39305018074810505,NSD
7,F7,ARPSO-SRR,ARPSO-Global,173.73333333333332,165.97418396165725,0.4254061278053525,NSD
8,F8,ARPSO-SRR,ARPSO-Global,2.5499466542505917,1.9013356950524023,0.12935307621955872,NSD
9,F9,ARPSO-SRR,ARPSO-Global,9.838111380776475,0.0,0.31731050786291415,NSD
10,F10,ARPSO-SRR,ARPSO-Global,24684.885872282142,39396.24578713159,0.0426517054438591,Win
11,F11,ARPSO-SRR,ARPSO-Global,3711989.9209488723,3947499.24583823,0.21293285302817822,NSD
12,F12,ARPSO-SRR,ARPSO-Global,233981.35208483177,286303.188463893,0.5158484429121017,NSD
13,F13,ARPSO-SRR,ARPSO-Global,105699.78893786398,102703.50526032591,0.8078304156661034,NSD
14,F14,ARPSO-SRR,ARPSO-Global,110146.77625529912,269953.9380078911,0.3492113798856735,NSD
15,F15,ARPSO-SRR,ARPSO-Global,3364.6006346501968,8467.350199551112,0.3492113798856735,NSD
16,F16,ARPSO-SRR,ARPSO-Global,1068.9581128678333,1333.5592664501753,0.46454504504799843,NSD
17,F17,ARPSO-SRR,ARPSO-Global,54001.24051683864,38067.98572885555,0.027741437777876854,Loss
18,F18,ARPSO-SRR,ARPSO-Global,82581.58791297112,82811.14566020928,0.9192965272814035,NSD
19,F19,ARPSO-SRR,ARPSO-Global,71.58615410462389,87.4706784529812,0.47239920501692023,NSD
20,F20,ARPSO-SRR,ARPSO-Global,350.6958226788277,539.7587627078682,0.005382779985666275,Win
21,F21,ARPSO-SRR,ARPSO-Global,0.0,0.0,1.0,NSD
22,F22,ARPSO-SRR,ARPSO-Global,259.4894955630992,676.3537635592199,0.001340603455901146,Win
23,F23,ARPSO-SRR,ARPSO-Global,210.2902666356271,226.12187516006912,0.7456546742469072,NSD
24,F24,ARPSO-SRR,ARPSO-Global,432.1121168157139,439.59990297524666,0.03841841779649258,Win
25,F25,ARPSO-SRR,ARPSO-Global,840.3514545495595,853.2611879204956,0.0037444327026605606,Win
26,F26,ARPSO-SRR,ARPSO-Global,535.8285639890535,527.2147086851403,0.40449450351297855,NSD
27,F27,ARPSO-SRR,ARPSO-Global,211.31611898468455,396.2511465346201,0.0014574769884347916,Win
28,F28,ARPSO-SRR,ARPSO-Global,24889.559820512797,145709.93469881263,0.00020912662148475647,Win
29,F29,ARPSO-SRR,ARPSO-Global,559279.1466233494,160795.37171478293,0.5561132747679949,NSD
1,F1,ARPSO-SRR,ARPSO-Local,9001.842466992277,7954.159842896741,0.4399667661637068,NSD
3,F3,ARPSO-SRR,ARPSO-Local,38.05500455647321,40.444758863265584,0.140283040702343,NSD
4,F4,ARPSO-SRR,ARPSO-Local,135.91752086879256,149.08251665219183,0.07324407435953617,NSD
5,F5,ARPSO-SRR,ARPSO-Local,0.00010799927282126495,7.93596213592688e-05,0.6120056137442589,NSD
6,F6,ARPSO-SRR,ARPSO-Local,224.163237469481,193.97261522323473,0.0426517054438591,Loss
7,F7,ARPSO-SRR,ARPSO-Local,173.73333333333332,181.53333333333356,0.4282590153668703,NSD
8,F8,ARPSO-SRR,ARPSO-Local,2.5499466542505917,2.2230415362648994,0.4399667661637068,NSD
9,F9,ARPSO-SRR,ARPSO-Local,9.838111380776475,0.0,0.31731050786291415,NSD
10,F10,ARPSO-SRR,ARPSO-Local,24684.885872282142,18801.884298400026,0.3492113798856735,NSD
11,F11,ARPSO-SRR,ARPSO-Local,3711989.9209488723,1445181.7507456846,0.0635564886033535,NSD
12,F12,ARPSO-SRR,ARPSO-Local,233981.35208483177,183307.89373556353,0.22855282202363014,NSD
13,F13,ARPSO-SRR,ARPSO-Local,105699.78893786398,106350.64401324176,0.6120056137442589,NSD
14,F14,ARPSO-SRR,ARPSO-Local,110146.77625529912,170741.86344405444,0.1641840822994709,NSD
15,F15,ARPSO-SRR,ARPSO-Local,3364.6006346501968,3574.222877674632,0.6554384250193834,NSD
16,F16,ARPSO-SRR,ARPSO-Local,1068.9581128678333,1117.5789008878785,0.7000329215079546,NSD
17,F17,ARPSO-SRR,ARPSO-Local,54001.24051683864,60303.91379194876,0.2988441474735737,NSD
18,F18,ARPSO-SRR,ARPSO-Local,82581.58791297112,96538.52249458588,0.5425279382616282,NSD
19,F19,ARPSO-SRR,ARPSO-Local,71.58615410462389,138.19233839878325,0.14539977506508558,NSD
20,F20,ARPSO-SRR,ARPSO-Local,350.6958226788277,299.45001018639846,0.6408254038542509,NSD
21,F21,ARPSO-SRR,ARPSO-Local,0.0,0.0,1.0,NSD
22,F22,ARPSO-SRR,ARPSO-Local,259.4894955630992,318.19179772263664,0.9192965272814035,NSD
23,F23,ARPSO-SRR,ARPSO-Local,210.2902666356271,222.56556009458762,0.010598260909318924,Win
24,F24,ARPSO-SRR,ARPSO-Local,432.1121168157139,424.95910992432465,0.8235769439488649,NSD
25,F25,ARPSO-SRR,ARPSO-Local,840.3514545495595,835.8390868318704,0.029325857758522034,Loss
26,F26,ARPSO-SRR,ARPSO-Local,535.8285639890535,511.98967784514656,0.008705463260412216,Loss
27,F27,ARPSO-SRR,ARPSO-Local,211.31611898468455,109.30039516237927,0.12935307621955872,NSD
28,F28,ARPSO-SRR,ARPSO-Local,24889.559820512797,23491.715869697335,0.5978077705949545,NSD
29,F29,ARPSO-SRR,ARPSO-Local,559279.1466233494,1681371.2469508103,0.4898460879921913,NSD
1,F1,ARPSO-SRR,ARPSO-EIS,9001.842466992277,76499.01224010966,0.01283373311161995,Win
