Algorithm,AvgRestartCount,StdRestartCount,AvgRestartedParticles
PSO-RS,1324.857142857143,341.991616304171,8633.578571428572
ARPSO-Global,1538.402380952381,280.19852913129256,10613.034523809523
ARPSO-Fixed,1626.5630952380952,243.41545354103806,16265.630952380952
ARPSO-EIS,2048.105952380952,373.45400600475426,13273.47380952381
ARPSO-SRR,2229.842857142857,311.21627533333105,14847.392857142857
ARPSO-Local,3561.682142857143,439.4440144931203,33812.151190476194
