FunctionID,Function,Algorithm,MeanError,StdError,MedianError,BestError,WorstError,AvgRestart,AvgRuntime
1,F1,ARPSO-EIS,76499.01224010966,255671.41537933197,20842.185943910168,75.61243834689847,1380820.3896917887,2401.5666666666666,9.05126501719157
1,F1,ARPSO-Fixed,9136.101345983638,8317.60308975232,5490.3766835875995,3.4295096591426812,20841.76721741244,1763.1333333333334,7.049175651868184
1,F1,ARPSO-Global,10674.637356248057,19191.329985161734,5266.708358118207,1.9422389012554362,102917.47728477066,1919.9,6.84938321908315
1,F1,ARPSO-Local,7954.159842896741,7409.289116022741,5490.376532964882,212.9374383737739,20841.76710091617,3433.733333333333,7.471012250582377
1,F1,ARPSO-SRR,9001.842466992279,7759.575863111177,5490.377758902239,59.984162249908195,20841.767374929914,2581.9,7.177984690666198
1,F1,PSO-RS,8069684.897158903,44153706.24837922,5535.438352817841,49.15099504164195,241848162.53513393,1653.5333333333333,6.808615247408549
3,F3,ARPSO-EIS,44.23280556369911,25.2374312319169,31.919644529402774,31.812673781639035,106.69377965309377,2101.9333333333334,15.906487170855204
3,F3,ARPSO-Fixed,43.65722817390522,23.87104000998423,31.872470233518072,31.813633364015402,107.05877470677376,1673.1666666666667,13.122608423233032
3,F3,ARPSO-Global,83.60899991728456,111.03545736066982,36.42609870617423,33.329898606917766,580.1523838030728,1591.6666666666667,14.610002287228902
3,F3,ARPSO-Local,40.444758863265584,22.36200220412454,31.86943875600295,31.812096215921144,112.54222050773149,3645.6,14.755471754074097
3,F3,ARPSO-SRR,38.0550045564732,18.27416371174263,31.984240193437273,31.815655653068745,100.08936157214737,2261.1,17.08284326394399
3,F3,PSO-RS,59.73163613755878,42.924995131483726,36.426104119788306,32.41446206028303,204.43613574051415,1481.7,12.969829074541728
4,F4,ARPSO-EIS,172.09867823921093,55.62846623383401,162.1797601401554,88.55129824363144,297.0588105078566,2300.4333333333334,11.603897817929585
4,F4,ARPSO-Fixed,156.76211527564354,29.633778859172658,154.69326649148422,101.48528741286714,209.14877069804493,1694.2333333333333,10.544673999150595
4,F4,ARPSO-Global,242.5005552250169,242.90397380476298,143.7742864116055,48.75294312121787,925.8785154792731,1890.0,10.928174829483032
4,F4,ARPSO-Local,149.0825166521918,34.521984443594164,153.22281855183058,69.64696230059428,210.92991110545245,3458.366666666667,13.382966415087383
4,F4,ARPSO-SRR,135.91752086879256,34.45276632677501,131.3340147519034,72.63168485368988,209.93450550310126,2443.4,10.183388074239096
4,F4,PSO-RS,182.8569007916164,104.24625177520853,152.58707288546157,103.25254294518925,678.8225022751344,1601.6333333333334,9.756326444943745
5,F5,ARPSO-EIS,0.00010022476639051092,0.000161667808986521,2.2437750885728747e-05,1.0128331950909342e-07,0.0005798542543971053,2517.1,64.25525427659353
5,F5,ARPSO-Fixed,0.0001446235526051017,0.00027877455213643095,1.9447998624855245e-05,9.43742861636565e-09,0.0012817006714271884,1617.4666666666667,60.83686474959055
5,F5,ARPSO-Global,9.199953885854483e-05,0.00022966888729307981,9.077123905854023e-06,1.0212301049250527e-07,0.0012322277807470527,1585.8666666666666,59.28069380919138
5,F5,ARPSO-Local,7.93596213592688e-05,0.0001379139312902741,2.4175953370786374e-05,1.3037322332820622e-08,0.0006268620790592649,3460.866666666667,59.05993460814158
5,F5,ARPSO-SRR,0.00010799927282126495,0.00020409629051158724,2.1804860352858668e-05,1.028303131533903e-08,0.0009690275045386443,2430.6666666666665,63.570843768119815
5,F5,PSO-RS,3.6152997845798986e-05,4.774161754384894e-05,1.5579237754081987e-05,1.2451636166588287e-07,0.00016659212604963614,1038.7333333333333,57.255539115269976
6,F6,ARPSO-EIS,316.0557740266764,116.45656275245867,296.9934702645182,101.43139502426516,579.2290177623042,2262.9,22.762404735883077
6,F6,ARPSO-Fixed,236.3511402955509,62.167971800679524,235.02490329721456,130.44944319567003,390.97450491042616,1673.8333333333333,22.909409483273823
6,F6,ARPSO-Global,668.9924966507945,2564.1120395653334,194.43480176385663,109.38933720061209,14241.268275906083,1848.7,20.755807677904766
6,F6,ARPSO-Local,193.9726152232347,54.14047759649674,181.62913219055184,107.85641596324149,359.38579488770006,3436.2,18.759347716967266
6,F6,ARPSO-SRR,224.163237469481,53.97873051733494,224.82020357627908,118.63190654295045,372.14277261815664,2371.9666666666667,21.638311219215392
