BaseAlgorithm,ComparedAlgorithm,Win,NSD,Loss
ARPSO-SRR,PSO-RS,6,22,0
ARPSO-SRR,ARPSO-Fixed,1,27,0
ARPSO-SRR,ARPSO-Global,8,19,1
ARPSO-SRR,ARPSO-Local,1,24,3
ARPSO-SRR,ARPSO-EIS,5,22,1
