source_file,Algorithm,__rows,AvgRestartCount__sum,AvgRestartCount__count,AvgRestartCount__min,AvgRestartCount__max,StdRestartCount__sum,StdRestartCount__count,StdRestartCount__min,StdRestartCount__max,AvgRestartedParticles__sum,AvgRestartedParticles__count,AvgRestartedParticles__min,AvgRestartedParticles__max,AvgRestartCount__mean,StdRestartCount__mean,AvgRestartedParticles__mean
results\cec2017_ablation6\ablation6_restart_summary.csv,ARPSO-EIS,1,2048.105952380952,1,2048.105952380952,2048.105952380952,373.4540060047543,1,373.4540060047543,373.4540060047543,13273.47380952381,1,13273.47380952381,13273.47380952381,2048.105952380952,373.4540060047543,13273.47380952381
results\cec2017_ablation6\ablation6_restart_summary.csv,ARPSO-Fixed,1,1626.5630952380952,1,1626.5630952380952,1626.5630952380952,243.4154535410381,1,243.4154535410381,243.4154535410381,16265.630952380952,1,16265.630952380952,16265.630952380952,1626.5630952380952,243.4154535410381,16265.630952380952
results\cec2017_ablation6\ablation6_restart_summary.csv,ARPSO-Global,1,1538.402380952381,1,1538.402380952381,1538.402380952381,280.19852913129256,1,280.19852913129256,280.19852913129256,10613.034523809523,1,10613.034523809523,10613.034523809523,1538.402380952381,280.19852913129256,10613.034523809523
results\cec2017_ablation6\ablation6_restart_summary.csv,ARPSO-Local,1,3561.682142857143,1,3561.682142857143,3561.682142857143,439.4440144931203,1,439.4440144931203,439.4440144931203,33812.151190476194,1,33812.151190476194,33812.151190476194,3561.682142857143,439.4440144931203,33812.151190476194
results\cec2017_ablation6\ablation6_restart_summary.csv,ARPSO-SRR,1,2229.842857142857,1,2229.842857142857,2229.842857142857,311.21627533333105,1,311.21627533333105,311.21627533333105,14847.392857142857,1,14847.392857142857,14847.392857142857,2229.842857142857,311.21627533333105,14847.392857142857
results\cec2017_ablation6\ablation6_restart_summary.csv,PSO-RS,1,1324.857142857143,1,1324.857142857143,1324.857142857143,341.991616304171,1,341.991616304171,341.991616304171,8633.578571428572,1,8633.578571428572,8633.578571428572,1324.857142857143,341.991616304171,8633.578571428572
