source_file,Algorithm,__rows,AverageRank__sum,AverageRank__count,AverageRank__min,AverageRank__max,AverageRank__mean
results\cec2017_ablation6\ablation6_average_rank.csv,ARPSO-EIS,1,3.4642857142857144,1,3.4642857142857144,3.4642857142857144,3.4642857142857144
results\cec2017_ablation6\ablation6_average_rank.csv,ARPSO-Fixed,1,3.4642857142857144,1,3.4642857142857144,3.4642857142857144,3.4642857142857144
results\cec2017_ablation6\ablation6_average_rank.csv,ARPSO-Global,1,4.25,1,4.25,4.25,4.25
results\cec2017_ablation6\ablation6_average_rank.csv,ARPSO-Local,1,2.7142857142857144,1,2.7142857142857144,2.7142857142857144,2.7142857142857144
results\cec2017_ablation6\ablation6_average_rank.csv,ARPSO-SRR,1,2.7142857142857144,1,2.7142857142857144,2.7142857142857144,2.7142857142857144
results\cec2017_ablation6\ablation6_average_rank.csv,PSO-RS,1,4.392857142857143,1,4.392857142857143,4.392857142857143,4.392857142857143
