source_file,Algorithm,Function,CurveBin,__rows,MeanBest__min,MeanBest__max
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,11,1,5388.425883726045,5388.425883726045
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,12,3,5288.923737512228,5365.06994725791
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,13,2,5189.814328682826,5230.802826893809
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,14,3,5170.898998830966,5189.814328682826
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,15,4,4982.775555901152,5113.717288658126
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,16,5,4864.930397659727,4967.423013292205
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,17,5,4809.2336718640445,4861.498392055981
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,18,7,4775.797146411388,4809.2336718640445
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,19,8,4614.070135266396,4775.797146411388
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,20,10,4575.658289992249,4614.070135266396
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,21,12,4489.487258084509,4561.774492037896
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,22,14,4297.542240710905,4466.552538486333
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,23,17,4221.143278955905,4288.014658843217
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,24,22,4041.125849352881,4215.335481764269
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,25,25,4019.869421200217,4041.125849352881
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,26,31,3848.262945689759,4019.869421200217
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,27,38,3703.369155803785,3848.262945689759
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,28,46,3588.655253818001,3703.369155803785
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,29,55,3459.2807613720083,3588.655253818001
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,30,67,3377.147625530041,3459.2807613720083
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,31,81,3332.7627952954613,3377.147625530041
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,32,98,3163.2410846561,3332.7627952954613
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,33,119,2952.5623594386057,3163.2410846561
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,34,144,2358.9128207033064,2952.5623594386057
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,35,174,1560.0667845540115,2358.9128207033064
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,36,212,1081.8900720670842,1559.2969178429755
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,37,256,1059.965964091426,1080.2600256877306
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,38,311,818.8547516069307,1059.9659640914226
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,39,376,137.946041022562,818.8547516069307
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,40,456,-958.7555740059848,137.89802190409125
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,41,552,-2977.6109496719573,-961.2760346218896
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,42,669,-3408.490425193206,-2978.130690042568
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,43,810,-3500.6595483548854,-3408.527001407608
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,44,982,-3517.231597746289,-3500.6841921680098
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F10,45,377,-3538.9940813257726,-3517.231655482907
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,3,1,981033981.2762992,981033981.2762992
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,5,1,266010718.41846785,266010718.41846785
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,7,1,95782016.50606383,95782016.50606383
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,8,1,45036399.78786245,45036399.78786245
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,9,1,19783510.50183893,19783510.50183893
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,10,2,8154757.081271983,12023777.25413214
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,11,1,5749900.581850709,5749900.581850709
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,12,3,2307621.5022305357,4120822.0230930247
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,13,2,1940868.589109005,2195064.917454308
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,14,3,1564493.358781531,1794778.6062930503
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,15,4,1245980.070522569,1509274.7508559802
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,16,5,974227.4697043396,1130957.4514868148
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,17,5,840943.2977891256,967809.128371978
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,18,7,731177.9190218702,824167.7941402186
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,19,8,647046.6851176537,728151.4664182919
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,20,10,558651.0750374042,637235.499844556
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,21,12,517630.9327085652,558651.0750374042
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,22,14,480226.102477689,517630.9327085652
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,23,17,451997.0754037848,467766.3668053529
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,24,22,423903.4122520444,451997.0754037848
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,25,25,415933.8783241529,423903.4122520444
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,26,31,371089.613607269,408946.40881287295
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,27,38,354179.39386370766,371089.613607269
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,28,46,340842.80747831496,354179.39386370766
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,29,55,328850.90486618405,340842.80747831496
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,30,67,313566.6313230534,328850.90486618405
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,31,81,286882.75239273295,313566.6313230534
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,32,98,264877.1504365527,286840.32519723324
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,33,119,250432.8614108242,264877.1504365527
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,34,144,226317.8998889984,250273.92952539885
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,35,174,203469.273512087,226316.01918138613
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,36,212,178659.4220869494,203144.3001322304
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,37,256,145542.77535591574,178631.371921915
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,38,311,115493.8238246181,145518.74800069229
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,39,376,104612.056700051,115477.20162191534
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,40,456,100742.4187474558,104601.42766995024
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F11,41,552,83324.9201117044,100742.16238591808
