source_file,Algorithm,Function,__rows,Best__sum,Best__count,Best__min,Best__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,Best__mean,AvgRestart__mean
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F1,1,279.98838722405145,1,279.98838722405145,279.98838722405145,74.0,1,74.0,74.0,279.98838722405145,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F10,1,-6787.757928225863,1,-6787.757928225863,-6787.757928225863,38.1,1,38.1,38.1,-6787.757928225863,38.1
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F11,1,900.7482688984488,1,900.7482688984488,900.7482688984488,57.93333333333333,1,57.93333333333333,57.93333333333333,900.7482688984488,57.93333333333333
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F12,1,14691.485822977049,1,14691.485822977049,14691.485822977049,74.0,1,74.0,74.0,14691.485822977049,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F13,1,25388.15974673898,1,25388.15974673898,25388.15974673898,73.6,1,73.6,73.6,25388.15974673898,73.6
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F14,1,3007.879370458064,1,3007.879370458064,3007.879370458064,41.66666666666666,1,41.66666666666666,41.66666666666666,3007.879370458064,41.66666666666666
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F15,1,14966.213903677206,1,14966.213903677206,14966.213903677206,71.46666666666667,1,71.46666666666667,71.46666666666667,14966.213903677206,71.46666666666667
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F16,1,-663.9075281084741,1,-663.9075281084741,-663.9075281084741,67.56666666666666,1,67.56666666666666,67.56666666666666,-663.9075281084741,67.56666666666666
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F17,1,-124.5657337978446,1,-124.5657337978446,-124.5657337978446,59.1,1,59.1,59.1,-124.5657337978446,59.1
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F18,1,5069.59768083325,1,5069.59768083325,5069.59768083325,29.566666666666663,1,29.566666666666663,29.566666666666663,5069.59768083325,29.566666666666663
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F19,1,100.7902735050102,1,100.7902735050102,100.7902735050102,73.46666666666667,1,73.46666666666667,73.46666666666667,100.7902735050102,73.46666666666667
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F20,1,-321.0421563747145,1,-321.0421563747145,-321.0421563747145,72.83333333333333,1,72.83333333333333,72.83333333333333,-321.0421563747145,72.83333333333333
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F21,1,100.00000000000092,1,100.00000000000092,100.00000000000092,73.93333333333334,1,73.93333333333334,73.93333333333334,100.00000000000092,73.93333333333334
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F22,1,-8915.98105114548,1,-8915.98105114548,-8915.98105114548,62.46666666666667,1,62.46666666666667,62.46666666666667,-8915.98105114548,62.46666666666667
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F23,1,100.00000000000092,1,100.00000000000092,100.00000000000092,73.86666666666666,1,73.86666666666666,73.86666666666666,100.00000000000092,73.86666666666666
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F24,1,200.00000000000043,1,200.00000000000043,200.00000000000043,73.73333333333333,1,73.73333333333333,73.73333333333333,200.00000000000043,73.73333333333333
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F25,1,421.03142120231314,1,421.03142120231314,421.03142120231314,73.96666666666667,1,73.96666666666667,73.96666666666667,421.03142120231314,73.96666666666667
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F26,1,825.7158784680364,1,825.7158784680364,825.7158784680364,74.0,1,74.0,74.0,825.7158784680364,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F27,1,466.3888365833645,1,466.3888365833645,466.3888365833645,74.0,1,74.0,74.0,466.3888365833645,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F28,1,1.3642420526593924e-12,1,1.3642420526593924e-12,1.3642420526593924e-12,72.46666666666667,1,72.46666666666667,72.46666666666667,1.3642420526593924e-12,72.46666666666667
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F29,1,2803.5668698045547,1,2803.5668698045547,2803.5668698045547,53.5,1,53.5,53.5,2803.5668698045547,53.5
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F3,1,5.684341886080803e-14,1,5.684341886080803e-14,5.684341886080803e-14,74.0,1,74.0,74.0,5.684341886080803e-14,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F30,1,2910.6730754948985,1,2910.6730754948985,2910.6730754948985,68.96666666666667,1,68.96666666666667,68.96666666666667,2910.6730754948985,68.96666666666667
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F4,1,2.79185535322722,1,2.79185535322722,2.79185535322722,71.5,1,71.5,71.5,2.79185535322722,71.5
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F5,1,61.68733037473555,1,61.68733037473555,61.68733037473555,74.0,1,74.0,74.0,61.68733037473555,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F6,1,4.3621639633784065e-10,1,4.3621639633784065e-10,4.3621639633784065e-10,68.73333333333333,1,68.73333333333333,68.73333333333333,4.3621639633784065e-10,68.73333333333333
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F7,1,111.29282686680632,1,111.29282686680632,111.29282686680632,74.0,1,74.0,74.0,111.29282686680632,74.0
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F8,1,74.0,1,74.0,74.0,59.63333333333333,1,59.63333333333333,59.63333333333333,74.0,59.63333333333333
results\cec\cec2017_summary_results.csv,ARPSO-EIS,CEC2017-F9,1,3.410605131648481e-13,1,3.410605131648481e-13,3.410605131648481e-13,73.96666666666667,1,73.96666666666667,73.96666666666667,3.410605131648481e-13,73.96666666666667
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F1,1,41.41085539802228,1,41.41085539802228,41.41085539802228,74.0,1,74.0,74.0,41.41085539802228,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F10,1,-5376.912211477142,1,-5376.912211477142,-5376.912211477142,30.73333333333333,1,30.73333333333333,30.73333333333333,-5376.912211477142,30.73333333333333
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F11,1,352.5295026247986,1,352.5295026247986,352.5295026247986,70.06666666666666,1,70.06666666666666,70.06666666666666,352.5295026247986,70.06666666666666
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F12,1,3060.3639627661905,1,3060.3639627661905,3060.3639627661905,74.0,1,74.0,74.0,3060.3639627661905,74.0
