source_file,Algorithm,Function,__rows,RestartIndex__sum,RestartIndex__count,RestartIter__sum,RestartIter__count,RestartRatio__sum,RestartRatio__count,RestartSigma__sum,RestartSigma__count,RestartInefficiencyScore__sum,RestartInefficiencyScore__count,RestartIndex__min,RestartIter__min,RestartRatio__min,RestartSigma__min,RestartInefficiencyScore__min,RestartIndex__max,RestartIter__max,RestartRatio__max,RestartSigma__max,RestartInefficiencyScore__max,RestartIndex__mean,RestartIter__mean,RestartRatio__mean,RestartSigma__mean,RestartInefficiencyScore__mean
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F1,2220,83250,2220,9638130,2220,389.94169274164597,2220,10636.737071938353,2220,1901.0285462063878,2220,1,2699,0.0755188478362416,0.4,0.7412480315340982,74,5984,0.1799913386650774,9.887769504795497,0.9191551248623806,37.5,4341.5,0.17564941114488558,4.791323005377636,0.8563191649578323
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F10,1143,27902,1143,5601326,1143,169.72814207214682,1143,2960.1617021151656,1143,1004.5537019716472,1143,1,2699,0.0505302875279234,0.4,0.8143752076019839,68,5996,0.1799208497710519,7.242050903713561,0.9262419041325088,24.411198600174977,4900.547681539808,0.14849356261780125,2.5898177621305036,0.8788746298964543
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F11,1738,61789,1738,7659039,1738,250.88298639590556,1738,6429.105710437191,1738,1504.8786956309518,1738,1,2699,0.050403727608598,0.4,0.7333917548254335,74,5995,0.1796748661770774,9.406884254880806,0.9537502950975996,35.55178365937859,4406.811852704258,0.1443515456823392,3.699140224647406,0.8658680642295465
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F12,2220,83250,2220,9638922,2220,388.2634183986732,2220,10582.281146586494,2220,1916.8689520670143,2220,1,2699,0.0544437602047126,0.4,0.7645312056563771,74,5995,0.1799999838001103,9.901649452452808,0.9200006876517504,37.5,4341.856756756757,0.17489343171111404,4.766793309273195,0.8634544829130695
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F13,2208,82428,2208,9603180,2208,382.96695380904396,2208,10370.114740122044,2208,1913.4755018631977,2208,1,2699,0.0568773674881324,0.4,0.7709888746492514,74,5987,0.179987585966918,9.88797925977554,0.9286991804432628,37.33152173913044,4349.266304347826,0.17344517835554527,4.696609936649477,0.866610281640941
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F14,1250,31144,1250,6061641,1250,166.22229394809537,1250,3060.715202382597,1250,1121.4697661105222,1250,1,2699,0.0500415111816281,0.4,0.8166063573098729,74,5997,0.1757858096202797,7.545455343193586,0.9426642450791968,24.9152,4849.3128,0.1329778351584763,2.4485721619060774,0.8971758128884177
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F15,2144,80327,2144,9312145,2144,353.922480987962,2144,9542.977503678765,2144,1869.540377963952,2144,1,2699,0.0565542489413131,0.4,0.7730199535644031,74,5990,0.1799654184120939,9.87924707689614,0.9339328224641186,37.465951492537314,4343.351212686567,0.16507578404289272,4.451015626715842,0.8719871165876643
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F16,2027,73010,2027,8909838,2027,333.37104844379,2027,8665.486071430125,2027,1769.5692579329636,2027,1,2699,0.0565347322385284,0.4,0.765418270669743,74,5984,0.1799996973309776,9.901634906210928,0.938138738391521,36.01874691662555,4395.578687715836,0.16446524343551555,4.275030128973914,0.872999140568803
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F17,1773,59958,1773,7971956,1773,268.22397908058184,1773,6301.086252584013,1773,1557.5952934761467,1773,1,2699,0.052699978216649,0.4,0.7683768154544129,74,5996,0.17975713090075,8.788804153522888,0.9331922326817164,33.81725888324873,4496.309080654259,0.15128256011313132,3.553912155997751,0.8785083437541719
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F18,887,17379,887,4404815,887,92.1759831531756,887,1375.122169101335,887,796.7771739733298,887,1,2699,0.0521622847593882,0.4,0.8054998909572137,57,5994,0.1646297808814168,3.6821041180023775,0.9604647455397916,19.593010146561443,4965.969560315671,0.10391880851541781,1.5503068422788444,0.8982831724614767
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F19,2204,82157,2204,9582934,2204,354.24119709762147,2204,9467.69362866869,2204,1952.554815637256,2204,1,2699,0.0518571428571428,0.4,0.7939094432086504,74,5984,0.1799617475554387,9.430796080429982,0.9429654829982556,37.276315789473685,4347.973684210527,0.1607264959608083,4.295686764368734,0.8859141631747985
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F20,2185,80769,2185,9531261,2185,320.68480625987013,2185,8087.075874588014,2185,1917.6534396779132,2185,1,2699,0.0500647467921848,0.4,0.7834649082409338,74,5994,0.1786525209611507,7.466581888476502,0.9597862681836592,36.96521739130435,4362.133180778032,0.14676650172076436,3.701178889971631,0.877644594818267
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F21,2218,83102,2218,9628883,2218,376.77907591549143,2218,10126.592809176267,2218,1895.2328428266335,2218,1,2699,0.0571849251653435,0.4,0.7315733463905753,74,5991,0.1799937051843758,9.898407713276464,0.9290064260685452,37.46708746618575,4341.245716862038,0.16987334351464897,4.565641482946919,0.8544782880192215
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F22,1874,60987,1874,8543759,1874,308.65334450673095,1874,7047.593111008455,1874,1634.328090374381,1874,1,2699,0.0523978506917703,0.4,0.7683342720634825,74,5998,0.1799923418129474,9.54280729645121,0.9290614409636452,32.54375667022412,4559.102988260405,0.16470295864820222,3.7607220442947997,0.8721067718113026
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F23,2216,82954,2216,9622466,2216,379.11964263794687,2216,10173.682472333026,2216,1899.0164115088662,2216,1,2699,0.0566170767575117,0.4,0.7129717949875582,74,5997,0.1799930545514446,9.900935222410196,0.9233312953545256,37.43411552346571,4342.2680505415165,0.1710828712265103,4.591011945998658,0.8569568643993078
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F24,2212,82659,2212,9607657,2212,378.53533938200087,2212,10167.131907410168,2212,1899.8619905267835,2212,1,2699,0.0594716340466852,0.4,0.709234014474525,74,5992,0.1799954951639232,9.86429120935972,0.9234316028389512,37.368444846292945,4343.425406871609,0.17112809194484668,4.596352580203512,0.8588887841441155
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F25,2219,83176,2219,9633796,2219,384.8286172079004,2219,10483.357477513486,2219,1888.6160771653906,2219,1,2699,0.0533944665200825,0.4,0.7397877903000937,74,5984,0.1799811305735552,9.83107868372704,0.9142136587072072,37.48355114916629,4341.503379900856,0.17342434304096457,4.724361188604545,0.8511113461763815
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F26,2220,83250,2220,9638130,2220,386.84409618917687,2220,10654.128786603997,2220,1879.10316060961,2220,1,2699,0.0680797148838623,0.4,0.7234651345377477,74,5984,0.18,9.901650275045842,0.950000360903518,37.5,4341.5,0.1742540973825121,4.799157111082882,0.846442865139464
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F27,2220,83250,2220,9638130,2220,392.3811406782583,2220,10794.465993027072,2220,1903.3661737463635,2220,1,2699,0.0661367654044184,0.4,0.7514889690845002,74,5984,0.1799999942399054,9.901649982561525,0.9312890162915894,37.5,4341.5,0.17674826156678303,4.862372068931114,0.8573721503361997
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F28,2174,80258,2174,9410313,2174,343.40332778154993,2174,9334.15473343122,2174,1821.5478269099926,2174,1,2699,0.0522809674890548,0.4,0.6915052469307986,74,5998,0.1799991184155668,9.901605510221508,0.9242393656866308,36.917203311867524,4328.570837166513,0.15795921241101654,4.29353943580093,0.8378784852391871
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F29,1605,56673,1605,7095434,1605,250.9909015002128,1605,6329.169150773861,1605,1396.9485320283393,1605,1,2699,0.0535667575300687,0.4,0.7625557261971446,74,5997,0.1799901187258595,9.901148526733994,0.9346418012791512,35.31028037383177,4420.831152647975,0.15638062398767152,3.943407570575614,0.8703729171516132
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F3,2220,83250,2220,9638933,2220,378.05353698023265,2220,10252.144459014133,2220,1898.2042910393213,2220,1,2699,0.0670315695001304,0.4,0.7594578567109784,74,5995,0.1799463189160137,9.82844844352802,0.908003961513519,37.5,4341.861711711712,0.17029438602713182,4.618083089646006,0.8550469779456402
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F30,2069,76798,2069,8988312,2069,345.2205135289693,2069,9278.480406322225,2069,1805.6924875953036,2069,1,2699,0.0569616425676642,0.4,0.7673445035413413,74,5996,0.1799920845995308,9.901248349265162,0.93687040566893,37.11841469308845,4344.278395360077,0.16685380064232447,4.484524120987059,0.8727368233906736
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F4,2145,80328,2145,9315467,2145,368.54700490914274,2145,9952.95302153333,2145,1836.1963262212523,2145,1,2699,0.0569356180099601,0.4,0.7439258626170997,74,5996,0.1799907371215321,9.88361803297615,0.9208481435722022,37.44895104895105,4342.875058275058,0.17181678550542787,4.640071338710177,0.8560355833199311
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F5,2220,83250,2220,9638130,2220,378.3252261461143,2220,10199.52629582437,2220,1894.0986158550843,2220,1,2699,0.0549547176292624,0.4,0.7605991183024103,74,5984,0.1799466035924001,9.233811671710397,0.9102445846067184,37.5,4341.5,0.17041676853428572,4.594381214335302,0.8531975747094974
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F6,2062,73774,2062,9104465,2062,338.91751348089184,2062,8724.482035871688,2062,1814.3257823170916,2062,1,2699,0.0516422377670062,0.4,0.7770445035424862,74,5998,0.1799500630623021,8.665915551299577,0.9315500300501705,35.77788554801164,4415.356450048496,0.16436348859403097,4.231077611964931,0.8798864123749232
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F7,2220,83250,2220,9639583,2220,384.24680877700314,2220,10384.45291647358,2220,1900.5080077346202,2220,1,2699,0.0620490756562628,0.4,0.7445294789346423,74,5997,0.1799199032520452,9.773369468988742,0.9317190132667053,37.5,4342.154504504504,0.17308414809774916,4.677681493907018,0.8560846881687478
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F8,1789,55021,1789,8284328,1789,286.144633047669,1789,6083.930595461589,1789,1541.531988993328,1789,1,2699,0.0533885893064992,0.4,0.7838657596911361,73,5996,0.1795997583222414,7.194934498962807,0.914874911968968,30.755170486305197,4630.703186137507,0.15994669259232477,3.400743764931017,0.8616724365530062
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-EIS,CEC2017-F9,2219,83176,2219,9634233,2219,390.04044263316666,2219,10703.363943581762,2219,1881.4886547199862,2219,1,2699,0.0528582396969976,0.4,0.7457825503202692,74,5992,0.1799880122431468,9.841278477326004,0.9685003485899996,37.48355114916629,4341.700315457413,0.1757730701366231,4.823507861010258,0.8478993486795792
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F1,2220,83250,2220,9638130,2220,391.8820765549773,2220,10732.428351991508,2220,,0,1,2699,0.0641864041953611,0.4,,74,5984,0.1799940511354731,9.893979148267688,,37.5,4341.5,0.17652345790764742,4.83442718558176,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F10,922,17843,922,4714379,922,144.3522184084769,922,1965.996669821312,922,,0,1,2699,0.0501743633073214,0.4,,55,5998,0.1799449593130551,5.813711881468125,,19.352494577006507,5113.209327548807,0.15656422820876018,2.13231742930728,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F11,2102,75573,2102,9248529,2102,319.15686098508047,2102,8304.540202845279,2102,,0,1,2699,0.0518571428571428,0.4,,74,5995,0.1797770083416173,9.2336157977291,,35.95290199809705,4399.8710751665085,0.1518348529900478,3.9507803058255373,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F12,2220,83250,2220,9638130,2220,386.54026920281905,2220,10527.120858546556,2220,,0,1,2699,0.0815197685879259,0.4,,74,5984,0.1799725904868732,9.885743550581909,,37.5,4341.5,0.1741172383796482,4.741946332678629,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F13,2220,83250,2220,9638922,2220,383.74058943264146,2220,10420.576504033306,2220,,0,1,2699,0.0584205652608912,0.4,,74,5996,0.1799851603027487,9.860493148831685,,37.5,4341.856756756757,0.17285612136605472,4.693953380195183,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F14,1509,40543,1509,7250231,1509,223.2737678364235,1509,4273.4358921406865,1509,,0,1,2699,0.0510577229718597,0.4,,71,5998,0.1780969337662681,6.981721923207476,,26.8674618952949,4804.659377070908,0.14796141009703348,2.8319654686154316,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F15,2192,81369,2192,9554242,2192,376.17259977987476,2192,10150.815690702393,2192,,0,1,2699,0.0572470399842408,0.4,,74,5990,0.17998923663075,9.890583501408496,,37.120894160583944,4358.68704379562,0.17161158749081878,4.6308465742255445,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F16,2141,77955,2141,9385266,2141,349.70830386184804,2141,9168.60510644204,2141,,0,1,2699,0.0513113743446051,0.4,,74,5992,0.1799069846565054,9.457696477982791,,36.4105558150397,4383.589911256422,0.1633387687350995,4.28239379095845,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F17,1860,63027,1860,8351371,1860,294.31242927814554,1860,6994.088924650208,1860,,0,1,2699,0.0509285714285714,0.4,,74,5996,0.1797506834303486,8.616297423268362,,33.88548387096774,4489.98440860215,0.15823248885921803,3.760262862715166,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F18,886,16986,886,4424993,886,93.61467070337922,886,1394.3952676328752,886,,0,1,2699,0.0517911434778278,0.4,,59,5998,0.1685944826069876,4.619959454919691,,19.17155756207675,4994.348758465011,0.1056598992137463,1.5738095571477146,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F19,2209,82441,2209,9595068,2209,349.89302097160567,2209,9282.822435835158,2209,,0,1,2699,0.0547902043889084,0.4,,74,5984,0.1799755137603906,9.483022109705322,,37.32050701674966,4343.625169760073,0.15839430555527645,4.2022736241897505,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F20,2202,81949,2202,9579456,2202,330.93311583157464,2202,8424.282456751422,2202,,0,1,2699,0.0520996788569603,0.4,,74,5984,0.1794729134715073,7.748017704798558,,37.21571298819255,4350.343324250681,0.15028751854294942,3.825741351839883,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F21,2220,83250,2220,9639630,2220,377.25078990645295,2220,10131.75174368378,2220,,0,1,2699,0.05374980797135,0.4,,74,5996,0.1799951559315663,9.887200711160688,,37.5,4342.175675675676,0.16993278824615,4.5638521367944955,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F22,1704,51147,1704,7955038,1704,291.52700603157666,1704,6221.622350852923,1704,,0,1,2699,0.0516996376624223,0.4,,74,5998,0.1799859829447993,8.852122187271668,,30.015845070422536,4668.449530516432,0.1710839237274511,3.6511868256179123,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F23,2210,82510,2210,9598533,2210,378.9937067703778,2210,10160.407941055391,2210,,0,1,2699,0.0525904263322821,0.4,,74,5995,0.1799961275323913,9.901065389080593,,37.334841628959275,4343.227601809955,0.1714903650544696,4.59746965658615,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F24,2208,82364,2208,9595295,2208,379.41584323277823,2208,10179.012371337163,2208,,0,1,2699,0.0558917317306633,0.4,,74,5995,0.179994231196968,9.846369245275689,,37.302536231884055,4345.695199275362,0.1718368855220916,4.610059950786758,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F25,2220,83250,2220,9638130,2220,387.1369670831346,2220,10581.178855395785,2220,,0,1,2699,0.0755149964538983,0.4,,74,5984,0.1799808165837074,9.822447026162038,,37.5,4341.5,0.17438602120861918,4.766296781709813,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F26,2220,83250,2220,9638130,2220,387.37867396946007,2220,10679.55137869253,2220,,0,1,2699,0.0800763282019293,0.4,,74,5984,0.18,9.901650275045842,,37.5,4341.5,0.17449489818444147,4.810608729140779,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F27,2220,83250,2220,9638130,2220,394.8534392529067,2220,10888.554265158364,2220,,0,1,2699,0.1097694008415131,0.4,,74,5984,0.1799999944455552,9.901649993003945,,37.5,4341.5,0.17786190957338138,4.904754173494759,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F28,2173,80175,2173,9400648,2173,344.64467887961587,2173,9402.330204286742,2173,,0,1,2699,0.0544323803584211,0.4,,74,5996,0.179997441860318,9.90152037861258,,36.89599631845375,4326.115048320295,0.15860316561418125,4.326889187430622,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F29,1831,65186,1831,8043598,1831,293.1810698388602,1831,7619.436264061047,1831,,0,1,2699,0.052567966769944,0.4,,74,5997,0.1799933742506589,9.901313834775149,,35.60131075914801,4393.008192244675,0.16012073721401432,4.161352410737874,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F3,2220,83250,2220,9638130,2220,378.38737311963735,2220,10269.500066584913,2220,,0,1,2699,0.0765197188215776,0.4,,74,5984,0.1799550258554234,9.745170529341475,,37.5,4341.5,0.1704447626665033,4.625900930894105,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F30,2158,79169,2158,9425423,2158,357.1845081446414,2158,9470.259525359179,2158,,0,1,2699,0.0530713710536365,0.4,,74,5998,0.1799990660013908,9.901602848750532,,36.68628359592215,4367.665894346617,0.16551645419121475,4.388442782835579,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F4,2218,83102,2218,9629081,2218,385.01794374963976,2218,10502.48103336135,2218,,0,1,2699,0.0611633670921951,0.4,,74,5989,0.1799961483154485,9.893696898389354,,37.46708746618575,4341.334986474301,0.1735878916815328,4.735113180054711,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F5,2220,83250,2220,9638274,2220,378.43461634029046,2220,10183.056509102233,2220,,0,1,2699,0.0535164773216121,0.4,,74,5986,0.1799897741749545,9.272708138719253,,37.5,4341.564864864865,0.17046604339652724,4.586962391487492,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F6,2161,79713,2161,9440865,2161,366.155409817201,2161,9731.297995335093,2161,,0,1,2699,0.0544198277008992,0.4,,74,5991,0.1798639292330443,8.765800531298016,,36.88708931050439,4368.748264692272,0.16943794993854744,4.503145763690465,
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,ARPSO-v4,CEC2017-F7,2220,83250,2220,9638349,2220,384.05946359803903,2220,10375.577697763667,2220,,0,1,2699,0.0662915120526726,0.4,,74,5987,0.1799596289814981,9.734081384360548,,37.5,4341.598648648649,0.17299975837749507,4.673683647641291,
