source_file,Algorithm,Function,__rows,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,StdRestart__sum,StdRestart__count,StdRestart__min,StdRestart__max,MaxRestart__sum,MaxRestart__count,MaxRestart__min,MaxRestart__max,MinRestart__sum,MinRestart__count,MinRestart__min,MinRestart__max,AvgRestart__mean,StdRestart__mean,MaxRestart__mean,MinRestart__mean
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F1,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F10,1,38.1,1,38.1,38.1,19.575406808649927,1,19.575406808649927,19.575406808649927,68,1,68,68,1,1,1,1,38.1,19.575406808649927,68.0,1.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F11,1,57.93333333333333,1,57.93333333333333,57.93333333333333,27.00693823156705,1,27.00693823156705,27.00693823156705,74,1,74,74,0,1,0,0,57.93333333333333,27.00693823156705,74.0,0.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F12,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F13,1,73.6,1,73.6,73.6,2.1908902300206634,1,2.1908902300206634,2.1908902300206634,74,1,74,74,62,1,62,62,73.6,2.1908902300206634,74.0,62.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F14,1,41.66666666666666,1,41.66666666666666,41.66666666666666,17.572182823866882,1,17.572182823866882,17.572182823866882,74,1,74,74,9,1,9,9,41.66666666666666,17.572182823866882,74.0,9.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F15,1,71.46666666666667,1,71.46666666666667,71.46666666666667,13.500276710659223,1,13.500276710659223,13.500276710659223,74,1,74,74,0,1,0,0,71.46666666666667,13.500276710659223,74.0,0.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F16,1,67.56666666666666,1,67.56666666666666,67.56666666666666,15.575585079691637,1,15.575585079691637,15.575585079691637,74,1,74,74,0,1,0,0,67.56666666666666,15.575585079691637,74.0,0.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F17,1,59.1,1,59.1,59.1,21.462637945653533,1,21.462637945653533,21.462637945653533,74,1,74,74,0,1,0,0,59.1,21.462637945653533,74.0,0.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F18,1,29.566666666666663,1,29.566666666666663,29.566666666666663,16.236789502033133,1,16.236789502033133,16.236789502033133,57,1,57,57,2,1,2,2,29.566666666666663,16.236789502033133,57.0,2.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F19,1,73.46666666666667,1,73.46666666666667,73.46666666666667,2.556038601690773,1,2.556038601690773,2.556038601690773,74,1,74,74,60,1,60,60,73.46666666666667,2.556038601690773,74.0,60.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F20,1,72.83333333333333,1,72.83333333333333,72.83333333333333,2.7048275275926565,1,2.7048275275926565,2.7048275275926565,74,1,74,74,65,1,65,65,72.83333333333333,2.7048275275926565,74.0,65.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F21,1,73.93333333333334,1,73.93333333333334,73.93333333333334,0.2537081317024639,1,0.2537081317024639,0.2537081317024639,74,1,74,74,73,1,73,73,73.93333333333334,0.2537081317024639,74.0,73.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F22,1,62.46666666666667,1,62.46666666666667,62.46666666666667,10.234267432750498,1,10.234267432750498,10.234267432750498,74,1,74,74,41,1,41,41,62.46666666666667,10.234267432750498,74.0,41.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F23,1,73.86666666666666,1,73.86666666666666,73.86666666666666,0.345745903641759,1,0.345745903641759,0.345745903641759,74,1,74,74,73,1,73,73,73.86666666666666,0.345745903641759,74.0,73.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F24,1,73.73333333333333,1,73.73333333333333,73.73333333333333,0.5208304597621894,1,0.5208304597621894,0.5208304597621894,74,1,74,74,72,1,72,72,73.73333333333333,0.5208304597621894,74.0,72.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F25,1,73.96666666666667,1,73.96666666666667,73.96666666666667,0.182574185835055,1,0.182574185835055,0.182574185835055,74,1,74,74,73,1,73,73,73.96666666666667,0.182574185835055,74.0,73.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F26,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-EIS,CEC2017-F27,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
