Algorithm,AvgRuntimeSeconds,StdRuntimeSeconds,TotalRuntimeSeconds,RelativeRuntime
ARPSO-EIS,72.06791686482762,79.4146788911596,62699.087672400026,1.003464451697068
ARPSO-v4,71.81910305137936,78.92532959477491,62482.61965470004,1.0
CLPSO,77.39890451436784,85.71095187599593,67337.04692750002,1.0776924415081695
DE,89.87691736344834,78.52683012790094,78192.91810620006,1.2514346955732716
GA,85.43927279436764,80.58991218961947,74332.16733109984,1.1896455004909268
HPSO-TVAC,72.82030272229889,83.37987639854695,63353.66336840004,1.0139405760916183
PSO,74.08777448459799,85.17134333553766,64456.36380160025,1.0315886907080365
PSO-AW,75.36689165471269,88.09190518089957,65569.19573960004,1.0493989544925846
PSO-RS,76.20805783643722,90.08875207800322,66301.01031770038,1.0611112447605757
