Function,Algorithm,Mean,Std,Best,Worst,Median,AvgRestart
CEC2017-F11,DE,331.17011203543285,454.2887058476909,11.889733678112862,1886.758173187764,106.38569546268775,0.0
CEC2017-F11,GA,11255.199562068901,5773.006188450754,2962.1688939882515,30756.09147583635,11104.62505180571,0.0
CEC2017-F11,HPSO-TVAC,32878.604801642985,27699.788635205838,650.1842645303816,99969.96847419965,27580.851770735593,0.0
CEC2017-F11,PSO,45659.51270707209,28181.945457111935,9044.335965326725,106057.04060106029,40657.28691773492,0.0
CEC2017-F11,PSO-AW,102253.4551030174,76741.52542927074,4265.656610672006,325526.8424347696,91920.25993667435,0.0
CEC2017-F11,PSO-RS,52445.35053572218,41319.530027551395,3732.878840302961,172065.14696092278,42758.22004506861,8.733333333333333
CEC2017-F12,ARPSO-EIS,1565669.2893103485,2258446.881369619,14691.485822977049,11097473.826629834,705774.1248503432,74.0
CEC2017-F12,ARPSO-v4,2031449.5374091368,3024958.131179168,3060.3639627661905,10845363.083325395,243039.93747142173,74.0
CEC2017-F12,CLPSO,258792.87739230736,89221.47287335111,84891.36693056293,432853.63511366805,267294.0867878733,0.0
CEC2017-F12,DE,3888.896838719232,2341.9310911269117,1260.735461614524,11079.684187709096,2946.7065527348113,0.0
CEC2017-F12,GA,1082651.0463464588,418529.6397598034,384727.4861125639,2339187.9636335056,990290.6582138091,0.0
CEC2017-F12,HPSO-TVAC,43922522.94479559,213303761.41422525,2004.890356057901,1166282516.506976,88411.93864337419,0.0
CEC2017-F12,PSO,66535581.425678626,223845458.03953692,6315.150474903435,1174491278.9518867,343186.9633290621,0.0
CEC2017-F12,PSO-AW,116642009.09827593,295000161.0139659,9952.657954901648,1396792706.446625,585597.570389316,0.0
CEC2017-F12,PSO-RS,2518750.7199348295,3880512.1800289913,10934.424648491264,13766593.994589448,366154.3065831006,9.9
CEC2017-F13,ARPSO-EIS,181140.34723472406,131139.37269490783,25388.15974673898,377552.43450753775,186471.16722022695,73.6
CEC2017-F13,ARPSO-v4,220319.92803294124,124625.00850031244,45880.187502295004,409082.6798782605,228642.67240514143,74.0
CEC2017-F13,CLPSO,11076.23799670089,5955.180017219371,2675.3939949768055,28132.593177822364,9916.407337877086,0.0
CEC2017-F13,DE,2905.2390232406165,3505.519042852706,23.547205187751842,14420.301099010258,1445.7347085696192,0.0
CEC2017-F13,GA,32522.40517548697,14125.259475797731,9123.890179134665,71718.2709832888,29787.533108200932,0.0
CEC2017-F13,HPSO-TVAC,2119269.5500959265,10929031.079358269,4510.538324986692,59979034.749975644,41891.73666158038,0.0
CEC2017-F13,PSO,28941828.325710468,70132146.93428916,3486.9496554027346,354501856.5457009,289986.7446944384,0.0
CEC2017-F13,PSO-AW,60186345.41706725,191313925.21566808,18024.706327597414,1046041853.0674019,407636.458038308,0.0
CEC2017-F13,PSO-RS,420442.72655813646,1187463.6809192027,8416.60032660867,6653833.337201964,214330.0092282982,6.366666666666666
CEC2017-F14,ARPSO-EIS,95897.15619721338,72721.33158901615,3007.879370458064,294757.5376818868,73559.01678748961,41.666666666666664
CEC2017-F14,ARPSO-v4,75980.6507347247,70232.23457996712,3237.584051070251,339116.7755285278,55080.00601816864,50.3
CEC2017-F14,CLPSO,101806.43068962124,76794.64344545372,6211.281215037693,404167.35082253994,89849.03974588221,0.0
CEC2017-F14,DE,1321.6978826951047,3568.8254983226675,31.04627850307793,15095.629795947028,165.51167726781296,0.0
CEC2017-F14,GA,76121.20583788319,52754.445397841926,10666.307492347281,199458.24815997333,60109.06485138782,0.0
CEC2017-F14,HPSO-TVAC,21806.639383743128,23755.98251193267,515.4921572948933,86268.36109013064,16174.07072106632,0.0
CEC2017-F14,PSO,91115.54730854246,69302.66206276116,7999.066424957742,343040.8059649715,75180.38983567199,0.0
CEC2017-F14,PSO-AW,98443.07896082927,53430.84205585909,9623.337757688167,247175.72996501115,91510.91780745532,0.0
CEC2017-F14,PSO-RS,85548.73995194558,53715.657529606346,20458.237747530577,234648.7531915235,72255.61502988564,16.233333333333334
CEC2017-F15,ARPSO-EIS,113992.50250693646,110431.48116415157,14966.213903677206,640521.415512833,87397.60400100323,71.46666666666667
CEC2017-F15,ARPSO-v4,92184.19221790829,31785.596762454006,26270.35653329314,160258.62283443855,88182.58964805087,73.06666666666666
CEC2017-F15,CLPSO,18094.486316413262,7950.557970121149,9129.092103798976,38445.863116233064,16820.48532733465,0.0
CEC2017-F15,DE,3342.564459586782,2703.434369169141,70.39104176372166,11200.160050763485,2625.7901928755414,0.0
CEC2017-F15,GA,18824.98129094982,6957.410539338848,6472.793835995096,37351.942931337864,18118.249996973667,0.0
CEC2017-F15,HPSO-TVAC,66339.34071867848,47726.20372618599,6195.351066719872,183642.57958275676,64044.98558604969,0.0
CEC2017-F15,PSO,2339945.4124876773,10752139.707738113,5334.444193003694,58630429.59046809,67851.3236121934,0.0
CEC2017-F15,PSO-AW,485927.97937037447,1992532.3030793446,33975.56076475389,11020957.456677442,85133.03217879208,0.0
CEC2017-F15,PSO-RS,74321.10775172806,39337.2955403491,20217.254400788876,175835.77174876045,60586.598369043466,8.866666666666667
CEC2017-F16,ARPSO-EIS,970.3075277293864,1104.9085515891422,-663.9075281084741,4704.663568418845,730.7347373352532,67.56666666666666
CEC2017-F16,ARPSO-v4,1531.373853040557,3745.248733989941,-352.7254933140798,20592.968244505708,841.3936488797763,71.36666666666666
CEC2017-F16,CLPSO,-62.79099294884009,499.1756044108564,-800.0319082889639,1675.6776534477794,-179.41140610188438,0.0
CEC2017-F16,DE,-470.8153679485608,293.9547402309382,-879.6459081944337,304.9419732507704,-514.4440440666788,0.0
CEC2017-F16,GA,-289.22115482504006,210.5177276101813,-603.5914202359163,251.96696408002913,-274.86161526903174,0.0
CEC2017-F16,HPSO-TVAC,219159.74922774543,1156688.5717950764,-804.2507809511591,6342929.4406524645,1416.5909789161665,0.0
CEC2017-F16,PSO,470416.14025228505,1592420.910052658,-339.92644664354725,6283772.3322878005,7952.214910262144,0.0
CEC2017-F16,PSO-AW,1161673.8066468253,4137427.483434918,-237.537271328345,21386741.87831333,31679.46959648067,0.0
CEC2017-F16,PSO-RS,23934.262126851605,27645.298644458406,-101.10342502004778,111885.7813699807,18173.28407260653,8.3
CEC2017-F17,ARPSO-EIS,1686.7184335100976,5987.701432583898,-124.56573379784459,33263.42853829269,554.2726282530036,59.1
CEC2017-F17,ARPSO-v4,448.0800272182393,443.3811876810091,-204.6045902141659,1734.3515931879306,483.71601883994254,62.0
CEC2017-F17,CLPSO,644.3839073139724,247.9233220751733,158.6408624777573,1086.8783259327101,659.7429977954921,0.0
CEC2017-F17,DE,35.34885432411195,166.36107447375454,-137.05903938459073,373.442958940233,27.77972776695856,0.0
CEC2017-F17,GA,1134.4910086135203,431.6213717632611,426.6632670301019,2018.5050853108169,1178.6859443832468,0.0
CEC2017-F17,HPSO-TVAC,2870.381883044854,9104.436810529149,-218.78024089074665,50140.60129296459,903.2123480059465,0.0
CEC2017-F17,PSO,22047.309624700534,28401.30338510414,550.898673943755,101692.24288930351,8557.884425161465,0.0
CEC2017-F17,PSO-AW,26228.07539362393,33624.641437078404,-187.20867682260473,150071.09747973137,18355.422921162415,0.0
CEC2017-F17,PSO-RS,1434.6565379715782,1305.8638391993356,212.1184361916255,5300.093139001974,1033.534462085834,11.266666666666667
CEC2017-F18,ARPSO-EIS,35343.020140177214,23197.478350469602,5069.59768083325,109538.5516145076,33196.31890105756,29.566666666666666
CEC2017-F18,ARPSO-v4,33753.95694467881,22227.312001134094,9624.89075847706,97919.26692480137,26469.675242802456,29.533333333333335
CEC2017-F18,CLPSO,37172.739750015266,11459.735340247958,19201.6884918694,67571.96163371253,36168.33525362011,0.0
CEC2017-F18,DE,413.96175275900964,521.7384840093762,31.0775719153753,2368.582068633962,200.41828553759376,0.0
CEC2017-F18,GA,23925.691807131534,21855.675024508808,6174.048422547002,91968.51270052067,16457.86813682458,0.0
CEC2017-F18,HPSO-TVAC,11842.681476052992,10702.435067913337,2626.9863026809817,59457.35872520538,8806.02204901648,0.0
CEC2017-F18,PSO,42404.09378305999,42559.1280949399,8054.732908007656,249731.78323411927,33272.59739116708,0.0
CEC2017-F18,PSO-AW,41769.89939795263,32434.087552699104,8136.681291545667,144453.69483942434,32293.210599980608,0.0
CEC2017-F18,PSO-RS,36224.380604322745,21807.64486176269,4460.263134790181,101357.38865904965,31478.298401112253,14.966666666666667
CEC2017-F19,ARPSO-EIS,79405.09098521248,52665.513812987505,100.79027350501019,182831.30181533148,70569.62496435802,73.46666666666667
CEC2017-F19,ARPSO-v4,73278.76860800706,46239.651814861034,14575.753132992606,209899.5421051983,60542.45927545094,73.63333333333334
CEC2017-F19,CLPSO,985.6302086599784,723.013706100117,139.47723678388093,3126.080612617109,824.0672482373002,0.0
CEC2017-F19,DE,14.500035154394602,4.9520033516174795,6.198943170666553,28.643276529187006,13.672042706372395,0.0
CEC2017-F19,GA,9746.42297247375,6257.3583289999115,2648.0767145682203,24765.282324084532,8215.586442575646,0.0
CEC2017-F19,HPSO-TVAC,36105.523826515266,32934.40588820497,186.50843286942882,136831.80379838886,24305.075295032548,0.0
CEC2017-F19,PSO,536967069.3067807,1588633114.137878,5997.779833632486,6113022064.604106,61406.2183807986,0.0
CEC2017-F19,PSO-AW,745655417.4269178,2295695334.240281,10860.029820719868,8284861650.151701,90411.29116613601,0.0
CEC2017-F19,PSO-RS,47815.50477095816,37421.98185027684,1970.301767800349,139302.1744084464,42881.99700699137,12.566666666666666
CEC2017-F20,ARPSO-EIS,22.075994645146867,212.30072658683704,-321.0421563747145,443.8099487845893,-30.39542912913646,72.83333333333333
CEC2017-F20,ARPSO-v4,46.511409943745626,323.54045894579,-429.4888697712481,899.3604468788812,2.2204887906196973,73.4
CEC2017-F20,CLPSO,-434.4147979726986,91.58862225287243,-572.6819855242597,-263.82367879645017,-385.80108090763724,0.0
CEC2017-F20,DE,-260.10526257569705,125.0519496167524,-456.53592554127135,-22.4886559602744,-255.19230911680404,0.0
CEC2017-F20,GA,33.72352809894047,217.88601157097315,-369.27494628613226,489.77680247883154,11.784073926422025,0.0
CEC2017-F20,HPSO-TVAC,-78.29806977595052,173.99084164470858,-439.0639010795403,227.69747524337254,-71.63248109783876,0.0
CEC2017-F20,PSO,37.2142911972957,219.40179787741215,-495.3761201124139,505.10804433315434,58.270900365829675,0.0
CEC2017-F20,PSO-AW,2.9305630885692304,251.71608086693624,-250.94771298211413,1005.67409871376,-39.40127036474962,0.0
CEC2017-F20,PSO-RS,77.00250033000081,212.8362238981496,-329.1263476390677,504.6350054197537,47.41802347027908,20.0
CEC2017-F21,ARPSO-EIS,255.64645432007063,115.05120173528447,100.00000000000091,411.2707373481694,306.9627793378679,73.93333333333334
CEC2017-F21,ARPSO-v4,277.0847007358946,111.69498308490522,100.00000000000091,387.3208641938022,320.6190181111058,74.0
CEC2017-F21,CLPSO,305.52950065359613,17.922295151571145,272.75304437163004,344.05103078274806,303.4431365342775,0.0
CEC2017-F21,DE,222.23467780261004,185.37116814239658,100.00000000000045,1039.277825753184,213.10210180444778,0.0
CEC2017-F21,GA,385.36581890667173,112.5212386293317,224.37515859312498,504.29471548225274,438.88250985013315,0.0
CEC2017-F21,HPSO-TVAC,777.5563815329248,584.9517353916631,269.02558378795857,1733.7629101969687,359.77486575086664,0.0
CEC2017-F21,PSO,1819.8002122090923,1700.6742321298418,321.37841598412024,7448.199788317535,1464.1727945059652,0.0
CEC2017-F21,PSO-AW,2212.5368679767503,1509.5793302406748,300.85193062087546,5957.852780333529,2001.1782694177168,0.0
CEC2017-F21,PSO-RS,648.7913736200559,427.1898319178485,128.1162957791753,1769.4653754623878,456.1644247927393,12.633333333333333
CEC2017-F22,ARPSO-EIS,-4017.328487616144,1833.4062837812644,-8915.98105114548,-697.0779603838864,-4005.070519140331,62.46666666666667
CEC2017-F22,ARPSO-v4,-4188.750825259724,1711.0778095150831,-6857.666524371774,-272.34663437959966,-4539.346310405521,56.8
CEC2017-F22,CLPSO,-14120.098125890237,130.74489696553934,-14306.66465206715,-13814.25258672514,-14158.078682272851,0.0
CEC2017-F22,DE,-1002.6061911550512,1305.3036682717764,-4269.33334837916,99.70021980688898,-198.64417640620547,0.0
CEC2017-F22,GA,-9489.630920448099,1017.493655954681,-11133.506978228044,-7300.987121710164,-9717.875036712841,0.0
CEC2017-F22,HPSO-TVAC,-3199.0089372866705,1721.4511362186022,-7190.290041468415,-398.91121720891465,-2902.6653759025385,0.0
CEC2017-F22,PSO,-5988.65180454896,1327.7408998444885,-8426.30555051339,-3015.2985598521013,-5941.069827729285,0.0
CEC2017-F22,PSO-AW,-2860.8362981980695,1726.7710162627388,-5923.46399673731,171.28517663717048,-2872.390838533698,0.0
CEC2017-F22,PSO-RS,-5565.15700867442,2152.059263811517,-10107.185886504214,-1409.2206024517347,-5996.955130303135,3.3666666666666667
CEC2017-F23,ARPSO-EIS,279.1843897898688,143.08155920049796,100.00000000000091,738.3422680088847,200.00000000000182,73.86666666666666
CEC2017-F23,ARPSO-v4,272.1204384429997,161.61909859019352,100.00000000000227,794.3994494004774,200.00000000000205,73.66666666666667
CEC2017-F23,CLPSO,316.895930417182,125.73177568562176,200.13346105692654,518.8799639045019,238.9925634630995,0.0
CEC2017-F23,DE,200.00000000000216,1.4555383304966339e-12,200.0,200.00000000000637,200.00000000000227,0.0
CEC2017-F23,GA,775.1232221211786,132.17613258476032,564.9595000185609,994.3478752377005,817.7842326091766,0.0
CEC2017-F23,HPSO-TVAC,5629.163091499588,3170.506569028052,385.5510351139451,11945.35003864638,6036.751838595839,0.0
CEC2017-F23,PSO,5938.182329508465,4274.1726209134995,459.4740596101183,14786.3944787699,6323.382861353546,0.0
CEC2017-F23,PSO-AW,10083.764583450606,4316.970033513247,1450.162297943306,17569.487770431417,10641.530418807986,0.0
CEC2017-F23,PSO-RS,1329.0716387130508,1737.640639009814,138.94090744586038,6455.893735146168,462.301152163132,5.3
CEC2017-F24,ARPSO-EIS,245.49381259079232,94.00071535561791,200.00000000000045,491.61815081978693,200.00000000000182,73.73333333333333
CEC2017-F24,ARPSO-v4,228.21066973680578,73.56617136358079,200.00000000000045,443.90213592651344,200.00000000000182,73.6
CEC2017-F24,CLPSO,200.21934955973805,0.7032778082068691,200.00391487536626,203.89346683508575,200.05133717776107,0.0
CEC2017-F24,DE,200.00000000000074,6.110382620038652e-13,200.0,200.00000000000273,200.0000000000009,0.0
CEC2017-F24,GA,611.9733917928909,58.50791223174934,521.7080519153451,736.173799828653,590.8127153096141,0.0
CEC2017-F24,HPSO-TVAC,4332.423639471117,2204.376136545465,200.00000000000136,8820.699349672068,4068.129433699605,0.0
CEC2017-F24,PSO,5256.369288929069,2905.796356378637,200.0535770534466,9378.84935642346,6353.205160370964,0.0
CEC2017-F24,PSO-AW,5793.912428889656,2708.330727174602,407.11321103702176,10457.801029561397,6016.590232082439,0.0
CEC2017-F24,PSO-RS,502.35678354932463,702.0442620659118,200.23979343660267,2775.457212975547,245.47203210807334,3.7666666666666666
CEC2017-F25,ARPSO-EIS,425.5173095984567,20.254525345588334,421.03142120231314,532.5575739899309,421.55559025017783,73.96666666666667
CEC2017-F25,ARPSO-v4,423.9953063671958,5.186088388573441,420.99477984527266,443.167120321355,421.72524332481817,74.0
CEC2017-F25,CLPSO,421.46657374769234,0.2086043264686342,421.1373943161507,422.1541972164305,421.43957479486426,0.0
CEC2017-F25,DE,420.6106618762776,0.16051035429045324,420.4225576200388,421.09599335547,420.57407382349083,0.0
CEC2017-F25,GA,424.86148937430806,2.8482982085865753,422.6828147030842,435.5721671628635,423.9781759098689,0.0
CEC2017-F25,HPSO-TVAC,436.87559227217906,40.29804270926054,420.88094168939506,611.1926720339147,421.8917525896163,0.0
CEC2017-F25,PSO,463.2855166026083,88.6717787983142,421.2332957346689,874.0752049326788,428.4674405091125,0.0
CEC2017-F25,PSO-AW,462.9587278802249,41.06139297497301,421.15893532016116,562.9045427752962,451.5998977280865,0.0
CEC2017-F25,PSO-RS,434.5116127712867,39.2776534797322,421.16740571231867,634.2684573345341,424.1557681766319,5.8
CEC2017-F26,ARPSO-EIS,844.7259408642578,19.224441003602642,825.7158784680364,875.0114967223581,838.8994555144357,74.0
CEC2017-F26,ARPSO-v4,843.0179820689993,17.02473956383354,825.7475889075617,875.4242660312575,838.6557698173544,74.0
CEC2017-F26,CLPSO,865.7239755785305,13.968115046171231,842.0991493578717,880.9525013138414,874.7458914964272,0.0
CEC2017-F26,DE,833.6891993855954,13.013755642178701,825.3733197508645,873.0538823628904,827.2174242733558,0.0
CEC2017-F26,GA,785.7287834946543,43.8564964836481,692.1320680436629,834.4718841295289,782.6827577739716,0.0
CEC2017-F26,HPSO-TVAC,1051.518482437724,214.20259830649513,844.9277501139659,1796.1348321828755,972.6256934103619,0.0
CEC2017-F26,PSO,940.7760932306359,143.95046523018195,849.6972295092928,1673.877251702832,911.024202890276,0.0
CEC2017-F26,PSO-AW,1033.0491862917936,107.06636086336854,852.5573842667395,1209.5909985313656,1015.1436210210468,0.0
CEC2017-F26,PSO-RS,860.6054321519129,24.38242230218067,826.0784997727151,902.0710404695869,850.5919047835985,8.5
CEC2017-F27,ARPSO-EIS,520.5236491782213,33.10793320586135,466.38883658336454,623.2678575987388,511.98280887433293,74.0
CEC2017-F27,ARPSO-v4,538.7897042017318,38.89279869755597,491.88255274733,635.4536876579009,529.9042888856147,74.0
CEC2017-F27,CLPSO,490.89404527467764,7.4138567474038695,466.1348657603553,502.741774041996,490.92038339069063,0.0
CEC2017-F27,DE,490.48048712595016,13.337108517239592,461.9535674962008,538.1863681214427,491.38403844520235,0.0
CEC2017-F27,GA,508.66186448960957,21.35493859694795,462.285094964921,549.9789652627474,509.02153538950665,0.0
CEC2017-F27,HPSO-TVAC,531.1096802770576,31.535509119425246,471.6077528429705,588.3377547626637,536.4568972965444,0.0
CEC2017-F27,PSO,542.6874362370146,44.849498171417686,480.40403503882817,673.0919097545752,538.6488211249462,0.0
CEC2017-F27,PSO-AW,556.6791228094241,49.509106202588136,480.15259510198484,672.1641816670308,541.5374313087727,0.0
CEC2017-F27,PSO-RS,547.5496778355614,35.29275109520613,490.0736750885453,637.4201117465018,542.5175829296652,8.466666666666667
CEC2017-F28,ARPSO-EIS,129.0428110185824,185.07236985962302,1.3642420526593924e-12,466.27046046657324,25.236061099866674,72.46666666666667
CEC2017-F28,ARPSO-v4,132.45161731026377,174.8657149022493,1.3642420526593924e-12,486.6557125513691,26.0053254387974,72.43333333333334
CEC2017-F28,CLPSO,446.74843778723084,25.177846778187373,348.0893551241884,483.4080097472847,453.7031175396478,0.0
CEC2017-F28,DE,5.393473416353315,29.54127053440837,4.547473508864641e-13,161.80420249058216,4.547473508864641e-13,0.0
CEC2017-F28,GA,58.70922193567593,5.413232209767865,49.960863621960925,69.30710615685075,58.43223463663185,0.0
CEC2017-F28,HPSO-TVAC,467.6836153992637,116.86228680363219,198.97345765798946,746.3125627982636,477.0607717998382,0.0
CEC2017-F28,PSO,532.4002534148882,123.96518677404885,247.3098659206571,901.8539074056321,520.5266237730884,0.0
CEC2017-F28,PSO-AW,595.5707833825485,152.14106922672676,303.84198758165803,990.3938265461752,576.983503261901,0.0
CEC2017-F28,PSO-RS,432.08606223987397,167.36979272967625,28.58362409028814,618.9913627178312,465.30553450616276,2.466666666666667
CEC2017-F29,ARPSO-EIS,29193.816724126013,47302.118603454786,2803.5668698045547,224278.9363953511,7960.169468693189,53.5
CEC2017-F29,ARPSO-v4,19097.56058911277,25906.066380601755,2257.9489370584342,114956.56122339169,7605.528421045092,61.03333333333333
CEC2017-F29,CLPSO,72868.69757381002,34118.658428672024,15084.38028985641,124496.80225540393,74699.75360283646,0.0
CEC2017-F29,DE,3346.6840322303237,1482.2582828136983,1494.09470206669,6858.069272531333,3066.7850400817356,0.0
CEC2017-F29,GA,18263.60980893716,15355.642203843712,5783.448356483743,68181.41366102401,12428.563145327917,0.0
CEC2017-F29,HPSO-TVAC,227882.08375285674,690219.5542866206,1859.1045447732804,3257339.4808543385,7856.0217659096525,0.0
CEC2017-F29,PSO,8258915.533298236,29771968.987206966,5852.823095643831,139870228.14718714,72866.93103851692,0.0
CEC2017-F29,PSO-AW,9491157.556113593,35831167.167964846,4527.592351080186,194317285.39178067,94944.5795266976,0.0
CEC2017-F29,PSO-RS,200399.86253550567,545587.1223949062,4771.249144630489,2465597.188892573,51748.16262855759,5.0
CEC2017-F3,ARPSO-EIS,7.010688326166322e-14,2.4453076272952573e-14,5.684341886080802e-14,1.1368683772161603e-13,5.684341886080802e-14,74.0
CEC2017-F3,ARPSO-v4,7.579122514774402e-14,2.725433327471957e-14,5.684341886080802e-14,1.1368683772161603e-13,5.684341886080802e-14,74.0
CEC2017-F3,CLPSO,0.1150221885158544,0.07178942410604912,0.02636811172897069,0.288362101423445,0.08639312015998257,0.0
CEC2017-F3,DE,3.979039320256561e-14,2.6494240029217e-14,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0
CEC2017-F3,GA,124.70997218773779,51.84567727021636,59.56574130660192,269.48891356676813,105.8681805166716,0.0
CEC2017-F3,HPSO-TVAC,79.74810512347999,345.1508133173046,5.684341886080802e-14,1822.1784924399876,1.1368683772161603e-13,0.0
CEC2017-F3,PSO,433.4630309666689,630.7227679327898,0.0005796788572638434,2253.557853850406,0.013648997790880912,0.0
CEC2017-F3,PSO-AW,1690.8119902549563,2151.8066055872364,5.684341886080802e-14,10156.116093617537,1221.5538938190698,0.0
CEC2017-F3,PSO-RS,72.68285897008903,253.40546460265415,0.0019972262028318255,1243.9189037740887,0.6278021235534368,5.733333333333333
CEC2017-F30,ARPSO-EIS,379702.81212019094,1195655.3303807653,2910.6730754948985,6263687.276468348,91055.0745810302,68.96666666666667
CEC2017-F30,ARPSO-v4,283181.1214728996,487840.02975315275,16127.499751294876,2108848.669789309,117053.99390190843,71.93333333333334
CEC2017-F30,CLPSO,46580.74353695938,44269.88451677421,12626.840949363248,257452.8954034658,35691.53100578634,0.0
CEC2017-F30,DE,6027.48233207586,6502.705949784327,2050.1232656853226,27477.087995666276,3342.3724311767164,0.0
CEC2017-F30,GA,48732.70454179833,58564.855455572564,22537.141898996048,350553.8062906682,35980.272309968655,0.0
CEC2017-F30,HPSO-TVAC,44664.908015367575,33009.46960094875,5552.574500710594,136392.69506849375,37700.9286437939,0.0
CEC2017-F30,PSO,114346838.45146187,622236576.5971763,4913.419091121337,3408846131.165609,41589.52623472375,0.0
CEC2017-F30,PSO-AW,3092111.469067216,6450204.671269438,11754.994914051986,29963312.342899654,126580.69844176549,0.0
CEC2017-F30,PSO-RS,730459.9528728516,2029932.2451247624,4697.745831002574,8895982.13659247,77666.26873099472,5.566666666666666
CEC2017-F4,ARPSO-EIS,35.97599692065426,16.5985508639856,2.79185535322722,88.28002363630213,31.863183279255907,71.5
CEC2017-F4,ARPSO-v4,42.88831628381232,23.281463319719514,28.99590322381556,108.99908284981353,31.863183369689068,73.93333333333334
CEC2017-F4,CLPSO,33.57888265004726,6.009210623323344,31.829047452510054,64.79639621930949,32.13162529292555,0.0
CEC2017-F4,DE,34.49348684744245,10.348209303653137,29.4597730085012,72.73645413575821,31.81071166470508,0.0
CEC2017-F4,GA,53.45396062020411,29.576018369722092,31.26679866991276,148.98546218208685,35.55809557951292,0.0
CEC2017-F4,HPSO-TVAC,53.262951557256976,34.84472598588668,31.810711664705536,177.62833180586665,33.5536765419198,0.0
CEC2017-F4,PSO,175.1124719395004,247.46552699726706,32.414468129102545,1001.1638408377926,100.04493773102413,0.0
CEC2017-F4,PSO-AW,189.1701442989092,279.41255572046964,32.41442508094474,1521.3003851588987,104.89745832179406,0.0
CEC2017-F4,PSO-RS,59.95595029674283,49.89324721174315,31.828752677466525,241.3387052117156,35.505666512592484,2.7666666666666666
CEC2017-F5,ARPSO-EIS,105.73510719928444,28.116667178740286,61.68733037473555,185.0611744993828,100.49048306376199,74.0
CEC2017-F5,ARPSO-v4,120.02469958220989,29.98712239850256,75.6166964464395,196.00581091664367,114.41980874203693,74.0
CEC2017-F5,CLPSO,67.45085034372184,7.708114812354296,55.46488147848811,82.43232224613985,65.98405232400353,0.0
CEC2017-F5,DE,32.23685796552245,24.224676346503795,16.914298932766997,151.47553728406683,25.86892811559278,0.0
CEC2017-F5,GA,265.7841114962909,35.73245120208051,192.59646905934142,351.5687411285801,264.0776202856202,0.0
CEC2017-F5,HPSO-TVAC,564.4508542622224,880.545301387892,70.64199728962319,3646.547463868317,132.32898326595188,0.0
CEC2017-F5,PSO,2210.81328101632,2173.446830656412,82.20481892231146,8674.677826686606,1569.8572617346324,0.0
CEC2017-F5,PSO-AW,3993.0731640804174,3221.420096870831,92.5308942581753,13575.906795438788,3314.6740813022698,0.0
CEC2017-F5,PSO-RS,226.07368112359782,60.45206106389827,125.50203054376607,339.96279425308467,221.34830005321032,16.9
