Function,Algorithm,AvgRestart,StdRestart,MaxRestart,MinRestart
CEC2017-F20,PSO-AW,0.0,0.0,0,0
CEC2017-F20,PSO-RS,20.0,6.802636405759572,31,6
CEC2017-F21,ARPSO-EIS,73.93333333333334,0.2537081317024639,74,73
CEC2017-F21,ARPSO-v4,74.0,0.0,74,74
CEC2017-F21,CLPSO,0.0,0.0,0,0
CEC2017-F21,DE,0.0,0.0,0,0
CEC2017-F21,GA,0.0,0.0,0,0
CEC2017-F21,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F21,PSO,0.0,0.0,0,0
CEC2017-F21,PSO-AW,0.0,0.0,0,0
CEC2017-F21,PSO-RS,12.633333333333333,10.246894679595016,33,1
CEC2017-F22,ARPSO-EIS,62.46666666666667,10.234267432750498,74,41
CEC2017-F22,ARPSO-v4,56.8,11.45124597948881,74,38
CEC2017-F22,CLPSO,0.0,0.0,0,0
CEC2017-F22,DE,0.0,0.0,0,0
CEC2017-F22,GA,0.0,0.0,0,0
CEC2017-F22,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F22,PSO,0.0,0.0,0,0
CEC2017-F22,PSO-AW,0.0,0.0,0,0
CEC2017-F22,PSO-RS,3.3666666666666667,2.6714755490543802,9,0
CEC2017-F23,ARPSO-EIS,73.86666666666666,0.34574590364175906,74,73
CEC2017-F23,ARPSO-v4,73.66666666666667,0.47946330148538413,74,73
CEC2017-F23,CLPSO,0.0,0.0,0,0
CEC2017-F23,DE,0.0,0.0,0,0
CEC2017-F23,GA,0.0,0.0,0,0
CEC2017-F23,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F23,PSO,0.0,0.0,0,0
CEC2017-F23,PSO-AW,0.0,0.0,0,0
CEC2017-F23,PSO-RS,5.3,5.82592304363393,24,1
CEC2017-F24,ARPSO-EIS,73.73333333333333,0.5208304597621894,74,72
CEC2017-F24,ARPSO-v4,73.6,0.6214554662658635,74,72
CEC2017-F24,CLPSO,0.0,0.0,0,0
CEC2017-F24,DE,0.0,0.0,0,0
CEC2017-F24,GA,0.0,0.0,0,0
CEC2017-F24,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F24,PSO,0.0,0.0,0,0
CEC2017-F24,PSO-AW,0.0,0.0,0,0
CEC2017-F24,PSO-RS,3.7666666666666666,5.587444874885573,32,1
CEC2017-F25,ARPSO-EIS,73.96666666666667,0.18257418583505505,74,73
CEC2017-F25,ARPSO-v4,74.0,0.0,74,74
CEC2017-F25,CLPSO,0.0,0.0,0,0
CEC2017-F25,DE,0.0,0.0,0,0
CEC2017-F25,GA,0.0,0.0,0,0
CEC2017-F25,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F25,PSO,0.0,0.0,0,0
CEC2017-F25,PSO-AW,0.0,0.0,0,0
CEC2017-F25,PSO-RS,5.8,2.412610547761991,11,0
CEC2017-F26,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F26,ARPSO-v4,74.0,0.0,74,74
CEC2017-F26,CLPSO,0.0,0.0,0,0
CEC2017-F26,DE,0.0,0.0,0,0
CEC2017-F26,GA,0.0,0.0,0,0
CEC2017-F26,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F26,PSO,0.0,0.0,0,0
CEC2017-F26,PSO-AW,0.0,0.0,0,0
CEC2017-F26,PSO-RS,8.5,6.996304443209213,26,2
CEC2017-F27,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F27,ARPSO-v4,74.0,0.0,74,74
CEC2017-F27,CLPSO,0.0,0.0,0,0
CEC2017-F27,DE,0.0,0.0,0,0
CEC2017-F27,GA,0.0,0.0,0,0
CEC2017-F27,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F27,PSO,0.0,0.0,0,0
CEC2017-F27,PSO-AW,0.0,0.0,0,0
CEC2017-F27,PSO-RS,8.466666666666667,6.616246114200873,28,1
CEC2017-F28,ARPSO-EIS,72.46666666666667,5.250506270061395,74,45
CEC2017-F28,ARPSO-v4,72.43333333333334,5.184082623153124,74,46
CEC2017-F28,CLPSO,0.0,0.0,0,0
CEC2017-F28,DE,0.0,0.0,0,0
CEC2017-F28,GA,0.0,0.0,0,0
CEC2017-F28,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F28,PSO,0.0,0.0,0,0
CEC2017-F28,PSO-AW,0.0,0.0,0,0
CEC2017-F28,PSO-RS,2.466666666666667,1.5477087254553343,7,1
CEC2017-F29,ARPSO-EIS,53.5,29.869543939812903,74,0
CEC2017-F29,ARPSO-v4,61.03333333333333,24.060961848136316,74,0
CEC2017-F29,CLPSO,0.0,0.0,0,0
CEC2017-F29,DE,0.0,0.0,0,0
CEC2017-F29,GA,0.0,0.0,0,0
CEC2017-F29,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F29,PSO,0.0,0.0,0,0
CEC2017-F29,PSO-AW,0.0,0.0,0,0
CEC2017-F29,PSO-RS,5.0,3.311422238461793,15,1
CEC2017-F3,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F3,ARPSO-v4,74.0,0.0,74,74
CEC2017-F3,CLPSO,0.0,0.0,0,0
CEC2017-F3,DE,0.0,0.0,0,0
CEC2017-F3,GA,0.0,0.0,0,0
CEC2017-F3,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F3,PSO,0.0,0.0,0,0
CEC2017-F3,PSO-AW,0.0,0.0,0,0
CEC2017-F3,PSO-RS,5.733333333333333,2.5721765013355884,10,0
CEC2017-F30,ARPSO-EIS,68.96666666666667,17.45434109293461,74,1
CEC2017-F30,ARPSO-v4,71.93333333333334,5.717084700375216,74,45
CEC2017-F30,CLPSO,0.0,0.0,0,0
CEC2017-F30,DE,0.0,0.0,0,0
CEC2017-F30,GA,0.0,0.0,0,0
CEC2017-F30,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F30,PSO,0.0,0.0,0,0
CEC2017-F30,PSO-AW,0.0,0.0,0,0
CEC2017-F30,PSO-RS,5.566666666666666,5.599774215481176,32,0
CEC2017-F4,ARPSO-EIS,71.5,13.317735128974341,74,1
CEC2017-F4,ARPSO-v4,73.93333333333334,0.25370813170246453,74,73
CEC2017-F4,CLPSO,0.0,0.0,0,0
CEC2017-F4,DE,0.0,0.0,0,0
CEC2017-F4,GA,0.0,0.0,0,0
CEC2017-F4,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F4,PSO,0.0,0.0,0,0
CEC2017-F4,PSO-AW,0.0,0.0,0,0
CEC2017-F4,PSO-RS,2.7666666666666666,1.8323403789601471,7,0
CEC2017-F5,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F5,ARPSO-v4,74.0,0.0,74,74
CEC2017-F5,CLPSO,0.0,0.0,0,0
CEC2017-F5,DE,0.0,0.0,0,0
CEC2017-F5,GA,0.0,0.0,0,0
CEC2017-F5,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F5,PSO,0.0,0.0,0,0
CEC2017-F5,PSO-AW,0.0,0.0,0,0
CEC2017-F5,PSO-RS,16.9,8.774374916335283,34,2
CEC2017-F6,ARPSO-EIS,68.73333333333333,11.383391814191516,74,31
CEC2017-F6,ARPSO-v4,72.03333333333333,7.43005700694394,74,36
CEC2017-F6,CLPSO,0.0,0.0,0,0
CEC2017-F6,DE,0.0,0.0,0,0
CEC2017-F6,GA,0.0,0.0,0,0
CEC2017-F6,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F6,PSO,0.0,0.0,0,0
CEC2017-F6,PSO-AW,0.0,0.0,0,0
CEC2017-F6,PSO-RS,8.7,3.1529952918367683,16,4
