Function,Algorithm,Rank,Mean,Std
CEC2017-F1,ARPSO-EIS,4.0,11291.304703810116,8106.28495815573
CEC2017-F1,ARPSO-v4,3.0,6442.745219488777,7305.005468464047
CEC2017-F1,CLPSO,1.0,890.4774247308989,408.521670141513
CEC2017-F1,DE,2.0,3210.185896348133,4088.835615105037
CEC2017-F1,GA,6.0,27324458.41056664,7763776.956481942
CEC2017-F1,HPSO-TVAC,7.0,460876120.98737496,925192127.027257
CEC2017-F1,PSO,8.0,1248012545.1937675,1564875222.693045
CEC2017-F1,PSO-AW,9.0,1488073181.4483595,1657925543.7976656
CEC2017-F1,PSO-RS,5.0,5655647.12417167,30350951.68373616
CEC2017-F3,ARPSO-EIS,2.0,7.010688326166322e-14,2.4453076272952573e-14
CEC2017-F3,ARPSO-v4,3.0,7.579122514774403e-14,2.7254333274719573e-14
CEC2017-F3,CLPSO,4.0,0.1150221885158544,0.0717894241060491
CEC2017-F3,DE,1.0,3.9790393202565614e-14,2.6494240029217e-14
CEC2017-F3,GA,7.0,124.7099721877378,51.84567727021636
CEC2017-F3,HPSO-TVAC,6.0,79.74810512347999,345.1508133173046
CEC2017-F3,PSO,8.0,433.4630309666689,630.7227679327898
CEC2017-F3,PSO-AW,9.0,1690.8119902549563,2151.8066055872364
CEC2017-F3,PSO-RS,5.0,72.68285897008903,253.40546460265412
CEC2017-F4,ARPSO-EIS,3.0,35.97599692065426,16.5985508639856
CEC2017-F4,ARPSO-v4,4.0,42.88831628381232,23.281463319719517
CEC2017-F4,CLPSO,1.0,33.57888265004726,6.009210623323344
CEC2017-F4,DE,2.0,34.49348684744245,10.348209303653135
CEC2017-F4,GA,6.0,53.45396062020411,29.57601836972209
CEC2017-F4,HPSO-TVAC,5.0,53.262951557256976,34.84472598588668
CEC2017-F4,PSO,8.0,175.1124719395004,247.46552699726703
CEC2017-F4,PSO-AW,9.0,189.1701442989092,279.41255572046964
CEC2017-F4,PSO-RS,7.0,59.95595029674283,49.89324721174315
CEC2017-F5,ARPSO-EIS,3.0,105.73510719928444,28.11666717874029
CEC2017-F5,ARPSO-v4,4.0,120.02469958220988,29.98712239850256
CEC2017-F5,CLPSO,2.0,67.45085034372184,7.708114812354296
CEC2017-F5,DE,1.0,32.23685796552245,24.224676346503795
CEC2017-F5,GA,6.0,265.7841114962909,35.73245120208051
CEC2017-F5,HPSO-TVAC,7.0,564.4508542622224,880.545301387892
CEC2017-F5,PSO,8.0,2210.81328101632,2173.446830656412
CEC2017-F5,PSO-AW,9.0,3993.0731640804174,3221.420096870831
CEC2017-F5,PSO-RS,5.0,226.07368112359785,60.45206106389827
CEC2017-F6,ARPSO-EIS,5.0,9.571695022714266e-05,0.0001458590079595
CEC2017-F6,ARPSO-v4,6.0,0.0001007010517279,0.0001816174590687
CEC2017-F6,CLPSO,8.0,0.0001718103372278,8.738532190299348e-05
CEC2017-F6,DE,1.0,9.317629216335871e-09,2.300166217219349e-08
CEC2017-F6,GA,9.0,0.0002191228938499,0.0002213903620378
CEC2017-F6,HPSO-TVAC,3.0,6.02095500729168e-05,0.0001837674125177
CEC2017-F6,PSO,4.0,7.199306469374278e-05,9.78335940801984e-05
CEC2017-F6,PSO-AW,2.0,4.41445138828082e-05,4.635843962182252e-05
CEC2017-F6,PSO-RS,7.0,0.0001555868731126,0.000179975708713
CEC2017-F7,ARPSO-EIS,4.0,169.90894479591415,29.35022900412412
CEC2017-F7,ARPSO-v4,3.0,156.94398792095745,35.38662919064778
CEC2017-F7,CLPSO,2.0,108.7764094173573,10.987856332090372
CEC2017-F7,DE,1.0,105.11845327843162,66.78220033345139
CEC2017-F7,GA,6.0,1192.9653607813275,214.8540496642396
