Algorithm,AverageRank
ARPSO-Local,2.7142857142857144
ARPSO-SRR,2.7142857142857144
ARPSO-Fixed,3.4642857142857144
ARPSO-EIS,3.4642857142857144
ARPSO-Global,4.25
PSO-RS,4.392857142857143
