source_file,BaseAlgorithm,FunctionID,Function,__rows,BaseMeanError__sum,BaseMeanError__count,BaseMeanError__min,BaseMeanError__max,ComparedMeanError__sum,ComparedMeanError__count,ComparedMeanError__min,ComparedMeanError__max,BaseMeanError__mean,ComparedMeanError__mean
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,1,F1,5,45009.21233496138,5,9001.842466992277,9001.842466992277,8173948.807944142,5,7954.159842896741,8069684.897158904,9001.842466992277,1634789.7615888284
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,3,F3,5,190.27502278236602,5,38.05500455647321,38.05500455647321,271.67542865571323,5,40.444758863265584,83.60899991728456,38.05500455647321,54.33508573114265
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,4,F4,5,679.5876043439628,5,135.91752086879256,135.91752086879256,903.3007661836796,5,149.08251665219183,242.5005552250169,135.91752086879256,180.6601532367359
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,5,F5,5,0.0005399963641060001,5,0.0001079992728212,0.0001079992728212,0.0004523604770592126,5,3.6152997845798986e-05,0.0001446235526051,0.00010799927282120002,9.047209541184253e-05
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,6,F6,5,1120.816187347405,5,224.163237469481,224.163237469481,2213.733901090105,5,193.97261522323475,798.3618748938484,224.163237469481,442.746780218021
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,7,F7,5,868.6666666666666,5,173.73333333333332,173.73333333333332,873.0426446108834,5,162.35046590527477,183.31793586028695,173.73333333333332,174.60852892217667
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,8,F8,5,12.74973327125296,5,2.549946654250592,2.549946654250592,11.94931855403521,5,1.9013356950524023,3.129834016503109,2.549946654250592,2.389863710807042
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,9,F9,5,49.19055690388238,5,9.838111380776477,9.838111380776477,0.0,5,0.0,0.0,9.838111380776477,0.0
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,10,F10,5,123424.42936141072,5,24684.885872282142,24684.885872282142,143281.993145938,5,18801.884298400026,39396.24578713159,24684.885872282142,28656.3986291876
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,11,F11,5,18559949.60474436,5,3711989.920948872,3711989.920948872,18106872.808050647,5,1445181.7507456846,5586063.914336168,3711989.920948872,3621374.5616101297
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,12,F12,5,1169906.7604241588,5,233981.35208483177,233981.35208483177,1442692.3528487997,5,183307.89373556356,436255.367876822,233981.35208483174,288538.47056975996
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,13,F13,5,528498.9446893199,5,105699.78893786398,105699.78893786398,492814.5310667955,5,86769.25160784372,106350.64401324176,105699.78893786398,98562.9062133591
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,14,F14,5,550733.8812764956,5,110146.77625529912,110146.77625529912,990726.624675104,5,155380.53954393792,269953.9380078911,110146.77625529913,198145.32493502082
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,15,F15,5,16823.003173250985,5,3364.6006346501968,3364.6006346501968,31379.771944392876,5,3348.39153601198,11253.04400059741,3364.600634650197,6275.954388878576
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,16,F16,5,5344.790564339166,5,1068.9581128678333,1068.9581128678333,6203.97433859873,5,1117.5789008878785,1333.5592664501753,1068.9581128678333,1240.794867719746
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,17,F17,5,270006.2025841932,5,54001.24051683864,54001.24051683864,248150.32676473522,5,38067.98572885555,60303.91379194876,54001.24051683864,49630.065352947044
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,18,F18,5,412907.93956485565,5,82581.58791297112,82581.58791297112,430969.5173860567,5,74566.93405003558,96538.52249458588,82581.58791297112,86193.90347721134
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,19,F19,5,357.93077052311946,5,71.58615410462389,71.58615410462389,588.5118544537395,5,66.4591015127898,172.16446546669084,71.58615410462389,117.7023708907479
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,20,F20,5,1753.4791133941385,5,350.6958226788277,350.6958226788277,1817.8957194266798,5,299.45001018639846,539.7587627078682,350.6958226788277,363.57914388533595
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,21,F21,5,0.0,5,0.0,0.0,3.315977991740525,5,0.0,3.315977991740525,0.0,0.663195598348105
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,22,F22,5,1297.4474778154959,5,259.4894955630992,259.4894955630992,1882.7061677663003,5,241.07453115004373,676.3537635592199,259.4894955630992,376.54123355326004
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,23,F23,5,1051.4513331781354,5,210.2902666356271,210.2902666356271,1232.481733742893,5,222.5655600945876,292.1555992142041,210.2902666356271,246.49634674857862
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,24,F24,5,2160.5605840785693,5,432.1121168157139,432.1121168157139,2169.144846114742,5,424.9591099243247,439.59990297524666,432.1121168157139,433.8289692229484
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,25,F25,5,4201.757272747798,5,840.3514545495595,840.3514545495595,4217.465269436146,5,835.8390868318704,853.2611879204956,840.3514545495597,843.4930538872292
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,26,F26,5,2679.1428199452675,5,535.8285639890535,535.8285639890535,2632.2613884832363,5,511.98967784514656,542.6975620771569,535.8285639890535,526.4522776966472
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,27,F27,5,1056.5805949234227,5,211.31611898468452,211.31611898468452,1198.4351854906824,5,84.17584375171901,396.2511465346201,211.31611898468455,239.6870370981365
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,28,F28,5,124447.79910256401,5,24889.5598205128,24889.5598205128,270264.12846447906,5,14904.47874288048,145709.93469881263,24889.5598205128,54052.825692895814
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,ARPSO-SRR,29,F29,5,2796395.733116747,5,559279.1466233494,559279.1466233494,7780804.127067617,5,160795.37171478293,4356006.725264401,559279.1466233494,1556160.8254135235
