source_file,Algorithm,Function,__rows,BestValue__sum,BestValue__count,BestValue__min,BestValue__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RuntimeSeconds__sum,RuntimeSeconds__count,RuntimeSeconds__min,RuntimeSeconds__max,BestValue__mean,RestartCount__mean,RuntimeSeconds__mean
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F1,30,338739.14111430355,30,279.98838722405145,20841.76710091616,2220,30,74,74,137.07024250000177,30,3.6196797999982655,5.3135404999993625,11291.304703810118,74.0,4.569008083333392
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F10,30,-106169.82243977318,30,-6787.757928225863,-1521.531015122686,1143,30,1,68,724.8079935999922,30,23.35623900000064,25.036002900000312,-3538.9940813257726,38.1,24.160266453333072
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F11,30,640277.658738368,30,900.7482688984488,131774.70934309546,1738,30,0,74,478.8966360999766,30,14.741537599998992,18.84130189999996,21342.588624612265,57.93333333333333,15.963221203332553
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F12,30,46970078.679310456,30,14691.485822977049,11097473.826629834,2220,30,74,74,1023.2853699999978,30,31.48404489999666,35.54627050000272,1565669.2893103485,74.0,34.10951233333326
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F13,30,5434210.417041722,30,25388.15974673898,377552.43450753775,2208,30,62,74,553.6697476000118,30,17.653015099996992,19.85255689999758,181140.34723472406,73.6,18.455658253333727
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F14,30,2876914.6859164014,30,3007.879370458064,294757.5376818868,1250,30,9,74,718.0230767999892,30,22.62501459999476,24.89220639999985,95897.15619721338,41.666666666666664,23.93410255999964
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F15,30,3419775.075208094,30,14966.213903677206,640521.415512833,2144,30,0,74,541.4542992000206,30,17.144593299999542,19.266722200001823,113992.50250693646,71.46666666666667,18.048476640000686
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F16,30,29109.22583188159,30,-663.9075281084741,4704.663568418845,2027,30,0,74,2032.9881556999972,30,60.69991100000334,76.481234699997,970.3075277293864,67.56666666666666,67.76627185666658
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F17,30,50601.55300530293,30,-124.5657337978446,33263.42853829269,1773,30,0,74,5013.406934999977,30,164.27442999999766,169.86006619999534,1686.7184335100976,59.1,167.11356449999923
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F18,30,1060290.6042053164,30,5069.59768083325,109538.5516145076,887,30,2,57,580.7296185000087,30,18.51543469999888,20.493153499999607,35343.020140177214,29.566666666666666,19.357653950000287
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F19,30,2382152.7295563743,30,100.7902735050102,182831.30181533148,2204,30,60,74,2795.3276230000192,30,91.6739801000076,95.1814272999909,79405.09098521248,73.46666666666667,93.17758743333397
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F20,30,662.2798393544061,30,-321.0421563747145,443.8099487845893,2185,30,65,74,5569.536330899995,30,181.4679385999916,188.4918551999872,22.07599464514687,72.83333333333333,185.65121102999984
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F21,30,7669.393629602119,30,100.00000000000092,411.2707373481694,2218,30,73,74,837.2581981000403,30,26.962600600003498,28.856365800005733,255.64645432007063,73.93333333333334,27.90860660333468
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F22,30,-120519.85462848432,30,-8915.98105114548,-697.0779603838864,1874,30,41,74,1237.385605500036,30,39.665259100002,42.30774930000189,-4017.328487616144,62.46666666666667,41.2461868500012
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F23,30,8375.531693696064,30,100.00000000000092,738.3422680088847,2216,30,73,74,1499.7327877000207,30,48.55610799998976,51.36281610000879,279.1843897898688,73.86666666666666,49.99109292333402
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F24,30,7364.814377723769,30,200.00000000000043,491.6181508197869,2212,30,72,74,1482.6859643999487,30,46.10955130000366,55.77097830000275,245.49381259079232,73.73333333333333,49.42286547999829
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-EIS,CEC2017-F25,30,12765.5192879537,30,421.03142120231314,532.5575739899309,2219,30,73,74,1695.7298101000197,30,52.28815639999812,61.28030519999447,425.5173095984567,73.96666666666667,56.52432700333399
