source_file,Algorithm,FunctionID,Function,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,StdError__sum,StdError__count,StdError__min,StdError__max,MedianError__sum,MedianError__count,MedianError__min,MedianError__max,BestError__sum,BestError__count,BestError__min,BestError__max,WorstError__sum,WorstError__count,WorstError__min,WorstError__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,AvgRuntime__sum,AvgRuntime__count,AvgRuntime__min,AvgRuntime__max,MeanError__mean,StdError__mean,MedianError__mean,BestError__mean,WorstError__mean,AvgRestart__mean,AvgRuntime__mean
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,1,F1,1,76499.01224010966,1,76499.01224010966,76499.01224010966,255671.415379332,1,255671.415379332,255671.415379332,20842.185943910168,1,20842.185943910168,20842.185943910168,75.61243834689847,1,75.61243834689847,75.61243834689847,1380820.3896917887,1,1380820.3896917887,1380820.3896917887,2401.5666666666666,1,2401.5666666666666,2401.5666666666666,9.05126501719157,1,9.05126501719157,9.05126501719157,76499.01224010966,255671.415379332,20842.185943910168,75.61243834689847,1380820.3896917887,2401.5666666666666,9.05126501719157
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,3,F3,1,44.23280556369911,1,44.23280556369911,44.23280556369911,25.2374312319169,1,25.2374312319169,25.2374312319169,31.91964452940277,1,31.91964452940277,31.91964452940277,31.812673781639035,1,31.812673781639035,31.812673781639035,106.69377965309376,1,106.69377965309376,106.69377965309376,2101.9333333333334,1,2101.9333333333334,2101.9333333333334,15.906487170855204,1,15.906487170855204,15.906487170855204,44.23280556369911,25.2374312319169,31.91964452940277,31.812673781639035,106.69377965309376,2101.9333333333334,15.906487170855204
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,4,F4,1,172.09867823921093,1,172.09867823921093,172.09867823921093,55.62846623383401,1,55.62846623383401,55.62846623383401,162.1797601401554,1,162.1797601401554,162.1797601401554,88.55129824363144,1,88.55129824363144,88.55129824363144,297.0588105078566,1,297.0588105078566,297.0588105078566,2300.4333333333334,1,2300.4333333333334,2300.4333333333334,11.603897817929584,1,11.603897817929584,11.603897817929584,172.09867823921093,55.62846623383401,162.1797601401554,88.55129824363144,297.0588105078566,2300.4333333333334,11.603897817929584
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,5,F5,1,0.0001002247663905,1,0.0001002247663905,0.0001002247663905,0.0001616678089865,1,0.0001616678089865,0.0001616678089865,2.2437750885728747e-05,1,2.2437750885728747e-05,2.2437750885728747e-05,1.0128331950909343e-07,1,1.0128331950909343e-07,1.0128331950909343e-07,0.0005798542543971,1,0.0005798542543971,0.0005798542543971,2517.1,1,2517.1,2517.1,64.25525427659353,1,64.25525427659353,64.25525427659353,0.0001002247663905,0.0001616678089865,2.2437750885728747e-05,1.0128331950909343e-07,0.0005798542543971,2517.1,64.25525427659353
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,6,F6,1,316.0557740266764,1,316.0557740266764,316.0557740266764,116.45656275245868,1,116.45656275245868,116.45656275245868,296.9934702645182,1,296.9934702645182,296.9934702645182,101.43139502426516,1,101.43139502426516,101.43139502426516,579.2290177623042,1,579.2290177623042,579.2290177623042,2262.9,1,2262.9,2262.9,22.76240473588308,1,22.76240473588308,22.76240473588308,316.0557740266764,116.45656275245868,296.9934702645182,101.43139502426516,579.2290177623042,2262.9,22.76240473588308
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,7,F7,1,162.35046590527477,1,162.35046590527477,162.35046590527477,39.18770976924577,1,39.18770976924577,39.18770976924577,162.25,1,162.25,162.25,92.0,1,92.0,92.0,274.0,1,274.0,274.0,2064.633333333333,1,2064.633333333333,2064.633333333333,39.72327330112457,1,39.72327330112457,39.72327330112457,162.35046590527477,39.18770976924577,162.25,92.0,274.0,2064.633333333333,39.72327330112457
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,8,F8,1,3.129834016503109,1,3.129834016503109,3.129834016503109,3.0625823220676422,1,3.0625823220676422,3.0625823220676422,2.517910925600688,1,2.517910925600688,2.517910925600688,0.1792084024084488,1,0.1792084024084488,0.1792084024084488,15.479356343360225,1,15.479356343360225,15.479356343360225,2351.4,1,2351.4,2351.4,25.127507678667705,1,25.127507678667705,25.127507678667705,3.129834016503109,3.0625823220676422,2.517910925600688,0.1792084024084488,15.479356343360225,2351.4,25.127507678667705
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,9,F9,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1258.2333333333331,1,1258.2333333333331,1258.2333333333331,42.6601471265157,1,42.6601471265157,42.6601471265157,0.0,0.0,0.0,0.0,0.0,1258.2333333333331,42.6601471265157
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,10,F10,1,25798.0779258218,1,25798.0779258218,25798.0779258218,30172.08355443677,1,30172.08355443677,30172.08355443677,19760.77208537302,1,19760.77208537302,19760.77208537302,765.6570430508077,1,765.6570430508077,765.6570430508077,146529.79624306242,1,146529.79624306242,146529.79624306242,1675.9333333333334,1,1675.9333333333334,1675.9333333333334,28.114334241549173,1,28.114334241549173,28.114334241549173,25798.0779258218,30172.08355443677,19760.77208537302,765.6570430508077,146529.79624306242,1675.9333333333334,28.114334241549173
results\cec2017_ablation6\ablation6_summary_results.csv,ARPSO-EIS,11,F11,1,3959034.555785832,1,3959034.555785832,3959034.555785832,5612773.679018247,1,5612773.679018247,5612773.679018247,1212964.9319684464,1,1212964.9319684464,1212964.9319684464,17026.089957345088,1,17026.089957345088,17026.089957345088,22779991.36842298,1,22779991.36842298,22779991.36842298,2109.833333333333,1,2109.833333333333,2109.833333333333,44.50658155282338,1,44.50658155282338,44.50658155282338,3959034.555785832,5612773.679018247,1212964.9319684464,17026.089957345088,22779991.36842298,2109.833333333333,44.50658155282338
