source_file,Algorithm,__rows,AverageRank__sum,AverageRank__count,AverageRank__min,AverageRank__max,AverageRank__mean
results\cec\cec2017_friedman_average_rank.csv,ARPSO-EIS,1,4.448275862068965,1,4.448275862068965,4.448275862068965,4.448275862068965
results\cec\cec2017_friedman_average_rank.csv,ARPSO-v4,1,4.310344827586207,1,4.310344827586207,4.310344827586207,4.310344827586207
results\cec\cec2017_friedman_average_rank.csv,CLPSO,1,3.1724137931034484,1,3.1724137931034484,3.1724137931034484,3.1724137931034484
results\cec\cec2017_friedman_average_rank.csv,DE,1,1.9655172413793105,1,1.9655172413793105,1.9655172413793105,1.9655172413793105
results\cec\cec2017_friedman_average_rank.csv,GA,1,4.206896551724138,1,4.206896551724138,4.206896551724138,4.206896551724138
results\cec\cec2017_friedman_average_rank.csv,HPSO-TVAC,1,5.344827586206897,1,5.344827586206897,5.344827586206897,5.344827586206897
results\cec\cec2017_friedman_average_rank.csv,PSO,1,7.551724137931035,1,7.551724137931035,7.551724137931035,7.551724137931035
results\cec\cec2017_friedman_average_rank.csv,PSO-AW,1,7.931034482758621,1,7.931034482758621,7.931034482758621,7.931034482758621
results\cec\cec2017_friedman_average_rank.csv,PSO-RS,1,6.068965517241379,1,6.068965517241379,6.068965517241379,6.068965517241379
