source_file,Algorithm,FunctionID,Function,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,Rank__sum,Rank__count,Rank__min,Rank__max,MeanError__mean,Rank__mean
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,6,F6,1,236.3511402955509,1,236.3511402955509,236.3511402955509,3.0,1,3.0,3.0,236.3511402955509,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,7,F7,1,179.86672555033084,1,179.86672555033084,179.86672555033084,4.0,1,4.0,4.0,179.86672555033084,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,8,F8,1,2.1266276953854724,1,2.1266276953854724,2.1266276953854724,2.0,1,2.0,2.0,2.1266276953854724,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,9,F9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,10,F10,1,24856.81722312504,1,24856.81722312504,24856.81722312504,3.0,1,3.0,3.0,24856.81722312504,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,11,F11,1,5586063.914336166,1,5586063.914336166,5586063.914336166,6.0,1,6.0,6.0,5586063.914336166,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,12,F12,1,221972.91611120556,1,221972.91611120556,221972.91611120556,2.0,1,2.0,2.0,221972.91611120556,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,13,F13,1,101474.2452814968,1,101474.2452814968,101474.2452814968,3.0,1,3.0,3.0,101474.2452814968,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,14,F14,1,223947.39411330875,1,223947.39411330875,223947.39411330875,5.0,1,5.0,5.0,223947.39411330875,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,15,F15,1,4736.763330557741,1,4736.763330557741,4736.763330557741,4.0,1,4.0,4.0,4736.763330557741,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,16,F16,1,1255.5760952336334,1,1255.5760952336334,1255.5760952336334,4.0,1,4.0,4.0,1255.5760952336334,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,17,F17,1,58590.6979972471,1,58590.6979972471,58590.6979972471,5.0,1,5.0,5.0,58590.6979972471,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,18,F18,1,74566.93405003556,1,74566.93405003556,74566.93405003556,1.0,1,1.0,1.0,74566.93405003556,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,19,F19,1,124.2252706224944,1,124.2252706224944,124.2252706224944,4.0,1,4.0,4.0,124.2252706224944,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,20,F20,1,315.4001715954853,1,315.4001715954853,315.4001715954853,3.0,1,3.0,3.0,315.4001715954853,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,21,F21,1,3.315977991740525,1,3.315977991740525,3.315977991740525,6.0,1,6.0,6.0,3.315977991740525,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,22,F22,1,241.07453115004373,1,241.07453115004373,241.07453115004373,1.0,1,1.0,1.0,241.07453115004373,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,23,F23,1,222.632252748191,1,222.632252748191,222.632252748191,3.0,1,3.0,3.0,222.632252748191,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,24,F24,1,432.6306635452974,1,432.6306635452974,432.6306635452974,3.0,1,3.0,3.0,432.6306635452974,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,25,F25,1,842.0560880475201,1,842.0560880475201,842.0560880475201,4.0,1,4.0,4.0,842.0560880475201,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,26,F26,1,520.9294119059371,1,520.9294119059371,520.9294119059371,2.0,1,2.0,2.0,520.9294119059371,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,27,F27,1,217.77090002009692,1,217.77090002009692,217.77090002009692,4.0,1,4.0,4.0,217.77090002009692,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,28,F28,1,27089.904316962205,1,27089.904316962205,27089.904316962205,4.0,1,4.0,4.0,27089.904316962205,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,29,F29,1,732963.140688084,1,732963.140688084,732963.140688084,3.0,1,3.0,3.0,732963.140688084,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,1,F1,1,10674.637356248057,1,10674.637356248057,10674.637356248057,4.0,1,4.0,4.0,10674.637356248057,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,3,F3,1,83.60899991728456,1,83.60899991728456,83.60899991728456,6.0,1,6.0,6.0,83.60899991728456,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,4,F4,1,242.5005552250169,1,242.5005552250169,242.5005552250169,6.0,1,6.0,6.0,242.5005552250169,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,5,F5,1,9.199953885854485e-05,1,9.199953885854485e-05,9.199953885854485e-05,3.0,1,3.0,3.0,9.199953885854485e-05,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,6,F6,1,668.9924966507945,1,668.9924966507945,668.9924966507945,5.0,1,5.0,5.0,668.9924966507945,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,7,F7,1,165.97418396165725,1,165.97418396165725,165.97418396165725,2.0,1,2.0,2.0,165.97418396165725,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,8,F8,1,1.9013356950524023,1,1.9013356950524023,1.9013356950524023,1.0,1,1.0,1.0,1.9013356950524023,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,9,F9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,10,F10,1,39396.24578713159,1,39396.24578713159,39396.24578713159,6.0,1,6.0,6.0,39396.24578713159,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,11,F11,1,3947499.2458382295,1,3947499.2458382295,3947499.2458382295,4.0,1,4.0,4.0,3947499.2458382295,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,12,F12,1,286303.188463893,1,286303.188463893,286303.188463893,4.0,1,4.0,4.0,286303.188463893,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,13,F13,1,102703.5052603259,1,102703.5052603259,102703.5052603259,4.0,1,4.0,4.0,102703.5052603259,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,14,F14,1,269953.9380078911,1,269953.9380078911,269953.9380078911,6.0,1,6.0,6.0,269953.9380078911,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,15,F15,1,8467.350199551112,1,8467.350199551112,8467.350199551112,5.0,1,5.0,5.0,8467.350199551112,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,16,F16,1,1333.5592664501755,1,1333.5592664501755,1333.5592664501755,6.0,1,6.0,6.0,1333.5592664501755,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,17,F17,1,38067.98572885556,1,38067.98572885556,38067.98572885556,1.0,1,1.0,1.0,38067.98572885556,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,18,F18,1,82811.14566020928,1,82811.14566020928,82811.14566020928,3.0,1,3.0,3.0,82811.14566020928,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,19,F19,1,87.47067845298119,1,87.47067845298119,87.47067845298119,3.0,1,3.0,3.0,87.47067845298119,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,20,F20,1,539.7587627078683,1,539.7587627078683,539.7587627078683,6.0,1,6.0,6.0,539.7587627078683,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,21,F21,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,22,F22,1,676.35376355922,1,676.35376355922,676.35376355922,6.0,1,6.0,6.0,676.35376355922,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,23,F23,1,226.12187516006912,1,226.12187516006912,226.12187516006912,4.0,1,4.0,4.0,226.12187516006912,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,24,F24,1,439.59990297524666,1,439.59990297524666,439.59990297524666,6.0,1,6.0,6.0,439.59990297524666,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,25,F25,1,853.2611879204956,1,853.2611879204956,853.2611879204956,6.0,1,6.0,6.0,853.2611879204956,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,26,F26,1,527.2147086851404,1,527.2147086851404,527.2147086851404,3.0,1,3.0,3.0,527.2147086851404,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,27,F27,1,396.25114653462,1,396.25114653462,396.25114653462,6.0,1,6.0,6.0,396.25114653462,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,28,F28,1,145709.9346988126,1,145709.9346988126,145709.9346988126,6.0,1,6.0,6.0,145709.9346988126,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Global,29,F29,1,160795.3717147829,1,160795.3717147829,160795.3717147829,1.0,1,1.0,1.0,160795.3717147829,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Local,1,F1,1,7954.159842896741,1,7954.159842896741,7954.159842896741,1.0,1,1.0,1.0,7954.159842896741,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Local,3,F3,1,40.444758863265584,1,40.444758863265584,40.444758863265584,2.0,1,2.0,2.0,40.444758863265584,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Local,4,F4,1,149.0825166521918,1,149.0825166521918,149.0825166521918,2.0,1,2.0,2.0,149.0825166521918,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Local,5,F5,1,7.93596213592688e-05,1,7.93596213592688e-05,7.93596213592688e-05,2.0,1,2.0,2.0,7.93596213592688e-05,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Local,6,F6,1,193.9726152232347,1,193.9726152232347,193.9726152232347,1.0,1,1.0,1.0,193.9726152232347,1.0
