source_file,Algorithm,FunctionID,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,Rank__sum,Rank__count,Rank__min,Rank__max,MeanError__mean,Rank__mean
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,6,1,668.9924966507945,1,668.9924966507945,668.9924966507945,5.0,1,5.0,5.0,668.9924966507945,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,7,1,165.97418396165725,1,165.97418396165725,165.97418396165725,2.0,1,2.0,2.0,165.97418396165725,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,8,1,1.9013356950524023,1,1.9013356950524023,1.9013356950524023,1.0,1,1.0,1.0,1.9013356950524023,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,10,1,39396.24578713159,1,39396.24578713159,39396.24578713159,6.0,1,6.0,6.0,39396.24578713159,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,11,1,3947499.2458382295,1,3947499.2458382295,3947499.2458382295,4.0,1,4.0,4.0,3947499.2458382295,4.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,12,1,286303.188463893,1,286303.188463893,286303.188463893,4.0,1,4.0,4.0,286303.188463893,4.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,13,1,102703.5052603259,1,102703.5052603259,102703.5052603259,4.0,1,4.0,4.0,102703.5052603259,4.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,14,1,269953.9380078912,1,269953.9380078912,269953.9380078912,6.0,1,6.0,6.0,269953.9380078912,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Global,15,1,8467.350199551112,1,8467.350199551112,8467.350199551112,5.0,1,5.0,5.0,8467.350199551112,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,1,1,7954.159842896741,1,7954.159842896741,7954.159842896741,1.0,1,1.0,1.0,7954.159842896741,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,3,1,40.444758863265584,1,40.444758863265584,40.444758863265584,2.0,1,2.0,2.0,40.444758863265584,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,4,1,149.0825166521918,1,149.0825166521918,149.0825166521918,2.0,1,2.0,2.0,149.0825166521918,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,5,1,7.935962135925677e-05,1,7.935962135925677e-05,7.935962135925677e-05,2.0,1,2.0,2.0,7.935962135925677e-05,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,6,1,193.9726152232347,1,193.9726152232347,193.9726152232347,1.0,1,1.0,1.0,193.9726152232347,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,7,1,181.5333333333336,1,181.5333333333336,181.5333333333336,5.0,1,5.0,5.0,181.5333333333336,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,8,1,2.2230415362648994,1,2.2230415362648994,2.2230415362648994,3.0,1,3.0,3.0,2.2230415362648994,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,10,1,18801.88429840003,1,18801.88429840003,18801.88429840003,1.0,1,1.0,1.0,18801.88429840003,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,11,1,1445181.7507456846,1,1445181.7507456846,1445181.7507456846,1.0,1,1.0,1.0,1445181.7507456846,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,12,1,183307.89373556356,1,183307.89373556356,183307.89373556356,1.0,1,1.0,1.0,183307.89373556356,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,13,1,106350.64401324176,1,106350.64401324176,106350.64401324176,6.0,1,6.0,6.0,106350.64401324176,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,14,1,170741.86344405444,1,170741.86344405444,170741.86344405444,4.0,1,4.0,4.0,170741.86344405444,4.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-Local,15,1,3574.2228776746315,1,3574.2228776746315,3574.2228776746315,3.0,1,3.0,3.0,3574.2228776746315,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,1,1,9001.842466992277,1,9001.842466992277,9001.842466992277,2.0,1,2.0,2.0,9001.842466992277,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,3,1,38.0550045564732,1,38.0550045564732,38.0550045564732,1.0,1,1.0,1.0,38.0550045564732,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,4,1,135.91752086879256,1,135.91752086879256,135.91752086879256,1.0,1,1.0,1.0,135.91752086879256,1.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,5,1,0.0001079992728212,1,0.0001079992728212,0.0001079992728212,5.0,1,5.0,5.0,0.0001079992728212,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,6,1,224.163237469481,1,224.163237469481,224.163237469481,2.0,1,2.0,2.0,224.163237469481,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,7,1,173.73333333333332,1,173.73333333333332,173.73333333333332,3.0,1,3.0,3.0,173.73333333333332,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,8,1,2.549946654250592,1,2.549946654250592,2.549946654250592,4.0,1,4.0,4.0,2.549946654250592,4.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,9,1,9.838111380776477,1,9.838111380776477,9.838111380776477,6.0,1,6.0,6.0,9.838111380776477,6.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,10,1,24684.885872282142,1,24684.885872282142,24684.885872282142,2.0,1,2.0,2.0,24684.885872282142,2.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,11,1,3711989.920948873,1,3711989.920948873,3711989.920948873,3.0,1,3.0,3.0,3711989.920948873,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,12,1,233981.3520848317,1,233981.3520848317,233981.3520848317,3.0,1,3.0,3.0,233981.3520848317,3.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,13,1,105699.78893786398,1,105699.78893786398,105699.78893786398,5.0,1,5.0,5.0,105699.78893786398,5.0
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,ARPSO-SRR,14,1,110146.77625529912,1,110146.77625529912,110146.77625529912,1.0,1,1.0,1.0,110146.77625529912,1.0
