source_file,Algorithm,FunctionID,Function,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,1,F1,72047,14820457717,72047,86575669,72047,461698,72047,8477.911555735544,72047,3198.371631916024,72047,90208,72047,6677973765835.035,72047,6677966561135.035,72047,4110,1,2,0.0800004407208081,0.030311601799947,0,175.61243834689847,75.61243834689847,300000,2478,11,0.2060057484803387,0.0937992974901652,50,12484646016.790644,12484645916.790644,205705.41059308508,1201.6554332588448,6.408289033547545,0.11767195796820885,0.044392849555373905,1.252071564395464,92689130.23214062,92689030.23214062
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,3,F3,63058,12299191141,63058,66320058,63058,411847,63058,7582.93514121389,63058,2772.5829433545446,63058,103894,63058,23425848.441676397,63058,4508448.441676397,63058,5360,1,3,0.0800034802118111,0.0315412443601633,0,331.81267378163903,31.812673781639035,300000,2176,10,0.1981360360949547,0.0911008297919942,50,2684.259236345345,2384.259236345345,195045.69033270958,1051.7310729804308,6.5312410796409655,0.12025334043600955,0.043968773880467896,1.6475942782834851,371.49685117949184,71.49685117949184
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,4,F4,69013,13990988157,69013,79430411,69013,442782,69013,8133.286722343812,69013,3062.8500650373867,69013,101927,69013,58362918.64319741,69013,30757718.643197406,69013,4560,1,1,0.0800022357666637,0.0309510792027888,0,488.5512982520272,88.55129825202721,300000,2366,11,0.2019130931021512,0.0909382576180571,50,21108.01917580913,20708.01917580913,202729.74884442062,1150.9485314361064,6.41592163795227,0.11785151670473405,0.04438076978304648,1.476924637387159,845.6800695984439,445.6800695984439
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,5,F5,75513,15803522994,75513,95812045,75513,519387,75513,9610.81434085855,75513,3254.048339805141,75513,99995,75513,37756522.220753826,75513,22.220753822633377,75513,2760,1,1,0.080001353608259,0.0244437222404419,0,500.0000001012833,1.0128331950909343e-07,300000,2944,13,0.2435601776611712,0.1153469693290856,50,500.0446568876236,0.044656887623546,209282.1500139049,1268.8152371114907,6.878113702276429,0.12727363951715,0.043092558099997895,1.32420907658284,500.00029426395224,0.0002942639522020497
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,6,F6,67887,13727304326,67887,76858918,67887,439858,67887,8082.96296935768,67887,2998.565305238007,67887,110288,67887,484851974.5985346,67887,444119774.5985346,67887,4110,1,2,0.0800007010818526,0.0316371734635979,0,701.4319077981639,101.43190779816392,300000,2347,10,0.1975220898329734,0.0881947891548706,50,599810.1928691892,599210.1928691892,202208.14479944613,1132.159588728328,6.479267017249253,0.11906496043951979,0.044169948668198726,1.624582026013817,7142.044494506084,6542.044494506084
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,7,F7,61939,13730845285,61939,64238180,61939,426709,61939,7891.415042229213,61939,2683.8810413481606,61939,128948,61939,54082312.56021035,61939,10725012.56021035,61939,2710,1,2,0.0800077965099954,0.0271412261930355,0,792.0,92.0,300000,2287,12,0.2262961523645723,0.109372379520282,50,1330.9811312513898,630.9811312513898,221683.35434863332,1037.1200697460404,6.889181291270443,0.1274062390776282,0.04333103604107526,2.081854728038877,873.1544351734827,173.1544351734828
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,8,F8,70542,14419757580,70542,83104210,70542,461017,70542,8484.378674676009,70542,3107.177171566625,70542,90418,70542,56679867.95867509,70542,246267.95867509197,70542,4560,1,5,0.0800111367326155,0.0293760057916632,0,800.1792092863653,0.1792092863653351,300000,2636,11,0.2119935629333551,0.1020690780664544,50,826.8980781773631,26.89807817736312,204413.79008250404,1178.0812849082815,6.535354824076436,0.12027414412231024,0.04404719417604583,1.2817612202659407,803.4910827404253,3.491082740425448
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,9,F9,37747,8446268794,37747,23968016,37747,224024,37747,4072.7751470280514,37747,1775.1222421182772,37747,100835,37747,-106116770.48684332,37747,1966431.8675782648,37747,2560,1,2,0.0800065641295376,0.0311540382515433,0,-6118.82705377616,0.0,300000,1488,11,0.2006141551901223,0.1228966830683434,50,6471.875807600814,5571.875807600814,223760.0019604207,634.9647919039924,5.934882242297401,0.10789665793382391,0.04702684298403256,2.6713381195856623,-2811.263689481106,52.0950504034298
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,10,F10,50278,10754584410,50278,42368591,50278,310862,50278,5688.825258623124,50278,2281.8632234451766,50278,91737,50278,3294229050.7582464,50278,3243951050.7582464,50278,3310,1,1,0.0800007373215846,0.032390450233117,0,1766.3135151110878,766.3135151110878,300000,1833,10,0.1927011185080511,0.1095200479586491,50,878746.4952661721,877746.4952661721,213902.39090655954,842.6864831536656,6.182863280162298,0.11314740559734125,0.045384924289851955,1.824595250407733,65520.288212702304,64520.288212702304
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,11,F11,63295,12041327244,63295,66863730,63295,429073,63295,7931.193010482811,63295,2736.021236206,63295,87819,63295,677673954164.3103,63295,677604329664.3103,63295,3260,1,5,0.0800060944453026,0.0306949402118956,0,18126.427177456604,17026.427177456604,300000,2278,11,0.2035523826438676,0.0939274419061129,50,1348717202.056279,1348716102.056279,190241.36573189034,1056.3824946678253,6.778939884667035,0.12530520594806557,0.04322649871563315,1.3874555652105223,10706595.373478321,10705495.373478321
