source_file,Algorithm,FunctionID,Function,Run,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,1,2311,471175362,2311,2671516,2311,14450,2311,265.10405844303085,2311,103.50026933264392,2311,4191,2311,5421909.86537538,2311,799909.8653753803,2311,4510,1,5,0.0800974948196924,0.0337412483580368,0,2132.8833882676377,132.88338826763766,300000,2311,10,0.1866666666666666,0.0659937277461778,50,5400.772710949378,3400.772710949378,203883.7568152315,1156.0,6.252704456945046,0.1147140019225577,0.0447859235537187,1.8135006490696668,2346.1314865319687,346.13148653196896
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,2,2384,478502204,2384,2842920,2384,15150,2384,278.28918997671445,2384,106.06919133810126,2384,3724,2384,6141392.2300935,2384,1373392.2300934994,2384,5360,1,3,0.0800849157993096,0.0317163697052091,0,2100.6496974091096,100.64969740910963,300000,2384,10,0.1970152338866616,0.0710952308096534,50,4244.410317370413,2244.4103173704134,200714.01174496644,1192.5,6.35486577181208,0.11673204277546748,0.044492110460612945,1.5620805369127517,2576.0873448378775,576.0873448378773
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,3,2369,480796588,2369,2807265,2369,14963,2369,274.486857561422,2369,105.67461695528067,2369,3587,2369,5884859.534922308,2369,1146859.5349223083,2369,8610,1,5,0.0800095512199118,0.0340162632053803,0,2100.382323439173,100.38232343917343,299963,2369,10,0.1866666666666666,0.0762129802330816,50,4128.003271034793,2128.003271034793,202953.39299282397,1185.0,6.316167159138877,0.11586612813905531,0.04460726760459294,1.5141409877585479,2484.1112431077704,484.11124310777046
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,4,2403,491976729,2403,2888406,2403,15203,2403,278.979660847823,2403,107.08383075204085,2403,2891,2403,5985017.422178935,2403,1179017.422178935,2403,4010,1,5,0.080014023557209,0.030456443882998,0,2100.127125283118,100.12712528311796,299953,2403,11,0.2050787591488125,0.0723101541432099,50,4398.889818906617,2398.8898189066167,204734.38576779026,1202.0,6.326674989596338,0.11609640484720059,0.04456255961383306,1.2030794839783603,2490.6439542983503,490.64395429834997
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,5,2330,469983047,2330,2715615,2330,15082,2330,277.48139470770235,2330,103.04228905884497,2330,3407,2330,5942213.431253949,2330,1282213.4312539494,2330,6960,1,5,0.0800960475556582,0.0313183196960194,0,2387.6067938466176,387.6067938466176,299982,2330,10,0.1995627539454758,0.0906920962466258,50,8032.905900137941,6032.905900137941,201709.46223175965,1165.5,6.472961373390558,0.11909072734236152,0.04422415839435406,1.4622317596566523,2550.306193671223,550.3061936712229
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,6,2332,485767240,2332,2720278,2332,14520,2332,265.83361258391847,2332,104.75919018544495,2332,3499,2332,5233847.647133253,2332,569847.6471332527,2332,5710,1,5,0.0800555362015379,0.0332679554197855,0,2100.0380897840623,100.03808978406232,299970,2332,10,0.1870850853133722,0.0676032866674548,50,4456.511369319027,2456.511369319027,208304.99142367067,1166.5,6.226415094339623,0.1139938304390731,0.04492246577420452,1.5004288164665522,2244.360054516832,244.3600545168322
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,7,2510,513330884,2510,3151305,2510,15724,2510,288.10874466814715,2510,112.54249487237797,2510,3041,2510,6352588.328232593,2510,1332588.3282325927,2510,5010,1,5,0.0800697033766518,0.032452716599564,0,2332.2315173709853,332.23151737098533,299974,2510,10,0.1923026137627901,0.0826567708249406,50,9338.555107501448,7338.555107501448,204514.29641434262,1255.5,6.264541832669322,0.11478436042555663,0.044837647359513136,1.2115537848605578,2530.911684554818,530.9116845548178
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,8,2501,514401388,2501,3128751,2501,15658,2501,286.93157528342635,2501,112.09954200666259,2501,2862,2501,6361088.05012147,2501,1359088.0501214704,2501,9110,1,5,0.0802153717971388,0.0330640180868667,0,2416.150820135078,416.150820135078,299958,2501,10,0.188390284244053,0.0837080602063192,50,10722.546225959606,8722.546225959606,205678.28388644542,1251.0,6.260695721711316,0.1147267394176035,0.04482188804744606,1.1443422630947622,2543.417852907425,543.4178529074252
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,9,2328,475925215,2328,2710956,2328,14856,2328,272.7365313289319,2328,103.51679550201264,2328,2817,2328,6068516.209118157,2328,1412516.2091181565,2328,9210,1,5,0.0800048364217735,0.0331394369878169,0,2440.7431141308066,440.7431141308066,299956,2328,10,0.1879076032779713,0.0816270408793539,50,8825.291064040392,6825.291064040392,204435.22981099656,1164.5,6.381443298969073,0.117154867409335,0.04446597744931814,1.2100515463917525,2606.750948933916,606.750948933916
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-EIS,20,F20,10,2328,489232954,2328,2710956,2328,14634,2328,268.15250052015216,2328,104.01152475877808,2328,2441,2328,5132881.047558712,2328,476881.04755871143,2328,6560,1,5,0.080008545605222,0.0318308864762372,0,2100.0370080460166,100.03700804601658,299984,2328,10,0.1962823265520815,0.0706694803546854,50,4644.262556095739,2644.2625560957385,210151.61254295532,1164.5,6.286082474226804,0.11518578201037463,0.04467849001665725,1.0485395189003437,2204.8458108070067,204.84581080700664
