Function,BaseAlgorithm,ComparedAlgorithm,BaseMean,ComparedMean,Statistic,PValue,Result
CEC2017-F13,ARPSO-EIS,GA,181140.34723472406,32522.40517548696,5.0,1.862645149230957e-08,Loss
CEC2017-F13,ARPSO-EIS,DE,181140.34723472406,2905.2390232406165,0.0,1.862645149230957e-09,Loss
CEC2017-F14,ARPSO-EIS,PSO,95897.1561972134,91115.54730854246,211.0,0.6701805889606476,NSD
CEC2017-F14,ARPSO-EIS,PSO-AW,95897.1561972134,98443.07896082927,197.0,0.4771064817905426,NSD
CEC2017-F14,ARPSO-EIS,PSO-RS,95897.1561972134,85548.7399519456,209.0,0.6408254038542509,NSD
CEC2017-F14,ARPSO-EIS,CLPSO,95897.1561972134,101806.43068962124,210.0,0.6554384250193834,NSD
CEC2017-F14,ARPSO-EIS,HPSO-TVAC,95897.1561972134,21806.639383743128,35.0,7.994472980499268e-06,Loss
CEC2017-F14,ARPSO-EIS,ARPSO-v4,95897.1561972134,75980.6507347247,188.0,0.370740607380867,NSD
CEC2017-F14,ARPSO-EIS,GA,95897.1561972134,76121.20583788319,182.0,0.308520769700408,NSD
CEC2017-F14,ARPSO-EIS,DE,95897.1561972134,1321.6978826951047,0.0,1.862645149230957e-09,Loss
CEC2017-F15,ARPSO-EIS,PSO,113992.50250693645,2339945.412487677,131.0,0.036434996873140335,Win
CEC2017-F15,ARPSO-EIS,PSO-AW,113992.50250693645,485927.97937037447,178.0,0.2710056286305189,NSD
CEC2017-F15,ARPSO-EIS,PSO-RS,113992.50250693645,74321.10775172805,151.0,0.09610157273709774,NSD
CEC2017-F15,ARPSO-EIS,CLPSO,113992.50250693645,18094.486316413262,2.0,5.587935447692871e-09,Loss
CEC2017-F15,ARPSO-EIS,HPSO-TVAC,113992.50250693645,66339.34071867849,133.0,0.04048972204327583,Loss
CEC2017-F15,ARPSO-EIS,ARPSO-v4,113992.50250693645,92184.19221790829,217.0,0.761065473780036,NSD
CEC2017-F15,ARPSO-EIS,GA,113992.50250693645,18824.98129094982,3.0,9.313225746154785e-09,Loss
CEC2017-F15,ARPSO-EIS,DE,113992.50250693645,3342.564459586781,0.0,1.862645149230957e-09,Loss
CEC2017-F16,ARPSO-EIS,PSO,970.3075277293864,470416.140252285,62.0,0.00020912662148475647,Win
CEC2017-F16,ARPSO-EIS,PSO-AW,970.3075277293864,1161673.806646825,16.0,3.1478703022003174e-07,Win
CEC2017-F16,ARPSO-EIS,PSO-RS,970.3075277293864,23934.262126851605,24.0,1.4193356037139893e-06,Win
CEC2017-F16,ARPSO-EIS,CLPSO,970.3075277293864,-62.790992948840085,40.0,1.597777009010315e-05,Loss
CEC2017-F16,ARPSO-EIS,HPSO-TVAC,970.3075277293864,219159.74922774552,120.0,0.019660815596580505,Win
CEC2017-F16,ARPSO-EIS,ARPSO-v4,970.3075277293864,1531.373853040557,200.0,0.5158484429121017,NSD
CEC2017-F16,ARPSO-EIS,GA,970.3075277293864,-289.22115482504006,18.0,4.7124922275543213e-07,Loss
CEC2017-F16,ARPSO-EIS,DE,970.3075277293864,-470.8153679485608,0.0,1.862645149230957e-09,Loss
CEC2017-F17,ARPSO-EIS,PSO,1686.7184335100976,22047.30962470053,28.0,2.7623027563095093e-06,Win
CEC2017-F17,ARPSO-EIS,PSO-AW,1686.7184335100976,26228.075393623927,25.0,1.6838312149047852e-06,Win
CEC2017-F17,ARPSO-EIS,PSO-RS,1686.7184335100976,1434.6565379715782,78.0,0.0009517744183540344,Loss
CEC2017-F17,ARPSO-EIS,CLPSO,1686.7184335100976,644.3839073139723,215.0,0.7303419969975948,NSD
CEC2017-F17,ARPSO-EIS,HPSO-TVAC,1686.7184335100976,2870.3818830448554,180.0,0.28936620615422726,NSD
CEC2017-F17,ARPSO-EIS,ARPSO-v4,1686.7184335100976,448.0800272182393,175.0,0.24494642950594425,NSD
CEC2017-F17,ARPSO-EIS,GA,1686.7184335100976,1134.4910086135203,79.0,0.001038169488310814,Loss
CEC2017-F17,ARPSO-EIS,DE,1686.7184335100976,35.34885432411195,26.0,1.991167664527893e-06,Loss
CEC2017-F18,ARPSO-EIS,PSO,35343.020140177214,42404.09378305998,195.0,0.4521643426269293,NSD
CEC2017-F18,ARPSO-EIS,PSO-AW,35343.020140177214,41769.89939795263,194.0,0.4399667661637068,NSD
CEC2017-F18,ARPSO-EIS,PSO-RS,35343.020140177214,36224.380604322745,217.0,0.761065473780036,NSD
CEC2017-F18,ARPSO-EIS,CLPSO,35343.020140177214,37172.73975001527,209.0,0.6408254038542509,NSD
CEC2017-F18,ARPSO-EIS,HPSO-TVAC,35343.020140177214,11842.68147605299,38.0,1.218356192111969e-05,Loss
CEC2017-F18,ARPSO-EIS,ARPSO-v4,35343.020140177214,33753.95694467881,225.0,0.8871948085725307,NSD
CEC2017-F18,ARPSO-EIS,GA,35343.020140177214,23925.691807131534,124.0,0.024786051362752914,Loss
CEC2017-F18,ARPSO-EIS,DE,35343.020140177214,413.9617527590096,0.0,1.862645149230957e-09,Loss
CEC2017-F19,ARPSO-EIS,PSO,79405.09098521248,536967069.3067806,206.0,0.5978077705949545,NSD
CEC2017-F19,ARPSO-EIS,PSO-AW,79405.09098521248,745655417.4269178,167.0,0.18396909348666668,NSD
CEC2017-F19,ARPSO-EIS,PSO-RS,79405.09098521248,47815.50477095816,123.0,0.023410143330693245,Loss
CEC2017-F19,ARPSO-EIS,CLPSO,79405.09098521248,985.6302086599784,1.0,3.725290298461914e-09,Loss
CEC2017-F19,ARPSO-EIS,HPSO-TVAC,79405.09098521248,36105.523826515266,78.0,0.0009517744183540344,Loss
CEC2017-F19,ARPSO-EIS,ARPSO-v4,79405.09098521248,73278.76860800704,209.0,0.6408254038542509,NSD
CEC2017-F19,ARPSO-EIS,GA,79405.09098521248,9746.42297247375,9.0,6.146728992462158e-08,Loss
CEC2017-F19,ARPSO-EIS,DE,79405.09098521248,14.500035154394602,0.0,1.862645149230957e-09,Loss
CEC2017-F20,ARPSO-EIS,PSO,22.075994645146867,37.2142911972957,207.0,0.6120056137442589,NSD
CEC2017-F20,ARPSO-EIS,PSO-AW,22.075994645146867,2.9305630885692304,199.0,0.5027610473334789,NSD
CEC2017-F20,ARPSO-EIS,PSO-RS,22.075994645146867,77.00250033000081,182.0,0.308520769700408,NSD
CEC2017-F20,ARPSO-EIS,CLPSO,22.075994645146867,-434.4147979726986,0.0,1.862645149230957e-09,Loss
CEC2017-F20,ARPSO-EIS,HPSO-TVAC,22.075994645146867,-78.29806977595051,144.0,0.06989291124045849,NSD
CEC2017-F20,ARPSO-EIS,ARPSO-v4,22.075994645146867,46.511409943745626,224.0,0.871207794174552,NSD
CEC2017-F20,ARPSO-EIS,GA,22.075994645146867,33.72352809894047,231.0,0.9838335812091827,NSD
CEC2017-F20,ARPSO-EIS,DE,22.075994645146867,-260.1052625756971,30.0,3.7904828786849976e-06,Loss
CEC2017-F21,ARPSO-EIS,PSO,255.64645432007066,1819.8002122090923,0.0,1.862645149230957e-09,Win
CEC2017-F21,ARPSO-EIS,PSO-AW,255.64645432007066,2212.53686797675,4.0,1.30385160446167e-08,Win
CEC2017-F21,ARPSO-EIS,PSO-RS,255.64645432007066,648.791373620056,19.0,5.718320608139038e-07,Win
CEC2017-F21,ARPSO-EIS,CLPSO,255.64645432007066,305.5295006535961,165.0,0.17059839516878128,NSD
CEC2017-F21,ARPSO-EIS,HPSO-TVAC,255.64645432007066,777.5563815329248,74.0,0.0006665531545877457,Win
CEC2017-F21,ARPSO-EIS,ARPSO-v4,255.64645432007066,277.0847007358946,183.0,0.455667149062427,NSD
CEC2017-F21,ARPSO-EIS,GA,255.64645432007066,385.3658189066717,65.0,0.000283263623714447,Win
CEC2017-F21,ARPSO-EIS,DE,255.64645432007066,222.23467780261,148.0,0.08219027169144101,NSD
CEC2017-F22,ARPSO-EIS,PSO,-4017.3284876161433,-5988.651804548959,33.0,5.973502993583679e-06,Loss
CEC2017-F22,ARPSO-EIS,PSO-AW,-4017.3284876161433,-2860.836298198069,118.0,0.017453668639063835,Win
CEC2017-F22,ARPSO-EIS,PSO-RS,-4017.3284876161433,-5565.15700867442,103.0,0.006639536470174789,Loss
CEC2017-F22,ARPSO-EIS,CLPSO,-4017.3284876161433,-14120.098125890237,0.0,1.862645149230957e-09,Loss
CEC2017-F22,ARPSO-EIS,HPSO-TVAC,-4017.3284876161433,-3199.008937286671,163.0,0.15794767439365387,NSD
CEC2017-F22,ARPSO-EIS,ARPSO-v4,-4017.3284876161433,-4188.750825259724,217.0,0.761065473780036,NSD
CEC2017-F22,ARPSO-EIS,GA,-4017.3284876161433,-9489.630920448097,0.0,1.862645149230957e-09,Loss
CEC2017-F22,ARPSO-EIS,DE,-4017.3284876161433,-1002.6061911550513,7.0,3.5390257835388184e-08,Win
CEC2017-F23,ARPSO-EIS,PSO,279.18438978986876,5938.182329508466,0.0,1.862645149230957e-09,Win
CEC2017-F23,ARPSO-EIS,PSO-AW,279.18438978986876,10083.764583450607,0.0,1.862645149230957e-09,Win
CEC2017-F23,ARPSO-EIS,PSO-RS,279.18438978986876,1329.0716387130508,48.0,4.4075772166252136e-05,Win
CEC2017-F23,ARPSO-EIS,CLPSO,279.18438978986876,316.895930417182,149.0,0.08793856762349606,NSD
CEC2017-F23,ARPSO-EIS,HPSO-TVAC,279.18438978986876,5629.163091499587,0.0,1.862645149230957e-09,Win
CEC2017-F23,ARPSO-EIS,ARPSO-v4,279.18438978986876,272.1204384429998,210.5,0.879668902116213,NSD
CEC2017-F23,ARPSO-EIS,GA,279.18438978986876,775.1232221211786,0.0,1.862645149230957e-09,Win
CEC2017-F23,ARPSO-EIS,DE,279.18438978986876,200.00000000000216,161.0,0.2217224307316552,NSD
CEC2017-F24,ARPSO-EIS,PSO,245.49381259079232,5256.369288929068,0.0,1.862645149230957e-09,Win
CEC2017-F24,ARPSO-EIS,PSO-AW,245.49381259079232,5793.912428889656,0.0,1.862645149230957e-09,Win
CEC2017-F24,ARPSO-EIS,PSO-RS,245.49381259079232,502.3567835493246,128.0,0.03098480962216854,Win
CEC2017-F24,ARPSO-EIS,CLPSO,245.49381259079232,200.21934955973805,165.0,0.17059839516878128,NSD
CEC2017-F24,ARPSO-EIS,HPSO-TVAC,245.49381259079232,4332.423639471117,2.0,3.165170018627329e-06,Win
CEC2017-F24,ARPSO-EIS,ARPSO-v4,245.49381259079232,228.21066973680578,194.5,0.617199803528552,NSD
CEC2017-F24,ARPSO-EIS,GA,245.49381259079232,611.9733917928909,0.0,1.862645149230957e-09,Win
CEC2017-F24,ARPSO-EIS,DE,245.49381259079232,200.00000000000074,17.0,8.590023771509532e-06,Loss
CEC2017-F25,ARPSO-EIS,PSO,425.5173095984567,463.2855166026083,33.0,5.973502993583679e-06,Win
CEC2017-F25,ARPSO-EIS,PSO-AW,425.5173095984567,462.95872788022496,2.0,5.587935447692871e-09,Win
CEC2017-F25,ARPSO-EIS,PSO-RS,425.5173095984567,434.5116127712868,65.0,0.000283263623714447,Win
CEC2017-F25,ARPSO-EIS,CLPSO,425.5173095984567,421.4665737476922,148.0,0.08406547829508781,NSD
CEC2017-F25,ARPSO-EIS,HPSO-TVAC,425.5173095984567,436.875592272179,110.0,0.010598260909318924,Win
CEC2017-F25,ARPSO-EIS,ARPSO-v4,425.5173095984567,423.9953063671958,146.0,0.07672121562063694,NSD
CEC2017-F25,ARPSO-EIS,GA,425.5173095984567,424.861489374308,52.0,7.056817412376404e-05,Loss
CEC2017-F25,ARPSO-EIS,DE,425.5173095984567,420.61066187627756,0.0,1.862645149230957e-09,Loss
CEC2017-F26,ARPSO-EIS,PSO,844.7259408642575,940.7760932306359,0.0,1.862645149230957e-09,Win
CEC2017-F26,ARPSO-EIS,PSO-AW,844.7259408642575,1033.0491862917936,0.0,1.862645149230957e-09,Win
CEC2017-F26,ARPSO-EIS,PSO-RS,844.7259408642575,860.605432151913,110.0,0.010598260909318924,Win
CEC2017-F26,ARPSO-EIS,CLPSO,844.7259408642575,865.7239755785304,50.0,5.5925920605659485e-05,Win
CEC2017-F26,ARPSO-EIS,HPSO-TVAC,844.7259408642575,1051.518482437724,2.0,5.587935447692871e-09,Win
CEC2017-F26,ARPSO-EIS,ARPSO-v4,844.7259408642575,843.0179820689995,214.0,0.7151329666376114,NSD
CEC2017-F26,ARPSO-EIS,GA,844.7259408642575,785.7287834946544,15.0,2.551823854446411e-07,Loss
CEC2017-F26,ARPSO-EIS,DE,844.7259408642575,833.6891993855957,115.0,0.01453801617026329,Loss
CEC2017-F27,ARPSO-EIS,PSO,520.5236491782214,542.6874362370145,137.0,0.049710121005773544,Win
CEC2017-F27,ARPSO-EIS,PSO-AW,520.5236491782214,556.6791228094241,104.0,0.007111456245183945,Win
CEC2017-F27,ARPSO-EIS,PSO-RS,520.5236491782214,547.5496778355614,106.0,0.008142979815602303,Win
CEC2017-F27,ARPSO-EIS,CLPSO,520.5236491782214,490.89404527467764,40.0,1.597777009010315e-05,Loss
CEC2017-F27,ARPSO-EIS,HPSO-TVAC,520.5236491782214,531.1096802770577,162.0,0.15188691951334476,NSD
CEC2017-F27,ARPSO-EIS,ARPSO-v4,520.5236491782214,538.7897042017318,141.0,0.06056523136794567,NSD
CEC2017-F27,ARPSO-EIS,GA,520.5236491782214,508.6618644896095,171.0,0.21293285302817822,NSD
CEC2017-F27,ARPSO-EIS,DE,520.5236491782214,490.4804871259502,45.0,3.049522638320923e-05,Loss
CEC2017-F28,ARPSO-EIS,PSO,129.0428110185824,532.4002534148882,0.0,1.862645149230957e-09,Win
CEC2017-F28,ARPSO-EIS,PSO-AW,129.0428110185824,595.5707833825486,4.0,1.30385160446167e-08,Win
CEC2017-F28,ARPSO-EIS,PSO-RS,129.0428110185824,432.0860622398739,20.0,6.910413503646851e-07,Win
CEC2017-F28,ARPSO-EIS,CLPSO,129.0428110185824,446.74843778723084,4.0,1.30385160446167e-08,Win
CEC2017-F28,ARPSO-EIS,HPSO-TVAC,129.0428110185824,467.6836153992637,13.0,1.6391277313232422e-07,Win
CEC2017-F28,ARPSO-EIS,ARPSO-v4,129.0428110185824,132.45161731026377,229.0,0.9515264742076397,NSD
CEC2017-F28,ARPSO-EIS,GA,129.0428110185824,58.70922193567593,213.0,0.7000329215079546,NSD
CEC2017-F28,ARPSO-EIS,DE,129.0428110185824,5.393473416353315,0.0,1.862645149230957e-09,Loss
CEC2017-F29,ARPSO-EIS,PSO,29193.816724126016,8258915.533298237,28.0,2.7623027563095093e-06,Win
CEC2017-F29,ARPSO-EIS,PSO-AW,29193.816724126016,9491157.556113591,39.0,1.3966113328933716e-05,Win
CEC2017-F29,ARPSO-EIS,PSO-RS,29193.816724126016,200399.86253550564,44.0,2.6885420083999634e-05,Win
CEC2017-F29,ARPSO-EIS,CLPSO,29193.816724126016,72868.69757381002,65.0,0.000283263623714447,Win
CEC2017-F29,ARPSO-EIS,HPSO-TVAC,29193.816724126016,227882.08375285674,193.0,0.42795460671186447,NSD
CEC2017-F29,ARPSO-EIS,ARPSO-v4,29193.816724126016,19097.560589112774,215.0,0.7303419969975948,NSD
CEC2017-F29,ARPSO-EIS,GA,29193.816724126016,18263.60980893716,229.0,0.9515264742076397,NSD
CEC2017-F29,ARPSO-EIS,DE,29193.816724126016,3346.6840322303233,14.0,2.0489096641540527e-07,Loss
CEC2017-F3,ARPSO-EIS,PSO,7.010688326166325e-14,433.4630309666689,0.0,1.862645149230957e-09,Win
CEC2017-F3,ARPSO-EIS,PSO-AW,7.010688326166325e-14,1690.811990254956,2.0,3.509117346658394e-05,Win
CEC2017-F3,ARPSO-EIS,PSO-RS,7.010688326166325e-14,72.68285897008904,0.0,1.862645149230957e-09,Win
CEC2017-F3,ARPSO-EIS,CLPSO,7.010688326166325e-14,0.11502218851585437,0.0,1.862645149230957e-09,Win
CEC2017-F3,ARPSO-EIS,HPSO-TVAC,7.010688326166325e-14,79.74810512347999,27.0,0.0007865518608560213,Win
CEC2017-F3,ARPSO-EIS,ARPSO-v4,7.010688326166325e-14,7.579122514774404e-14,35.0,0.40538055645894233,NSD
CEC2017-F3,ARPSO-EIS,GA,7.010688326166325e-14,124.70997218773779,0.0,1.862645149230957e-09,Win
CEC2017-F3,ARPSO-EIS,DE,7.010688326166325e-14,3.9790393202565627e-14,0.0,0.002551280616444928,Loss
CEC2017-F30,ARPSO-EIS,PSO,379702.81212019094,114346838.45146187,219.0,0.7921590935438871,NSD
CEC2017-F30,ARPSO-EIS,PSO-AW,379702.81212019094,3092111.4690672155,118.0,0.017453668639063835,Win
CEC2017-F30,ARPSO-EIS,PSO-RS,379702.81212019094,730459.9528728516,232.0,1.0,NSD
CEC2017-F30,ARPSO-EIS,CLPSO,379702.81212019094,46580.74353695938,65.0,0.000283263623714447,Loss
CEC2017-F30,ARPSO-EIS,HPSO-TVAC,379702.81212019094,44664.908015367575,52.0,7.056817412376404e-05,Loss
CEC2017-F30,ARPSO-EIS,ARPSO-v4,379702.81212019094,283181.1214728996,175.0,0.24494642950594425,NSD
CEC2017-F30,ARPSO-EIS,GA,379702.81212019094,48732.70454179833,53.0,7.910653948783875e-05,Loss
CEC2017-F30,ARPSO-EIS,DE,379702.81212019094,6027.4823320758605,3.0,9.313225746154785e-09,Loss
CEC2017-F4,ARPSO-EIS,PSO,35.97599692065426,175.1124719395004,32.0,5.144625902175903e-06,Win
CEC2017-F4,ARPSO-EIS,PSO-AW,35.97599692065426,189.1701442989092,10.0,8.009374141693115e-08,Win
CEC2017-F4,ARPSO-EIS,PSO-RS,35.97599692065426,59.95595029674283,44.0,2.6885420083999634e-05,Win
CEC2017-F4,ARPSO-EIS,CLPSO,35.97599692065426,33.57888265004726,116.0,0.015460003167390823,Loss
CEC2017-F4,ARPSO-EIS,HPSO-TVAC,35.97599692065426,53.262951557256976,74.0,0.0006665531545877457,Win
CEC2017-F4,ARPSO-EIS,ARPSO-v4,35.97599692065426,42.88831628381232,187.0,0.3598779272288084,NSD
CEC2017-F4,ARPSO-EIS,GA,35.97599692065426,53.453960620204114,30.0,3.7904828786849976e-06,Win
CEC2017-F4,ARPSO-EIS,DE,35.97599692065426,34.49348684744245,100.0,0.005382779985666275,Loss
CEC2017-F5,ARPSO-EIS,PSO,105.73510719928446,2210.81328101632,2.0,5.587935447692871e-09,Win
CEC2017-F5,ARPSO-EIS,PSO-AW,105.73510719928446,3993.0731640804174,0.0,1.862645149230957e-09,Win
CEC2017-F5,ARPSO-EIS,PSO-RS,105.73510719928446,226.07368112359782,0.0,1.862645149230957e-09,Win
CEC2017-F5,ARPSO-EIS,CLPSO,105.73510719928446,67.45085034372184,2.0,5.587935447692871e-09,Loss
CEC2017-F5,ARPSO-EIS,HPSO-TVAC,105.73510719928446,564.4508542622223,87.0,0.0020201820880174637,Win
CEC2017-F5,ARPSO-EIS,ARPSO-v4,105.73510719928446,120.0246995822099,132.0,0.03841841779649258,Win
CEC2017-F5,ARPSO-EIS,GA,105.73510719928446,265.7841114962909,0.0,1.862645149230957e-09,Win
CEC2017-F5,ARPSO-EIS,DE,105.73510719928446,32.23685796552245,19.0,5.718320608139038e-07,Loss
CEC2017-F6,ARPSO-EIS,PSO,9.571695022712465e-05,7.19930646937277e-05,225.0,0.8871948085725307,NSD
CEC2017-F6,ARPSO-EIS,PSO-AW,9.571695022712465e-05,4.4144513882803555e-05,206.0,0.5978077705949545,NSD
CEC2017-F6,ARPSO-EIS,PSO-RS,9.571695022712465e-05,0.0001555868731126239,165.0,0.17059839516878128,NSD
CEC2017-F6,ARPSO-EIS,CLPSO,9.571695022712465e-05,0.00017181033722783216,125.0,0.026228994131088257,Win
CEC2017-F6,ARPSO-EIS,HPSO-TVAC,9.571695022712465e-05,6.020955007291179e-05,140.0,0.05768792890012264,NSD
CEC2017-F6,ARPSO-EIS,ARPSO-v4,9.571695022712465e-05,0.00010070105172794174,215.0,0.7303419969975948,NSD
CEC2017-F6,ARPSO-EIS,GA,9.571695022712465e-05,0.00021912289384997633,135.0,0.044907208532094955,Win
CEC2017-F6,ARPSO-EIS,DE,9.571695022712465e-05,9.31762921633587e-09,4.0,1.30385160446167e-08,Loss
CEC2017-F7,ARPSO-EIS,PSO,169.90894479591415,93034.25458467171,0.0,1.862645149230957e-09,Win
CEC2017-F7,ARPSO-EIS,PSO-AW,169.90894479591415,130405.06238956678,1.0,3.725290298461914e-09,Win
CEC2017-F7,ARPSO-EIS,PSO-RS,169.90894479591415,996.0783250981115,0.0,1.862645149230957e-09,Win
CEC2017-F7,ARPSO-EIS,CLPSO,169.90894479591415,108.77640941735733,1.0,3.725290298461914e-09,Loss
CEC2017-F7,ARPSO-EIS,HPSO-TVAC,169.90894479591415,28457.357118355267,39.0,1.3966113328933716e-05,Win
CEC2017-F7,ARPSO-EIS,ARPSO-v4,169.90894479591415,156.94398792095745,149.0,0.08793856762349606,NSD
CEC2017-F7,ARPSO-EIS,GA,169.90894479591415,1192.965360781328,0.0,1.862645149230957e-09,Win
CEC2017-F7,ARPSO-EIS,DE,169.90894479591415,105.11845327843163,59.0,0.0001528710126876831,Loss
CEC2017-F8,ARPSO-EIS,PSO,152.7500000002138,196.4178007567879,93.0,0.0032229889184236526,Win
CEC2017-F8,ARPSO-EIS,PSO-AW,152.7500000002138,159.104292572968,168.0,0.28437803362552605,NSD
CEC2017-F8,ARPSO-EIS,PSO-RS,152.7500000002138,198.08983717517492,108.0,0.009301122277975082,Win
CEC2017-F8,ARPSO-EIS,CLPSO,152.7500000002138,132.88491410562492,135.0,0.044907208532094955,Loss
CEC2017-F8,ARPSO-EIS,HPSO-TVAC,152.7500000002138,130.55,130.0,0.03498004466598449,Loss
CEC2017-F8,ARPSO-EIS,ARPSO-v4,152.7500000002138,160.93333333333334,196.5,0.45894952361159513,NSD
CEC2017-F8,ARPSO-EIS,GA,152.7500000002138,152.57759651258095,224.0,0.871207794174552,NSD
CEC2017-F8,ARPSO-EIS,DE,152.7500000002138,269.3298571789575,39.0,1.3966113328933716e-05,Win
CEC2017-F9,ARPSO-EIS,PSO,1.5618027212995496,4.017223261282349,69.0,0.0004183966666460037,Win
CEC2017-F9,ARPSO-EIS,PSO-AW,1.5618027212995496,2.806489775366371,126.0,0.027741437777876854,Win
CEC2017-F9,ARPSO-EIS,PSO-RS,1.5618027212995496,4.4158214969113825,70.0,0.00046010687947273254,Win
CEC2017-F9,ARPSO-EIS,CLPSO,1.5618027212995496,0.27837653678473845,11.0,1.0244548320770264e-07,Loss
CEC2017-F9,ARPSO-EIS,HPSO-TVAC,1.5618027212995496,0.44052588683646643,47.0,3.904104232788086e-05,Loss
CEC2017-F9,ARPSO-EIS,ARPSO-v4,1.5618027212995496,1.7276989614079108,225.0,0.8871948085725307,NSD
CEC2017-F9,ARPSO-EIS,GA,1.5618027212995496,1.3217322281733839,187.0,0.3598779272288084,NSD
CEC2017-F9,ARPSO-EIS,DE,1.5618027212995496,0.07848218589558652,10.0,8.009374141693115e-08,Loss
