Function,FunctionID,Algorithm,Run,Seed,BestFitness,Fopt,BestError,RestartCount,RestartedParticlesTotal,Runtime,FEs
F1,1,ARPSO-Fixed,9,20361438,5590.376644078452,100.0,5490.376644078452,1746,17460,7.13703179359436,300000
F1,1,ARPSO-Fixed,10,20361439,20941.767103211834,100.0,20841.767103211834,1748,17480,7.04806113243103,300000
F1,1,ARPSO-Fixed,11,20361440,5590.376564605158,100.0,5490.376564605158,1734,17340,7.31087589263916,300000
F1,1,ARPSO-Fixed,12,20361441,933.4232429136664,100.0,833.4232429136665,1758,17580,7.424793481826782,300000
F1,1,ARPSO-Fixed,13,20361442,109.59797506983772,100.0,9.59797506983773,1773,17730,7.261260509490967,300000
F1,1,ARPSO-Fixed,14,20361443,20941.76715192947,100.0,20841.76715192947,1767,17670,7.302477836608887,300000
F1,1,ARPSO-Fixed,16,20361445,20941.76713749816,100.0,20841.76713749816,1779,17790,7.04750919342041,300000
F1,1,ARPSO-Fixed,15,20361444,5590.3767490575065,100.0,5490.3767490575065,1764,17640,7.378606081008911,300000
F1,1,ARPSO-Fixed,17,20361446,12353.404863606467,100.0,12253.404863606467,1767,17670,6.815804719924927,300000
F1,1,ARPSO-Fixed,18,20361447,2423.5052211117227,100.0,2323.5052211117227,1787,17870,7.340261936187744,300000
F1,1,ARPSO-Fixed,19,20361448,20941.76714059963,100.0,20841.76714059963,1758,17580,6.452946662902832,300000
F1,1,ARPSO-Fixed,21,20361450,6156.584744703408,100.0,6056.584744703408,1782,17820,6.4461829662323,300000
