Algorithm,AvgRuntime,StdRuntime,AvgFEs,RelativeRuntimeToSRR
PSO-RS,116.12800739294006,123.1832113061522,300000.0,0.9806050684641868
ARPSO-Global,116.62881496548653,123.82741732623116,300000.0,0.9848339746082714
ARPSO-Fixed,116.8720987989789,123.37188646947936,300000.0,0.9868883055621368
ARPSO-Local,118.23910035632906,126.53835596680682,300000.0,0.998431504191217
ARPSO-SRR,118.42484923601153,126.57324678437648,300000.0,1.0
ARPSO-EIS,119.4020726961749,126.405291272175,300000.0,1.0082518446632418
