Algorithm,AverageRank
DE,1.9655172413793105
CLPSO,3.1724137931034484
GA,4.206896551724138
ARPSO-v4,4.310344827586207
ARPSO-EIS,4.448275862068965
HPSO-TVAC,5.344827586206897
PSO-RS,6.068965517241379
PSO,7.551724137931035
PSO-AW,7.931034482758621
