Function,FunctionID,Algorithm,Run,FE,RestartIndex,RestartedParticles,RestartRatio,Diversity,Stagnation,BestFitnessAfterRestart,BestErrorAfterRestart
F1,1,PSO-RS,6,10580,3,10,0.1866666666666666,0.0820266841883766,50,6640113501.264877,6640113401.264877
F1,1,PSO-RS,6,13090,4,10,0.1866666666666666,0.0808312974334576,50,6640113501.264877,6640113401.264877
F1,1,PSO-RS,6,15600,5,10,0.1866666666666666,0.0803149070847599,50,6640113501.264877,6640113401.264877
F1,1,PSO-RS,6,20860,6,10,0.1866666666666666,0.0840246227880648,50,6375113680.676262,6375113580.676262
F1,1,PSO-RS,6,24070,7,10,0.1866666666666666,0.0819579491428685,50,5330117159.725619,5330117059.725619
F1,1,PSO-RS,6,28130,8,10,0.1866666666666666,0.0773330912311938,50,5098816876.053641,5098816776.053641
F1,1,PSO-RS,6,30640,9,10,0.1866666666666666,0.0769117714073484,50,5098816876.053641,5098816776.053641
F1,1,PSO-RS,6,33400,10,10,0.1866666666666666,0.0744241584190867,50,4203615791.971584,4203615691.971584
F1,1,PSO-RS,6,36610,11,10,0.1866666666666666,0.0697003324316264,50,3850242202.735709,3850242102.735709
F1,1,PSO-RS,6,39120,12,10,0.1866666666666666,0.0667251241513969,50,3850242202.735709,3850242102.735709
F1,1,PSO-RS,6,42980,13,10,0.1866666666666666,0.0645056068867483,50,2686105310.1094413,2686105210.1094413
F1,1,PSO-RS,6,45490,14,10,0.1866666666666666,0.0662350237932005,50,2686105310.1094413,2686105210.1094413
F1,1,PSO-RS,6,48000,15,10,0.1866666666666666,0.0650577872663537,50,2686105310.1094413,2686105210.1094413
F1,1,PSO-RS,6,52510,16,10,0.1866666666666666,0.0607140414400565,50,2444037718.6463604,2444037618.6463604
F1,1,PSO-RS,6,64070,17,10,0.1866666666666666,0.0606876257522951,50,1802636315.20964,1802636215.20964
F1,1,PSO-RS,6,66580,18,10,0.1866666666666666,0.0576894383156845,50,1802636315.20964,1802636215.20964
F1,1,PSO-RS,6,72537,19,7,0.1333333333333333,0.0499454861149384,25,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,73844,20,7,0.1354666666666666,0.0483443100455406,26,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,74650,21,6,0.1141333333333333,0.0486360368429075,16,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,75406,22,6,0.112,0.0498898211528711,15,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,75962,23,6,0.1034666666666666,0.049757298380556,11,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,76768,24,6,0.1141333333333333,0.0494156384964055,16,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,77323,25,5,0.0949333333333333,0.0491197448124058,7,1709558201.2408147,1709558101.2408147
F1,1,PSO-RS,6,77828,26,5,0.0970666666666666,0.0493534755591438,8,1709450580.930982,1709450480.930982
F1,1,PSO-RS,6,78183,27,5,0.0842666666666666,0.0497564890115179,2,1709401460.2046442,1709401360.2046442
F1,1,PSO-RS,6,78988,28,5,0.0808524810606339,0.0498667998342759,0,1709301475.6572895,1709301375.6572895
F1,1,PSO-RS,6,79393,29,5,0.0824416809727239,0.0496184873480118,0,1709300815.731918,1709300715.731918
F1,1,PSO-RS,6,80448,30,5,0.0949333333333333,0.0497940086202166,7,1332665529.5287287,1332665429.5287287
F1,1,PSO-RS,6,80954,31,6,0.1013333333333333,0.049617767146394,10,1332665529.5287287,1332665429.5287287
F1,1,PSO-RS,6,81610,32,6,0.1077333333333333,0.049821496805136,13,1332665529.5287287,1332665429.5287287
F1,1,PSO-RS,6,82015,33,5,0.0864846679552925,0.0489867706319855,0,1309123590.5811827,1309123490.5811827
F1,1,PSO-RS,6,82820,34,5,0.087940422631726,0.0487593089637928,0,1261389199.824333,1261389099.824333
F1,1,PSO-RS,6,83275,35,5,0.0897571427071749,0.0484754464520039,0,1258858708.5227878,1258858608.5227878
F1,1,PSO-RS,6,83730,36,5,0.092992125544119,0.0479699803837314,0,1258427029.4002037,1258426929.4002037
F1,1,PSO-RS,6,84135,37,5,0.0811543565929021,0.049819631782359,0,1258398040.8804822,1258397940.8804822
F1,1,PSO-RS,6,84590,38,5,0.0930672890556552,0.0479582360850538,0,1258394787.0857782,1258394687.0857782
F1,1,PSO-RS,6,85045,39,5,0.0800494837042055,0.0499922681712178,0,1258394515.1775148,1258394415.1775148
F1,1,PSO-RS,6,85551,40,6,0.1048645370657505,0.0461149160834764,0,1258394492.1214015,1258394392.1214015
F1,1,PSO-RS,6,85906,41,5,0.0803872672960247,0.0499394894849961,0,1258394490.8089156,1258394390.8089156
F1,1,PSO-RS,6,86311,42,5,0.0913398950408196,0.0482281413998719,0,1258394490.6145809,1258394390.6145809
F1,1,PSO-RS,6,86616,43,5,0.0860682318998675,0.0490518387656456,0,1258394490.5956464,1258394390.5956464
F1,1,PSO-RS,6,86871,44,5,0.0941352824692036,0.0477913621141869,0,1258394490.5923803,1258394390.5923803
F1,1,PSO-RS,6,87276,45,5,0.0928458278996047,0.0479928393906867,0,1258394490.5914285,1258394390.5914285
F1,1,PSO-RS,6,87681,46,5,0.0969457729422105,0.0473522229777796,0,1258394490.5913286,1258394390.5913286
F1,1,PSO-RS,6,87986,47,5,0.082055558355782,0.049678819006909,0,1258394490.5913184,1258394390.5913184
F1,1,PSO-RS,6,88291,48,5,0.0855164465830875,0.0491380552213925,0,1258394490.591311,1258394390.591311
F1,1,PSO-RS,6,88596,49,5,0.0873204984193501,0.0488561721219765,0,1258394490.5913076,1258394390.5913076
F1,1,PSO-RS,6,88951,50,5,0.0923713815242631,0.0480669716368338,5,1258394490.591307,1258394390.591307
