BaseAlgorithm,ComparedAlgorithm,Win,NSD,Loss
ARPSO-SRR,PSO-RS,2,12,0
ARPSO-SRR,ARPSO-Fixed,1,13,0
ARPSO-SRR,ARPSO-Global,2,12,0
ARPSO-SRR,ARPSO-Local,0,13,1
ARPSO-SRR,ARPSO-EIS,3,11,0
