Algorithm,AverageRank,AvgRestart,StdRestart,AvgRuntime,StdRuntime
PSO-RS,4.285714285714286,1246.7904761904763,375.50057460940354,34.215758713086444,22.498718872258543
ARPSO-Fixed,3.5714285714285716,1624.990476190476,217.760449288285,34.91985805375236,22.60557877602504
ARPSO-Global,4.214285714285714,1534.8357142857142,283.17207492931715,34.111779819216046,22.368705640974405
ARPSO-Local,2.5,3426.9142857142856,296.93799692827275,34.106989062967756,22.239104207698112
ARPSO-SRR,2.857142857142857,2243.154761904762,292.9552041659522,34.5294136762619,22.11645022631066
ARPSO-EIS,3.5714285714285716,2023.4357142857143,378.36343120375835,35.847322558221364,22.29540033847931
